,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,1092870.0,1092870.0,2188070.0,1.0
1,1,anti_first_fail,indomain_min,time,60.0,0.0001827299129217863,,3.0454985486964387e-06
1,2,anti_first_fail,indomain_min,obj,1810900.0,1755360.0,1902660.0,0.9693301673201171
1,2,anti_first_fail,indomain_min,time,60.0,0.00020497897639870644,,3.416316273311774e-06
1,3,anti_first_fail,indomain_min,obj,322578.0,292700.0,766870.0,0.907377440495012
1,3,anti_first_fail,indomain_min,time,60.0,0.0002443939447402954,,4.073232412338257e-06
1,4,anti_first_fail,indomain_min,obj,855050.0,855050.0,1008350.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.00016558216884732246,,2.759702814122041e-06
1,5,anti_first_fail,indomain_min,obj,3383274.0,3383274.0,4471074.0,1.0
1,5,anti_first_fail,indomain_min,time,60.0,0.0002189080696552992,,3.6484678275883196e-06
1,6,anti_first_fail,indomain_min,obj,1140185.0,1140185.0,3123710.0,1.0
1,6,anti_first_fail,indomain_min,time,60.0,0.00020363088697195053,,3.3938481161991756e-06
1,7,anti_first_fail,indomain_min,obj,1215770.0,1023130.0,2618110.0,0.8415489771914095
1,7,anti_first_fail,indomain_min,time,70.0,0.0002563509624451399,,3.6621566063591413e-06
1,8,anti_first_fail,indomain_min,obj,584900.0,584900.0,584900.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,0.00016044802032411098,,2.6741336720685166e-06
1,9,anti_first_fail,indomain_min,obj,1298366.0,1298366.0,1460358.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,0.0001838488969951868,,3.0641482832531133e-06
1,10,anti_first_fail,indomain_min,obj,892292.0,719464.0,741926.0,0.806310042004187
1,10,anti_first_fail,indomain_min,time,60.0,0.0002480491530150175,,4.134152550250292e-06
1,11,anti_first_fail,indomain_min,obj,1514080.0,1514080.0,2468712.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,0.00021934905089437962,,3.655817514906327e-06
1,12,anti_first_fail,indomain_min,obj,280497.0,216317.0,432477.0,0.7711918487541757
1,12,anti_first_fail,indomain_min,time,60.0,0.0002769462298601866,,4.615770497669776e-06
