,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weights,,,,,
1,1,anti_first_fail,indomain_min,0,1237600,1237600,1237600,2229360,1.0
1,1,anti_first_fail,indomain_min,200,1498960,1498960,1498960,2229360,1.0
1,1,anti_first_fail,indomain_min,400,1555360,1555360,1557560,2229360,1.0014144635325584
1,1,anti_first_fail,indomain_min,600,1599560,1599560,1605560,2229360,1.0037510315336717
1,1,anti_first_fail,indomain_min,800,1628960,1628960,1651760,2229360,1.0139966604459287
1,1,anti_first_fail,indomain_min,1000,1642360,1642360,1642360,2229360,1.0
1,2,anti_first_fail,indomain_min,0,2407890,2407890,2422150,5143550,1.0059221974425743
1,2,anti_first_fail,indomain_min,200,2593550,2593550,2620550,5143550,1.010410441287039
1,2,anti_first_fail,indomain_min,400,2721950,2721950,2736950,5143550,1.0055107551571483
1,2,anti_first_fail,indomain_min,600,2847950,2847950,2853350,5143550,1.0018961007040152
1,2,anti_first_fail,indomain_min,800,2969750,2969750,2969750,5143550,1.0
1,2,anti_first_fail,indomain_min,1000,3086150,3086150,3086150,5143550,1.0
1,3,anti_first_fail,indomain_min,0,1450990,1450990,1464590,2153816,1.0093729109091034
1,3,anti_first_fail,indomain_min,200,1680478,1680478,1723678,2153816,1.025706971468832
1,3,anti_first_fail,indomain_min,400,1905478,1905478,1934278,2153816,1.0151143177722335
1,3,anti_first_fail,indomain_min,600,1990078,1990078,2144878,2153816,1.0777858958292088
1,3,anti_first_fail,indomain_min,800,2055478,2055478,2355478,2153816,1.1459514526548082
1,3,anti_first_fail,indomain_min,1000,2120878,2120878,2566078,2153816,1.2099130643063862
1,4,anti_first_fail,indomain_min,0,914160,914160,963280,1352240,1.053732388203378
1,4,anti_first_fail,indomain_min,200,1046112,1046112,1157848,1352240,1.1068107430179561
1,4,anti_first_fail,indomain_min,400,1142712,1142712,1176248,1352240,1.0293477271613496
1,4,anti_first_fail,indomain_min,600,1194248,1194248,1194248,1352240,1.0
1,4,anti_first_fail,indomain_min,800,1210640,1210640,1210640,1352240,1.0
1,4,anti_first_fail,indomain_min,1000,1224200,1224200,1224200,1352240,1.0
1,5,anti_first_fail,indomain_min,0,737620,737620,737620,956642,1.0
