,,,,,Optimistic,Gecode
,,,,,,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,,,obj,1154155.0,
1,1,,,time,0.00389660699875094,
1,1,first_fail,indomain_split_random,obj,,1154155.0
1,1,first_fail,indomain_split_random,time,,160.0
1,2,,,obj,768925.0,
1,2,,,time,0.0035817059979308397,
1,2,first_fail,indomain_split_random,obj,,768925.0
1,2,first_fail,indomain_split_random,time,,100.0
1,3,,,obj,1268812.0,
1,3,,,time,0.004299915999581572,
1,3,first_fail,indomain_split_random,obj,,1268812.0
1,3,first_fail,indomain_split_random,time,,100.0
2,1,,,obj,1036505.0,
2,1,,,time,0.0028953689979971386,
2,1,first_fail,indomain_split_random,obj,,1036505.0
2,1,first_fail,indomain_split_random,time,,100.0
2,2,,,obj,709415.0,
2,2,,,time,0.004333092998422217,
2,2,first_fail,indomain_split_random,obj,,709415.0
2,2,first_fail,indomain_split_random,time,,100.0
2,3,,,obj,1124424.0,
2,3,,,time,0.004751301996293478,
2,3,first_fail,indomain_split_random,obj,,1124424.0
2,3,first_fail,indomain_split_random,time,,100.0
3,1,,,obj,971125.0,
3,1,,,time,0.005131085999892093,
3,1,first_fail,indomain_split_random,obj,,971125.0
3,1,first_fail,indomain_split_random,time,,100.0
3,2,,,obj,675955.0,
3,2,,,time,0.0037892079999437556,
3,2,first_fail,indomain_split_random,obj,,675955.0
3,2,first_fail,indomain_split_random,time,,100.0
3,3,,,obj,1042880.0,
3,3,,,time,0.004690647998359054,
3,3,first_fail,indomain_split_random,obj,,1042880.0
3,3,first_fail,indomain_split_random,time,,100.0
