,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
1,1,time,80.0,250.0,70.0,170.0
1,2,time,100.0,210.0,90.0,140.0
1,3,time,120.0,180.0,90.0,120.0
1,4,time,140.0,190.0,120.0,140.0
1,5,time,100.0,310.0,90.0,230.0
1,6,time,90.0,280.0,70.0,210.0
1,7,time,890.0,290.0,970.0,180.0
1,8,time,120.0,200.0,90.0,180.0
1,9,time,140.0,350.0,110.0,160.0
1,10,time,80.0,200.0,70.0,130.0
1,11,time,90.0,250.0,70.0,150.0
1,12,time,40.0,240.0,10.0,200.0
1,13,time,140.0,190.0,90.0,120.0
1,14,time,120.0,190.0,90.0,140.0
1,15,time,110.0,220.0,100.0,140.0
1,16,time,350.0,310.0,330.0,230.0
1,17,time,80.0,180.0,70.0,140.0
1,18,time,130.0,200.0,120.0,160.0
1,19,time,120.0,320.0,110.0,190.0
1,20,time,80.0,160.0,70.0,110.0
1,21,time,90.0,190.0,120.0,170.0
1,22,time,250.0,380.0,260.0,320.0
1,23,time,110.0,260.0,100.0,210.0
1,24,time,100.0,580.0,190.0,440.0
1,25,time,170.0,230.0,150.0,200.0
1,26,time,110.0,250.0,90.0,140.0
1,27,time,140.0,210.0,150.0,150.0
1,28,time,90.0,190.0,140.0,300.0
1,29,time,110.0,200.0,90.0,150.0
1,30,time,120.0,190.0,90.0,120.0
1,31,time,110.0,180.0,90.0,130.0
1,32,time,140.0,450.0,450.0,230.0
1,33,time,30.0,300.0,350.0,170.0
1,34,time,290.0,460.0,970.0,200.0
1,35,time,710.0,240.0,190.0,200.0
1,36,time,80.0,150.0,60.0,100.0
1,37,time,140.0,170.0,140.0,140.0
1,38,time,400.0,210.0,400.0,130.0
1,39,time,80.0,170.0,60.0,140.0
1,40,time,160.0,200.0,120.0,270.0
1,41,time,200.0,270.0,170.0,160.0
1,42,time,110.0,170.0,70.0,120.0
1,43,time,120.0,200.0,70.0,140.0
1,44,time,140.0,360.0,130.0,180.0
1,45,time,160.0,210.0,130.0,150.0
1,46,time,130.0,200.0,110.0,170.0
1,47,time,740.0,210.0,840.0,150.0
1,48,time,330.0,260.0,270.0,180.0
1,49,time,80.0,180.0,60.0,130.0
1,50,time,100.0,170.0,80.0,130.0
2,1,time,90.0,220.0,70.0,160.0
2,2,time,80.0,180.0,70.0,130.0
2,3,time,80.0,160.0,80.0,120.0
2,4,time,150.0,190.0,130.0,140.0
2,5,time,210.0,390.0,200.0,380.0
2,6,time,80.0,340.0,70.0,200.0
2,7,time,530.0,510.0,710.0,170.0
2,8,time,100.0,200.0,100.0,170.0
2,9,time,130.0,230.0,100.0,150.0
2,10,time,80.0,180.0,70.0,130.0
2,11,time,80.0,230.0,60.0,150.0
2,12,time,790.0,250.0,760.0,170.0
2,13,time,110.0,180.0,80.0,120.0
2,14,time,90.0,190.0,80.0,140.0
2,15,time,130.0,200.0,110.0,140.0
2,16,time,500.0,260.0,480.0,190.0
2,17,time,80.0,180.0,70.0,130.0
2,18,time,80.0,190.0,70.0,150.0
2,19,time,120.0,360.0,90.0,180.0
2,20,time,80.0,160.0,80.0,110.0
2,21,time,70.0,200.0,90.0,190.0
2,22,time,160.0,530.0,150.0,280.0
2,23,time,130.0,240.0,120.0,190.0
2,24,time,200.0,290.0,90.0,170.0
2,25,time,90.0,260.0,80.0,190.0
2,26,time,100.0,220.0,80.0,140.0
2,27,time,130.0,230.0,100.0,140.0
2,28,time,140.0,210.0,70.0,130.0
2,29,time,100.0,190.0,80.0,150.0
2,30,time,90.0,170.0,70.0,120.0
2,31,time,150.0,190.0,130.0,140.0
2,32,time,440.0,390.0,280.0,250.0
2,33,time,170.0,380.0,130.0,210.0
2,34,time,90.0,530.0,80.0,210.0
2,35,time,150.0,240.0,110.0,170.0
2,36,time,70.0,140.0,60.0,100.0
2,37,time,130.0,180.0,110.0,130.0
2,38,time,300.0,220.0,280.0,140.0
2,39,time,80.0,180.0,60.0,130.0
2,40,time,150.0,210.0,110.0,160.0
2,41,time,160.0,220.0,130.0,170.0
2,42,time,110.0,170.0,80.0,110.0
2,43,time,660.0,190.0,620.0,140.0
2,44,time,100.0,240.0,90.0,140.0
2,45,time,110.0,200.0,100.0,150.0
2,46,time,120.0,200.0,120.0,150.0
