,Weight,Type,Model,Solver,Time (ms)
0,0,max,Initial,Gecode,70.0
1,0,max,Initial,Gurobi,130.0
2,0,max,Modified,Gecode,60.0
3,0,max,Modified,Gurobi,110.0
4,0,max,Modified,OGSA,0.00022626901045441628
5,0,mean,Initial,Gecode,70.0
6,0,mean,Initial,Gurobi,111.66666666666667
7,0,mean,Modified,Gecode,60.0
8,0,mean,Modified,Gurobi,100.0
9,0,mean,Modified,OGSA,0.00020077040729423365
10,0,min,Initial,Gecode,70.0
11,0,min,Initial,Gurobi,100.0
12,0,min,Modified,Gecode,60.0
13,0,min,Modified,Gurobi,90.0
14,0,min,Modified,OGSA,0.0001742248423397541
15,5,max,Initial,Gecode,70.0
16,5,max,Initial,Gurobi,130.0
17,5,max,Modified,Gecode,60.0
18,5,max,Modified,Gurobi,110.0
19,5,max,Modified,OGSA,0.00023605581372976303
20,5,mean,Initial,Gecode,70.0
21,5,mean,Initial,Gurobi,111.66666666666667
22,5,mean,Modified,Gecode,60.0
23,5,mean,Modified,Gurobi,100.0
24,5,mean,Modified,OGSA,0.00021273518602053323
25,5,min,Initial,Gecode,70.0
26,5,min,Initial,Gurobi,100.0
27,5,min,Modified,Gecode,60.0
28,5,min,Modified,Gurobi,90.0
29,5,min,Modified,OGSA,0.00019143521785736084
30,50,max,Initial,Gecode,80.0
31,50,max,Initial,Gurobi,130.0
32,50,max,Modified,Gecode,60.0
33,50,max,Modified,Gurobi,110.0
34,50,max,Modified,OGSA,0.00024710502475500107
35,50,mean,Initial,Gecode,71.66666666666667
36,50,mean,Initial,Gurobi,111.66666666666667
37,50,mean,Modified,Gecode,60.0
38,50,mean,Modified,Gurobi,100.0
39,50,mean,Modified,OGSA,0.00022229917036990324
40,50,min,Initial,Gecode,70.0
41,50,min,Initial,Gurobi,100.0
42,50,min,Modified,Gecode,60.0
43,50,min,Modified,Gurobi,90.0
44,50,min,Modified,OGSA,0.00019317679107189178
45,500,max,Initial,Gecode,70.0
46,500,max,Initial,Gurobi,140.0
47,500,max,Modified,Gecode,70.0
48,500,max,Modified,Gurobi,120.0
49,500,max,Modified,OGSA,0.00030449777841567993
50,500,mean,Initial,Gecode,70.0
51,500,mean,Initial,Gurobi,120.0
52,500,mean,Modified,Gecode,66.66666666666667
53,500,mean,Modified,Gurobi,98.33333333333333
54,500,mean,Modified,OGSA,0.00022460900557537874
55,500,min,Initial,Gecode,70.0
56,500,min,Initial,Gurobi,110.0
57,500,min,Modified,Gecode,60.0
58,500,min,Modified,Gurobi,80.0
59,500,min,Modified,OGSA,0.00018950505182147026
60,1000,max,Initial,Gecode,80.0
61,1000,max,Initial,Gurobi,150.0
62,1000,max,Modified,Gecode,70.0
63,1000,max,Modified,Gurobi,120.0
64,1000,max,Modified,OGSA,0.00031053414568305016
65,1000,mean,Initial,Gecode,71.66666666666667
66,1000,mean,Initial,Gurobi,120.0
67,1000,mean,Modified,Gecode,66.66666666666667
68,1000,mean,Modified,Gurobi,96.66666666666667
69,1000,mean,Modified,OGSA,0.00022587552666664124
70,1000,min,Initial,Gecode,70.0
71,1000,min,Initial,Gurobi,100.0
72,1000,min,Modified,Gecode,60.0
73,1000,min,Modified,Gurobi,80.0
74,1000,min,Modified,OGSA,0.0001920410431921482
