,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1142500.0,1318590.0
1,1,first_fail,indomain_split_random,time,110.0,0.0035045650001848117
1,2,first_fail,indomain_split_random,obj,3705870.0,3736590.0
1,2,first_fail,indomain_split_random,time,100.0,0.0017836440019891597
1,3,first_fail,indomain_split_random,obj,894646.0,1072595.0
1,3,first_fail,indomain_split_random,time,100.0,0.0029134509968571365
2,1,first_fail,indomain_split_random,obj,1135374.0,1254348.0
2,1,first_fail,indomain_split_random,time,120.0,0.002935429001809098
2,2,first_fail,indomain_split_random,obj,3669960.0,3702100.0
2,2,first_fail,indomain_split_random,time,100.0,0.0017394840033375658
2,3,first_fail,indomain_split_random,obj,861831.0,1068129.0
2,3,first_fail,indomain_split_random,time,90.0,0.0033813749978435226
3,1,first_fail,indomain_split_random,obj,1064658.0,1241236.0
3,1,first_fail,indomain_split_random,time,100.0,0.0034192829989478923
3,2,first_fail,indomain_split_random,obj,3400706.0,3436526.0
3,2,first_fail,indomain_split_random,time,90.0,0.0016838989977259189
3,3,first_fail,indomain_split_random,obj,786166.0,961015.0
3,3,first_fail,indomain_split_random,time,90.0,0.004064568995090667
