,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
2,17,time,90.0,200.0,80.0,160.0
2,18,time,80.0,200.0,60.0,160.0
2,19,time,140.0,190.0,110.0,130.0
2,20,time,110.0,210.0,100.0,160.0
2,21,time,100.0,190.0,80.0,140.0
2,22,time,110.0,270.0,90.0,190.0
2,23,time,130.0,180.0,100.0,140.0
2,24,time,110.0,180.0,100.0,120.0
2,25,time,130.0,220.0,160.0,170.0
2,26,time,220.0,320.0,200.0,160.0
2,27,time,100.0,210.0,90.0,150.0
2,28,time,110.0,250.0,100.0,190.0
2,29,time,110.0,250.0,100.0,170.0
2,30,time,110.0,270.0,110.0,220.0
2,31,time,240.0,420.0,220.0,240.0
2,32,time,140.0,470.0,110.0,270.0
2,33,time,650.0,340.0,640.0,180.0
2,34,time,80.0,220.0,70.0,190.0
2,35,time,110.0,170.0,90.0,140.0
2,36,time,70.0,170.0,60.0,130.0
2,37,time,70.0,280.0,60.0,140.0
2,38,time,90.0,180.0,70.0,130.0
2,39,time,260.0,240.0,270.0,150.0
2,40,time,160.0,190.0,160.0,160.0
2,41,time,200.0,220.0,110.0,150.0
2,42,time,110.0,350.0,100.0,170.0
2,43,time,150.0,210.0,110.0,140.0
2,44,time,80.0,250.0,80.0,160.0
2,45,time,110.0,200.0,100.0,150.0
2,46,time,330.0,210.0,310.0,310.0
2,47,time,100.0,380.0,90.0,180.0
2,48,time,120.0,200.0,640.0,150.0
2,49,time,80.0,270.0,100.0,190.0
2,50,time,90.0,220.0,80.0,220.0
2,51,time,170.0,360.0,160.0,180.0
2,52,time,70.0,210.0,60.0,130.0
2,53,time,110.0,220.0,100.0,160.0
2,54,time,830.0,270.0,820.0,190.0
2,55,time,100.0,240.0,90.0,160.0
2,56,time,150.0,570.0,100.0,210.0
2,57,time,460.0,200.0,440.0,160.0
2,58,time,90.0,190.0,80.0,140.0
2,59,time,120.0,250.0,100.0,170.0
2,60,time,950.0,250.0,10.0,180.0
2,61,time,180.0,270.0,160.0,190.0
2,62,time,130.0,210.0,120.0,170.0
2,63,time,90.0,190.0,70.0,120.0
