,Weight,Type,Model,Solver,Time (ms)
0,0,max,Initial,Gecode,100.0
1,0,max,Initial,Gurobi,200.0
2,0,max,Modified,Gecode,100.0
3,0,max,Modified,Gurobi,180.0
4,0,max,Modified,OGSA,0.0010313051752746105
5,0,mean,Initial,Gecode,71.05833333333334
6,0,mean,Initial,Gurobi,105.575
7,0,mean,Modified,Gecode,64.3
8,0,mean,Modified,Gurobi,85.625
9,0,mean,Modified,OGSA,0.0002332618188423415
10,0,min,Initial,Gecode,60.0
11,0,min,Initial,Gurobi,90.0
12,0,min,Modified,Gecode,60.0
13,0,min,Modified,Gurobi,70.0
14,0,min,Modified,OGSA,0.0001675696112215519
15,50,max,Initial,Gecode,310.0
16,50,max,Initial,Gurobi,160.0
17,50,max,Modified,Gecode,310.0
18,50,max,Modified,Gurobi,200.0
19,50,max,Modified,OGSA,0.0008889157325029373
20,50,mean,Initial,Gecode,71.875
21,50,mean,Initial,Gurobi,107.025
22,50,mean,Modified,Gecode,67.19166666666666
23,50,mean,Modified,Gurobi,85.9
24,50,mean,Modified,OGSA,0.00022978438646532596
25,50,min,Initial,Gecode,60.0
26,50,min,Initial,Gurobi,90.0
27,50,min,Modified,Gecode,60.0
28,50,min,Modified,Gurobi,70.0
29,50,min,Modified,OGSA,0.00018877210095524788
30,500,max,Initial,Gecode,180.0
31,500,max,Initial,Gurobi,230.0
32,500,max,Modified,Gecode,120.0
33,500,max,Modified,Gurobi,150.0
34,500,max,Modified,OGSA,0.0008189030922949314
35,500,mean,Initial,Gecode,73.20833333333333
36,500,mean,Initial,Gurobi,108.83333333333333
37,500,mean,Modified,Gecode,68.99166666666666
38,500,mean,Modified,Gurobi,85.975
39,500,mean,Modified,OGSA,0.0002285310218576342
40,500,min,Initial,Gecode,70.0
41,500,min,Initial,Gurobi,90.0
42,500,min,Modified,Gecode,60.0
43,500,min,Modified,Gurobi,70.0
44,500,min,Modified,OGSA,0.00018776673823595047
45,1000,max,Initial,Gecode,160.0
46,1000,max,Initial,Gurobi,210.0
47,1000,max,Modified,Gecode,140.0
48,1000,max,Modified,Gurobi,130.0
49,1000,max,Modified,OGSA,0.0007449551485478878
50,1000,mean,Initial,Gecode,73.99166666666666
51,1000,mean,Initial,Gurobi,109.0
52,1000,mean,Modified,Gecode,69.675
53,1000,mean,Modified,Gurobi,85.69166666666666
54,1000,mean,Modified,OGSA,0.00022932113613933325
55,1000,min,Initial,Gecode,70.0
56,1000,min,Initial,Gurobi,90.0
57,1000,min,Modified,Gecode,60.0
58,1000,min,Modified,Gurobi,70.0
59,1000,min,Modified,OGSA,0.0001897113397717476
