,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,1840020,1840020,1840020,1840020,1840020,2094280,1.0
1,1,anti_first_fail,indomain_min,50,1886630,1886630,1886630,1886630,1886630,2094280,1.0
1,1,anti_first_fail,indomain_min,500,1962580,1962580,1962580,1962580,1962580,2094280,1.0
1,1,anti_first_fail,indomain_min,1000,2009080,2009080,2009080,2009080,2009080,2094280,1.0
1,2,anti_first_fail,indomain_min,0,824070,824070,824070,824070,824070,1263368,1.0
1,2,anti_first_fail,indomain_min,50,876768,876768,876768,876768,876768,1263368,1.0
1,2,anti_first_fail,indomain_min,500,1127770,1111192,1127770,1127770,1287018,1263368,1.141206096987861
1,2,anti_first_fail,indomain_min,1000,1215470,1192086,1215470,1215470,1524718,1263368,1.254426682682419
1,3,anti_first_fail,indomain_min,0,1196775,1196775,1196775,1196775,1197975,1764350,1.0010026947421193
1,3,anti_first_fail,indomain_min,50,1213325,1213325,1213325,1213325,1215825,1764350,1.0020604537119073
1,3,anti_first_fail,indomain_min,500,1287650,1287650,1287650,1287650,1287650,1764350,1.0
1,3,anti_first_fail,indomain_min,1000,1325550,1325550,1325550,1325550,1325550,1764350,1.0
1,4,anti_first_fail,indomain_min,0,71890,71890,71890,71890,71890,172752,1.0
1,4,anti_first_fail,indomain_min,50,95784,95784,95784,95784,95784,172752,1.0
1,4,anti_first_fail,indomain_min,500,119352,119352,119352,119352,119352,172752,1.0
1,4,anti_first_fail,indomain_min,1000,122352,122352,122352,122352,122352,172752,1.0
1,5,anti_first_fail,indomain_min,0,1942200,1942200,1942200,1942200,1942200,3439230,1.0
1,5,anti_first_fail,indomain_min,50,2017030,2017030,2017030,2017030,2064030,3439230,1.0233015869868074
1,5,anti_first_fail,indomain_min,500,2507430,2507430,2507430,2507430,2598230,3439230,1.0362123768161025
1,5,anti_first_fail,indomain_min,1000,2711530,2711530,2711530,2711530,2711530,3439230,1.0
1,6,anti_first_fail,indomain_min,0,1236950,1236950,1236950,1236950,1242050,1843010,1.0041230445854723
1,6,anti_first_fail,indomain_min,50,1298310,1298310,1298310,1298310,1298310,1843010,1.0
1,6,anti_first_fail,indomain_min,500,1522710,1522710,1522710,1522710,1524910,1843010,1.001444792508094
