,,,Gecode,Gurobi,Gecode,Gurobi,Solver run time ratio,Solver run time ratio,Model run time ratio,Model run time ratio
,,,Modified,Modified,Initial,Initial,Modified,Initial,Gecode,Gurobi
Month,House,Result,,,,,,,,
2,63,time,50,90,60,110,1.80,1.83,1.20,1.22
2,64,time,50,60,60,90,1.20,1.50,1.20,1.50
2,65,time,60,90,60,120,1.50,2.00,1.00,1.33
2,66,time,50,90,60,110,1.80,1.83,1.20,1.22
2,67,time,60,80,60,100,1.33,1.67,1.00,1.25
2,68,time,50,80,60,110,1.60,1.83,1.20,1.38
2,69,time,50,120,60,150,2.40,2.50,1.20,1.25
2,70,time,50,80,60,110,1.60,1.83,1.20,1.38
2,71,time,60,90,60,110,1.50,1.83,1.00,1.22
2,72,time,60,90,60,120,1.50,2.00,1.00,1.33
2,73,time,50,90,60,130,1.80,2.17,1.20,1.44
2,74,time,60,110,60,110,1.83,1.83,1.00,1.00
2,75,time,60,110,70,150,1.83,2.14,1.17,1.36
2,76,time,60,90,70,120,1.50,1.71,1.17,1.33
2,77,time,60,100,70,120,1.67,1.71,1.17,1.20
2,78,time,60,100,60,130,1.67,2.17,1.00,1.30
2,79,time,50,80,60,100,1.60,1.67,1.20,1.25
2,80,time,50,90,60,110,1.80,1.83,1.20,1.22
2,81,time,60,90,70,110,1.50,1.57,1.17,1.22
2,82,time,60,120,80,150,2.00,1.88,1.33,1.25
2,83,time,60,90,60,120,1.50,2.00,1.00,1.33
2,84,time,50,110,60,180,2.20,3.00,1.20,1.64
2,85,time,60,80,60,100,1.33,1.67,1.00,1.25
2,86,time,50,80,60,110,1.60,1.83,1.20,1.38
2,87,time,70,130,70,130,1.86,1.86,1.00,1.00
2,88,time,50,70,60,100,1.40,1.67,1.20,1.43
2,89,time,50,120,60,140,2.40,2.33,1.20,1.17
2,90,time,50,100,60,120,2.00,2.00,1.20,1.20
2,91,time,50,120,60,140,2.40,2.33,1.20,1.17
2,92,time,60,80,60,110,1.33,1.83,1.00,1.38
2,93,time,50,80,60,100,1.60,1.67,1.20,1.25
2,94,time,70,80,70,90,1.14,1.29,1.00,1.13
2,95,time,50,80,60,100,1.60,1.67,1.20,1.25
2,96,time,60,90,70,120,1.50,1.71,1.17,1.33
2,97,time,60,80,100,110,1.33,1.10,1.67,1.38
2,98,time,50,80,60,100,1.60,1.67,1.20,1.25
2,99,time,60,80,70,100,1.33,1.43,1.17,1.25
2,100,time,60,100,60,140,1.67,2.33,1.00,1.40
3,1,time,60,120,70,210,2.00,3.00,1.17,1.75
3,2,time,50,90,60,110,1.80,1.83,1.20,1.22
3,3,time,50,100,60,150,2.00,2.50,1.20,1.50
