,,,Gecode,Gurobi,Gecode,Gurobi,Solver run time ratio,Solver run time ratio,Model run time ratio,Model run time ratio
,,,Modified,Modified,Initial,Initial,Modified,Initial,Gecode,Gurobi
Month,House,Result,,,,,,,,
5,52,time,50,70,60,100,1.40,1.67,1.20,1.43
5,53,time,50,90,60,210,1.80,3.50,1.20,2.33
5,54,time,50,100,60,110,2.00,1.83,1.20,1.10
5,55,time,70,90,80,110,1.29,1.38,1.14,1.22
5,56,time,50,110,60,150,2.20,2.50,1.20,1.36
5,57,time,60,90,60,120,1.50,2.00,1.00,1.33
5,58,time,60,90,60,150,1.50,2.50,1.00,1.67
5,59,time,60,110,60,130,1.83,2.17,1.00,1.18
5,60,time,60,100,60,120,1.67,2.00,1.00,1.20
5,61,time,60,90,60,110,1.50,1.83,1.00,1.22
5,62,time,60,90,60,110,1.50,1.83,1.00,1.22
5,63,time,50,90,60,100,1.80,1.67,1.20,1.11
5,64,time,50,60,60,90,1.20,1.50,1.20,1.50
5,65,time,50,90,60,110,1.80,1.83,1.20,1.22
5,66,time,50,90,60,100,1.80,1.67,1.20,1.11
5,67,time,60,80,60,100,1.33,1.67,1.00,1.25
5,68,time,50,80,60,110,1.60,1.83,1.20,1.38
5,69,time,60,110,70,120,1.83,1.71,1.17,1.09
5,70,time,60,80,60,100,1.33,1.67,1.00,1.25
5,71,time,60,90,60,110,1.50,1.83,1.00,1.22
5,72,time,60,90,60,110,1.50,1.83,1.00,1.22
5,73,time,50,100,60,110,2.00,1.83,1.20,1.10
5,74,time,60,150,70,120,2.50,1.71,1.17,0.80
5,75,time,60,120,70,140,2.00,2.00,1.17,1.17
5,76,time,60,80,70,110,1.33,1.57,1.17,1.38
5,77,time,60,100,70,120,1.67,1.71,1.17,1.20
5,78,time,70,140,70,150,2.00,2.14,1.00,1.07
5,79,time,90,100,60,110,1.11,1.83,0.67,1.10
5,80,time,50,80,60,110,1.60,1.83,1.20,1.38
5,81,time,50,90,60,110,1.80,1.83,1.20,1.22
5,82,time,60,140,60,130,2.33,2.17,1.00,0.93
5,83,time,60,90,60,120,1.50,2.00,1.00,1.33
5,84,time,60,110,70,130,1.83,1.86,1.17,1.18
5,85,time,50,70,60,100,1.40,1.67,1.20,1.43
5,86,time,50,80,60,120,1.60,2.00,1.20,1.50
5,87,time,60,120,60,150,2.00,2.50,1.00,1.25
5,88,time,50,70,60,100,1.40,1.67,1.20,1.43
5,89,time,60,120,70,160,2.00,2.29,1.17,1.33
5,90,time,50,80,60,120,1.60,2.00,1.20,1.50
5,91,time,60,90,60,120,1.50,2.00,1.00,1.33
5,92,time,60,80,70,110,1.33,1.57,1.17,1.38
5,93,time,50,80,60,100,1.60,1.67,1.20,1.25
5,94,time,60,70,70,90,1.17,1.29,1.17,1.29
5,95,time,50,70,60,110,1.40,1.83,1.20,1.57
5,96,time,50,110,60,120,2.20,2.00,1.20,1.09
5,97,time,60,70,60,100,1.17,1.67,1.00,1.43
5,98,time,50,70,60,100,1.40,1.67,1.20,1.43
5,99,time,60,80,70,110,1.33,1.57,1.17,1.38
5,100,time,50,110,60,140,2.20,2.33,1.20,1.27
6,1,time,60,150,70,250,2.50,3.57,1.17,1.67
6,2,time,50,90,60,110,1.80,1.83,1.20,1.22
6,3,time,60,120,60,150,2.00,2.50,1.00,1.25
6,4,time,60,80,60,100,1.33,1.67,1.00,1.25
6,5,time,60,90,70,110,1.50,1.57,1.17,1.22
6,6,time,60,90,60,110,1.50,1.83,1.00,1.22
6,7,time,60,100,70,120,1.67,1.71,1.17,1.20
6,8,time,50,110,60,170,2.20,2.83,1.20,1.55
6,9,time,60,100,60,120,1.67,2.00,1.00,1.20
6,10,time,50,100,60,120,2.00,2.00,1.20,1.20
6,11,time,50,80,60,110,1.60,1.83,1.20,1.38
6,12,time,70,90,60,100,1.29,1.67,0.86,1.11
6,13,time,60,90,100,110,1.50,1.10,1.67,1.22
6,14,time,60,80,70,100,1.33,1.43,1.17,1.25
6,15,time,60,100,60,120,1.67,2.00,1.00,1.20
6,16,time,50,90,60,120,1.80,2.00,1.20,1.33
6,17,time,50,70,60,90,1.40,1.50,1.20,1.29
6,18,time,50,100,60,120,2.00,2.00,1.20,1.20
6,19,time,60,80,70,120,1.33,1.71,1.17,1.50
6,20,time,60,110,60,140,1.83,2.33,1.00,1.27
6,21,time,60,90,60,130,1.50,2.17,1.00,1.44
6,22,time,50,90,60,100,1.80,1.67,1.20,1.11
6,23,time,50,90,60,150,1.80,2.50,1.20,1.67
6,24,time,70,80,60,100,1.14,1.67,0.86,1.25
6,25,time,50,100,60,110,2.00,1.83,1.20,1.10
6,26,time,70,90,90,110,1.29,1.22,1.29,1.22
6,27,time,50,90,60,110,1.80,1.83,1.20,1.22
6,28,time,50,90,60,120,1.80,2.00,1.20,1.33
6,29,time,50,90,60,120,1.80,2.00,1.20,1.33
6,30,time,60,120,70,120,2.00,1.71,1.17,1.00
6,31,time,60,110,60,120,1.83,2.00,1.00,1.09
6,32,time,50,70,60,100,1.40,1.67,1.20,1.43
6,33,time,60,100,60,110,1.67,1.83,1.00,1.10
6,34,time,50,80,60,100,1.60,1.67,1.20,1.25
6,35,time,50,90,60,100,1.80,1.67,1.20,1.11
6,36,time,60,80,80,100,1.33,1.25,1.33,1.25
6,37,time,60,100,70,120,1.67,1.71,1.17,1.20
6,38,time,90,80,90,110,0.89,1.22,1.00,1.38
6,39,time,50,80,60,100,1.60,1.67,1.20,1.25
6,40,time,60,80,60,100,1.33,1.67,1.00,1.25
6,41,time,60,80,70,110,1.33,1.57,1.17,1.38
6,42,time,60,80,60,120,1.33,2.00,1.00,1.50
6,43,time,50,80,60,100,1.60,1.67,1.20,1.25
6,44,time,60,70,60,100,1.17,1.67,1.00,1.43
6,45,time,60,110,70,120,1.83,1.71,1.17,1.09
6,46,time,50,80,60,120,1.60,2.00,1.20,1.50
6,47,time,50,70,60,90,1.40,1.50,1.20,1.29
6,48,time,60,90,70,120,1.50,1.71,1.17,1.33
6,49,time,50,80,60,100,1.60,1.67,1.20,1.25
6,50,time,50,80,60,100,1.60,1.67,1.20,1.25
6,51,time,50,90,60,110,1.80,1.83,1.20,1.22
6,52,time,50,80,60,110,1.60,1.83,1.20,1.38
6,53,time,50,90,60,110,1.80,1.83,1.20,1.22
6,54,time,60,90,60,110,1.50,1.83,1.00,1.22
6,55,time,60,80,70,100,1.33,1.43,1.17,1.25
6,56,time,60,120,60,120,2.00,2.00,1.00,1.00
6,57,time,60,140,60,130,2.33,2.17,1.00,0.93
6,58,time,60,80,60,110,1.33,1.83,1.00,1.38
6,59,time,60,120,80,140,2.00,1.75,1.33,1.17
6,60,time,60,90,60,110,1.50,1.83,1.00,1.22
6,61,time,50,80,60,110,1.60,1.83,1.20,1.38
6,62,time,50,100,60,110,2.00,1.83,1.20,1.10
6,63,time,50,80,60,100,1.60,1.67,1.20,1.25
6,64,time,50,60,60,90,1.20,1.50,1.20,1.50
6,65,time,50,90,60,110,1.80,1.83,1.20,1.22
6,66,time,50,80,60,110,1.60,1.83,1.20,1.38
6,67,time,60,80,60,100,1.33,1.67,1.00,1.25
6,68,time,50,80,60,110,1.60,1.83,1.20,1.38
6,69,time,60,110,70,120,1.83,1.71,1.17,1.09
6,70,time,50,70,60,100,1.40,1.67,1.20,1.43
6,71,time,60,90,70,110,1.50,1.57,1.17,1.22
6,72,time,50,80,60,110,1.60,1.83,1.20,1.38
6,73,time,50,90,60,130,1.80,2.17,1.20,1.44
6,74,time,70,110,70,150,1.57,2.14,1.00,1.36
6,75,time,60,110,70,150,1.83,2.14,1.17,1.36
6,76,time,60,80,60,110,1.33,1.83,1.00,1.38
6,77,time,70,120,80,120,1.71,1.50,1.14,1.00
6,78,time,70,110,80,140,1.57,1.75,1.14,1.27
6,79,time,60,90,60,120,1.50,2.00,1.00,1.33
6,80,time,50,100,60,120,2.00,2.00,1.20,1.20
6,81,time,50,90,60,110,1.80,1.83,1.20,1.22
6,82,time,60,130,60,160,2.17,2.67,1.00,1.23
6,83,time,60,90,60,110,1.50,1.83,1.00,1.22
6,84,time,60,110,70,110,1.83,1.57,1.17,1.00
6,85,time,50,80,60,100,1.60,1.67,1.20,1.25
6,86,time,50,80,60,110,1.60,1.83,1.20,1.38
6,87,time,50,110,60,120,2.20,2.00,1.20,1.09
6,88,time,50,80,60,100,1.60,1.67,1.20,1.25
6,89,time,60,130,70,190,2.17,2.71,1.17,1.46
6,90,time,50,80,60,120,1.60,2.00,1.20,1.50
6,91,time,60,120,70,140,2.00,2.00,1.17,1.17
6,92,time,60,80,60,100,1.33,1.67,1.00,1.25
6,93,time,50,80,60,110,1.60,1.83,1.20,1.38
6,94,time,60,70,60,100,1.17,1.67,1.00,1.43
6,95,time,50,80,60,110,1.60,1.83,1.20,1.38
6,96,time,60,110,70,130,1.83,1.86,1.17,1.18
6,97,time,50,70,60,130,1.40,2.17,1.20,1.86
6,98,time,50,70,60,100,1.40,1.67,1.20,1.43
6,99,time,60,80,70,100,1.33,1.43,1.17,1.25
6,100,time,60,110,60,150,1.83,2.50,1.00,1.36
7,1,time,60,180,70,340,3.00,4.86,1.17,1.89
7,2,time,50,90,60,120,1.80,2.00,1.20,1.33
7,3,time,50,100,70,170,2.00,2.43,1.40,1.70
7,4,time,60,80,60,110,1.33,1.83,1.00,1.38
7,5,time,60,90,70,110,1.50,1.57,1.17,1.22
7,6,time,60,90,70,110,1.50,1.57,1.17,1.22
7,7,time,60,100,60,120,1.67,2.00,1.00,1.20
7,8,time,60,110,60,140,1.83,2.33,1.00,1.27
7,9,time,60,100,60,120,1.67,2.00,1.00,1.20
7,10,time,50,100,60,130,2.00,2.17,1.20,1.30
7,11,time,50,80,60,100,1.60,1.67,1.20,1.25
7,12,time,50,80,90,110,1.60,1.22,1.80,1.38
7,13,time,60,90,80,160,1.50,2.00,1.33,1.78
7,14,time,60,70,60,100,1.17,1.67,1.00,1.43
7,15,time,60,100,60,120,1.67,2.00,1.00,1.20
7,16,time,50,90,60,120,1.80,2.00,1.20,1.33
7,17,time,50,70,60,90,1.40,1.50,1.20,1.29
7,18,time,50,100,60,120,2.00,2.00,1.20,1.20
7,19,time,60,90,70,110,1.50,1.57,1.17,1.22
7,20,time,60,110,60,150,1.83,2.50,1.00,1.36
7,21,time,50,90,60,120,1.80,2.00,1.20,1.33
7,22,time,50,80,60,110,1.60,1.83,1.20,1.38
7,23,time,50,90,60,190,1.80,3.17,1.20,2.11
7,24,time,50,80,60,110,1.60,1.83,1.20,1.38
7,25,time,50,90,60,110,1.80,1.83,1.20,1.22
7,26,time,60,110,70,120,1.83,1.71,1.17,1.09
7,27,time,50,80,60,100,1.60,1.67,1.20,1.25
7,28,time,50,80,60,110,1.60,1.83,1.20,1.38
7,29,time,60,100,60,120,1.67,2.00,1.00,1.20
7,30,time,60,120,80,130,2.00,1.63,1.33,1.08
7,31,time,50,110,60,120,2.20,2.00,1.20,1.09
7,32,time,50,70,70,100,1.40,1.43,1.40,1.43
7,33,time,50,90,60,120,1.80,2.00,1.20,1.33
7,34,time,50,80,60,100,1.60,1.67,1.20,1.25
7,35,time,50,90,60,100,1.80,1.67,1.20,1.11
7,36,time,60,80,70,100,1.33,1.43,1.17,1.25
7,37,time,60,100,70,130,1.67,1.86,1.17,1.30
7,38,time,70,80,70,110,1.14,1.57,1.00,1.38
7,39,time,50,80,60,120,1.60,2.00,1.20,1.50
7,40,time,60,80,60,100,1.33,1.67,1.00,1.25
7,41,time,60,90,70,110,1.50,1.57,1.17,1.22
7,42,time,60,80,60,110,1.33,1.83,1.00,1.38
7,43,time,50,80,60,100,1.60,1.67,1.20,1.25
7,44,time,60,70,60,90,1.17,1.50,1.00,1.29
7,45,time,50,100,60,130,2.00,2.17,1.20,1.30
7,46,time,60,80,70,120,1.33,1.71,1.17,1.50
7,47,time,50,60,60,90,1.20,1.50,1.20,1.50
7,48,time,50,80,60,100,1.60,1.67,1.20,1.25
7,49,time,50,80,60,110,1.60,1.83,1.20,1.38
7,50,time,50,80,60,100,1.60,1.67,1.20,1.25
7,51,time,50,80,60,100,1.60,1.67,1.20,1.25
7,52,time,50,70,60,100,1.40,1.67,1.20,1.43
7,53,time,50,100,60,200,2.00,3.33,1.20,2.00
7,54,time,50,90,60,110,1.80,1.83,1.20,1.22
7,55,time,60,90,70,100,1.50,1.43,1.17,1.11
7,56,time,50,120,60,120,2.40,2.00,1.20,1.00
7,57,time,60,90,60,110,1.50,1.83,1.00,1.22
7,58,time,60,80,60,110,1.33,1.83,1.00,1.38
7,59,time,80,130,70,140,1.63,2.00,0.88,1.08
7,60,time,50,90,60,110,1.80,1.83,1.20,1.22
7,61,time,50,80,60,110,1.60,1.83,1.20,1.38
7,62,time,60,90,70,110,1.50,1.57,1.17,1.22
7,63,time,50,80,60,100,1.60,1.67,1.20,1.25
7,64,time,50,70,60,90,1.40,1.50,1.20,1.29
7,65,time,50,90,60,130,1.80,2.17,1.20,1.44
7,66,time,50,80,60,110,1.60,1.83,1.20,1.38
7,67,time,60,80,70,100,1.33,1.43,1.17,1.25
7,68,time,50,80,60,100,1.60,1.67,1.20,1.25
7,69,time,60,120,70,120,2.00,1.71,1.17,1.00
7,70,time,50,80,60,110,1.60,1.83,1.20,1.38
7,71,time,60,90,70,110,1.50,1.57,1.17,1.22
7,72,time,60,90,60,120,1.50,2.00,1.00,1.33
7,73,time,50,90,60,110,1.80,1.83,1.20,1.22
7,74,time,60,110,60,120,1.83,2.00,1.00,1.09
7,75,time,60,110,70,140,1.83,2.00,1.17,1.27
7,76,time,60,90,60,120,1.50,2.00,1.00,1.33
7,77,time,70,110,70,140,1.57,2.00,1.00,1.27
7,78,time,60,100,60,140,1.67,2.33,1.00,1.40
7,79,time,120,90,60,110,0.75,1.83,0.50,1.22
7,80,time,50,90,60,110,1.80,1.83,1.20,1.22
7,81,time,50,90,60,110,1.80,1.83,1.20,1.22
7,82,time,60,120,60,120,2.00,2.00,1.00,1.00
7,83,time,60,80,60,120,1.33,2.00,1.00,1.50
7,84,time,60,110,70,130,1.83,1.86,1.17,1.18
7,85,time,50,70,60,100,1.40,1.67,1.20,1.43
7,86,time,50,90,60,110,1.80,1.83,1.20,1.22
7,87,time,50,100,60,120,2.00,2.00,1.20,1.20
7,88,time,50,70,60,100,1.40,1.67,1.20,1.43
7,89,time,60,120,70,190,2.00,2.71,1.17,1.58
7,90,time,50,80,60,120,1.60,2.00,1.20,1.50
7,91,time,60,110,60,180,1.83,3.00,1.00,1.64
7,92,time,60,90,60,100,1.50,1.67,1.00,1.11
7,93,time,50,90,60,100,1.80,1.67,1.20,1.11
7,94,time,60,70,60,90,1.17,1.50,1.00,1.29
7,95,time,60,80,60,150,1.33,2.50,1.00,1.88
7,96,time,60,110,70,120,1.83,1.71,1.17,1.09
7,97,time,50,70,60,100,1.40,1.67,1.20,1.43
7,98,time,50,70,60,100,1.40,1.67,1.20,1.43
7,99,time,60,80,70,100,1.33,1.43,1.17,1.25
7,100,time,60,100,60,130,1.67,2.17,1.00,1.30
8,1,time,60,140,70,260,2.33,3.71,1.17,1.86
8,2,time,60,90,60,100,1.50,1.67,1.00,1.11
8,3,time,60,110,60,130,1.83,2.17,1.00,1.18
8,4,time,60,90,70,110,1.50,1.57,1.17,1.22
8,5,time,60,90,70,110,1.50,1.57,1.17,1.22
8,6,time,60,80,60,100,1.33,1.67,1.00,1.25
8,7,time,60,90,60,110,1.50,1.83,1.00,1.22
8,8,time,50,110,60,190,2.20,3.17,1.20,1.73
8,9,time,60,110,70,130,1.83,1.86,1.17,1.18
8,10,time,50,100,60,130,2.00,2.17,1.20,1.30
8,11,time,50,80,60,100,1.60,1.67,1.20,1.25
8,12,time,60,80,70,110,1.33,1.57,1.17,1.38
8,13,time,60,90,70,110,1.50,1.57,1.17,1.22
8,14,time,60,70,70,110,1.17,1.57,1.17,1.57
8,15,time,60,90,60,120,1.50,2.00,1.00,1.33
8,16,time,50,90,60,110,1.80,1.83,1.20,1.22
8,17,time,50,70,60,100,1.40,1.67,1.20,1.43
8,18,time,60,100,60,120,1.67,2.00,1.00,1.20
8,19,time,60,90,60,110,1.50,1.83,1.00,1.22
8,20,time,70,130,80,150,1.86,1.88,1.14,1.15
8,21,time,50,90,60,130,1.80,2.17,1.20,1.44
8,22,time,60,90,60,100,1.50,1.67,1.00,1.11
8,23,time,50,90,60,110,1.80,1.83,1.20,1.22
8,24,time,50,80,60,100,1.60,1.67,1.20,1.25
8,25,time,50,90,60,110,1.80,1.83,1.20,1.22
8,26,time,70,100,70,100,1.43,1.43,1.00,1.00
8,27,time,50,90,60,110,1.80,1.83,1.20,1.22
8,28,time,60,80,60,110,1.33,1.83,1.00,1.38
8,29,time,50,90,60,110,1.80,1.83,1.20,1.22
8,30,time,70,130,70,110,1.86,1.57,1.00,0.85
8,31,time,60,110,60,120,1.83,2.00,1.00,1.09
8,32,time,50,80,60,100,1.60,1.67,1.20,1.25
8,33,time,50,90,60,110,1.80,1.83,1.20,1.22
8,34,time,50,80,60,100,1.60,1.67,1.20,1.25
8,35,time,50,90,60,100,1.80,1.67,1.20,1.11
8,36,time,60,80,70,110,1.33,1.57,1.17,1.38
8,37,time,60,110,70,120,1.83,1.71,1.17,1.09
8,38,time,60,90,70,110,1.50,1.57,1.17,1.22
8,39,time,50,80,60,110,1.60,1.83,1.20,1.38
8,40,time,60,90,60,100,1.50,1.67,1.00,1.11
8,41,time,60,90,70,110,1.50,1.57,1.17,1.22
8,42,time,60,80,60,120,1.33,2.00,1.00,1.50
8,43,time,50,80,60,100,1.60,1.67,1.20,1.25
8,44,time,50,70,60,90,1.40,1.50,1.20,1.29
8,45,time,50,100,60,120,2.00,2.00,1.20,1.20
8,46,time,70,90,70,120,1.29,1.71,1.00,1.33
8,47,time,50,60,60,90,1.20,1.50,1.20,1.50
8,48,time,60,90,60,120,1.50,2.00,1.00,1.33
8,49,time,60,80,60,100,1.33,1.67,1.00,1.25
8,50,time,50,80,60,100,1.60,1.67,1.20,1.25
8,51,time,50,80,60,100,1.60,1.67,1.20,1.25
8,52,time,60,80,60,100,1.33,1.67,1.00,1.25
8,53,time,50,100,60,150,2.00,2.50,1.20,1.50
8,54,time,60,110,70,110,1.83,1.57,1.17,1.00
8,55,time,60,90,70,110,1.50,1.57,1.17,1.22
8,56,time,60,110,60,130,1.83,2.17,1.00,1.18
8,57,time,60,90,60,120,1.50,2.00,1.00,1.33
8,58,time,50,80,60,100,1.60,1.67,1.20,1.25
8,59,time,60,110,60,130,1.83,2.17,1.00,1.18
8,60,time,60,100,60,110,1.67,1.83,1.00,1.10
8,61,time,50,80,60,110,1.60,1.83,1.20,1.38
8,62,time,50,90,60,100,1.80,1.67,1.20,1.11
8,63,time,50,80,60,110,1.60,1.83,1.20,1.38
8,64,time,50,60,60,90,1.20,1.50,1.20,1.50
8,65,time,50,90,60,110,1.80,1.83,1.20,1.22
8,66,time,50,90,60,100,1.80,1.67,1.20,1.11
8,67,time,70,80,80,100,1.14,1.25,1.14,1.25
8,68,time,50,80,60,100,1.60,1.67,1.20,1.25
8,69,time,60,100,60,120,1.67,2.00,1.00,1.20
8,70,time,50,70,60,100,1.40,1.67,1.20,1.43
8,71,time,60,90,70,110,1.50,1.57,1.17,1.22
8,72,time,50,90,60,120,1.80,2.00,1.20,1.33
8,73,time,50,100,60,110,2.00,1.83,1.20,1.10
8,74,time,70,120,70,110,1.71,1.57,1.00,0.92
8,75,time,70,110,70,140,1.57,2.00,1.00,1.27
8,76,time,60,80,60,100,1.33,1.67,1.00,1.25
8,77,time,60,100,60,110,1.67,1.83,1.00,1.10
8,78,time,50,90,60,120,1.80,2.00,1.20,1.33
8,79,time,60,100,80,110,1.67,1.38,1.33,1.10
8,80,time,70,110,70,130,1.57,1.86,1.00,1.18
8,81,time,50,90,60,110,1.80,1.83,1.20,1.22
8,82,time,60,120,60,120,2.00,2.00,1.00,1.00
8,83,time,60,80,60,110,1.33,1.83,1.00,1.38
8,84,time,60,100,70,120,1.67,1.71,1.17,1.20
8,85,time,60,70,60,100,1.17,1.67,1.00,1.43
8,86,time,50,90,60,110,1.80,1.83,1.20,1.22
8,87,time,60,110,60,130,1.83,2.17,1.00,1.18
8,88,time,50,80,70,100,1.60,1.43,1.40,1.25
8,89,time,60,100,60,110,1.67,1.83,1.00,1.10
8,90,time,50,80,60,120,1.60,2.00,1.20,1.50
8,91,time,60,120,60,200,2.00,3.33,1.00,1.67
8,92,time,60,80,60,100,1.33,1.67,1.00,1.25
8,93,time,50,80,60,100,1.60,1.67,1.20,1.25
8,94,time,70,70,70,100,1.00,1.43,1.00,1.43
8,95,time,60,90,70,120,1.50,1.71,1.17,1.33
8,96,time,60,100,60,110,1.67,1.83,1.00,1.10
8,97,time,50,80,60,100,1.60,1.67,1.20,1.25
8,98,time,50,80,60,100,1.60,1.67,1.20,1.25
8,99,time,60,80,70,100,1.33,1.43,1.17,1.25
8,100,time,60,110,60,130,1.83,2.17,1.00,1.18
9,1,time,60,120,60,170,2.00,2.83,1.00,1.42
9,2,time,50,90,60,100,1.80,1.67,1.20,1.11
9,3,time,50,90,60,130,1.80,2.17,1.20,1.44
9,4,time,60,90,60,110,1.50,1.83,1.00,1.22
9,5,time,60,90,70,110,1.50,1.57,1.17,1.22
9,6,time,60,80,60,100,1.33,1.67,1.00,1.25
9,7,time,60,90,60,110,1.50,1.83,1.00,1.22
9,8,time,60,110,60,140,1.83,2.33,1.00,1.27
9,9,time,60,120,60,170,2.00,2.83,1.00,1.42
9,10,time,50,100,60,130,2.00,2.17,1.20,1.30
9,11,time,50,90,60,100,1.80,1.67,1.20,1.11
9,12,time,50,80,60,110,1.60,1.83,1.20,1.38
9,13,time,80,130,70,110,1.63,1.57,0.88,0.85
9,14,time,70,110,70,100,1.57,1.43,1.00,0.91
9,15,time,50,100,60,130,2.00,2.17,1.20,1.30
9,16,time,50,90,60,120,1.80,2.00,1.20,1.33
9,17,time,50,70,60,90,1.40,1.50,1.20,1.29
9,18,time,50,110,60,120,2.20,2.00,1.20,1.09
9,19,time,60,80,60,110,1.33,1.83,1.00,1.38
9,20,time,60,120,60,160,2.00,2.67,1.00,1.33
9,21,time,60,80,60,120,1.33,2.00,1.00,1.50
9,22,time,60,100,70,110,1.67,1.57,1.17,1.10
9,23,time,50,90,60,110,1.80,1.83,1.20,1.22
9,24,time,50,80,60,100,1.60,1.67,1.20,1.25
9,25,time,60,90,60,120,1.50,2.00,1.00,1.33
9,26,time,70,80,70,100,1.14,1.43,1.00,1.25
9,27,time,50,80,60,120,1.60,2.00,1.20,1.50
9,28,time,60,80,60,110,1.33,1.83,1.00,1.38
9,29,time,50,100,60,130,2.00,2.17,1.20,1.30
9,30,time,60,100,60,110,1.67,1.83,1.00,1.10
9,31,time,60,110,60,130,1.83,2.17,1.00,1.18
9,32,time,60,70,60,100,1.17,1.67,1.00,1.43
9,33,time,50,100,60,120,2.00,2.00,1.20,1.20
9,34,time,60,70,60,100,1.17,1.67,1.00,1.43
9,35,time,50,80,60,100,1.60,1.67,1.20,1.25
9,36,time,60,80,60,110,1.33,1.83,1.00,1.38
9,37,time,60,100,70,140,1.67,2.00,1.17,1.40
9,38,time,60,80,70,110,1.33,1.57,1.17,1.38
9,39,time,50,80,60,110,1.60,1.83,1.20,1.38
9,40,time,60,90,60,110,1.50,1.83,1.00,1.22
9,41,time,60,90,60,150,1.50,2.50,1.00,1.67
9,42,time,50,80,60,110,1.60,1.83,1.20,1.38
9,43,time,60,80,60,110,1.33,1.83,1.00,1.38
9,44,time,50,60,60,90,1.20,1.50,1.20,1.50
9,45,time,50,100,60,130,2.00,2.17,1.20,1.30
9,46,time,60,80,60,110,1.33,1.83,1.00,1.38
9,47,time,50,60,60,90,1.20,1.50,1.20,1.50
9,48,time,50,80,60,100,1.60,1.67,1.20,1.25
9,49,time,50,80,60,100,1.60,1.67,1.20,1.25
9,50,time,60,80,60,100,1.33,1.67,1.00,1.25
9,51,time,50,80,60,110,1.60,1.83,1.20,1.38
9,52,time,60,80,60,100,1.33,1.67,1.00,1.25
9,53,time,60,100,60,160,1.67,2.67,1.00,1.60
9,54,time,60,110,80,130,1.83,1.63,1.33,1.18
9,55,time,60,80,70,100,1.33,1.43,1.17,1.25
9,56,time,50,110,60,140,2.20,2.33,1.20,1.27
9,57,time,60,90,60,110,1.50,1.83,1.00,1.22
9,58,time,50,80,60,100,1.60,1.67,1.20,1.25
9,59,time,60,110,60,120,1.83,2.00,1.00,1.09
9,60,time,60,90,60,110,1.50,1.83,1.00,1.22
9,61,time,50,80,60,110,1.60,1.83,1.20,1.38
9,62,time,50,90,60,110,1.80,1.83,1.20,1.22
9,63,time,50,90,60,110,1.80,1.83,1.20,1.22
9,64,time,50,70,60,90,1.40,1.50,1.20,1.29
9,65,time,50,90,60,110,1.80,1.83,1.20,1.22
9,66,time,50,90,60,100,1.80,1.67,1.20,1.11
9,67,time,60,80,60,100,1.33,1.67,1.00,1.25
9,68,time,50,80,60,100,1.60,1.67,1.20,1.25
9,69,time,60,100,60,110,1.67,1.83,1.00,1.10
9,70,time,50,70,60,100,1.40,1.67,1.20,1.43
9,71,time,60,90,70,110,1.50,1.57,1.17,1.22
9,72,time,50,90,60,110,1.80,1.83,1.20,1.22
9,73,time,50,100,60,110,2.00,1.83,1.20,1.10
9,74,time,60,110,70,130,1.83,1.86,1.17,1.18
9,75,time,60,110,70,140,1.83,2.00,1.17,1.27
9,76,time,60,80,70,110,1.33,1.57,1.17,1.38
9,77,time,60,100,70,110,1.67,1.57,1.17,1.10
9,78,time,60,100,60,120,1.67,2.00,1.00,1.20
9,79,time,60,100,70,110,1.67,1.57,1.17,1.10
9,80,time,50,120,70,150,2.40,2.14,1.40,1.25
9,81,time,50,90,60,110,1.80,1.83,1.20,1.22
9,82,time,60,120,60,130,2.00,2.17,1.00,1.08
9,83,time,50,90,60,110,1.80,1.83,1.20,1.22
9,84,time,60,100,70,130,1.67,1.86,1.17,1.30
9,85,time,60,80,60,100,1.33,1.67,1.00,1.25
9,86,time,50,90,60,110,1.80,1.83,1.20,1.22
9,87,time,60,110,60,130,1.83,2.17,1.00,1.18
9,88,time,50,70,60,100,1.40,1.67,1.20,1.43
9,89,time,50,110,60,130,2.20,2.17,1.20,1.18
9,90,time,50,90,60,120,1.80,2.00,1.20,1.33
9,91,time,60,100,60,120,1.67,2.00,1.00,1.20
9,92,time,60,80,60,100,1.33,1.67,1.00,1.25
9,93,time,50,80,60,100,1.60,1.67,1.20,1.25
9,94,time,60,70,60,100,1.17,1.67,1.00,1.43
9,95,time,60,80,60,100,1.33,1.67,1.00,1.25
9,96,time,60,100,70,120,1.67,1.71,1.17,1.20
9,97,time,50,70,60,100,1.40,1.67,1.20,1.43
9,98,time,50,80,60,100,1.60,1.67,1.20,1.25
9,99,time,60,80,70,100,1.33,1.43,1.17,1.25
9,100,time,50,100,60,140,2.00,2.33,1.20,1.40
10,1,time,60,120,60,210,2.00,3.50,1.00,1.75
10,2,time,50,90,60,110,1.80,1.83,1.20,1.22
10,3,time,50,90,60,120,1.80,2.00,1.20,1.33
10,4,time,50,80,60,100,1.60,1.67,1.20,1.25
10,5,time,60,110,70,110,1.83,1.57,1.17,1.00
10,6,time,50,80,60,110,1.60,1.83,1.20,1.38
10,7,time,60,90,60,120,1.50,2.00,1.00,1.33
10,8,time,60,100,60,140,1.67,2.33,1.00,1.40
10,9,time,60,100,60,120,1.67,2.00,1.00,1.20
10,10,time,50,100,60,130,2.00,2.17,1.20,1.30
10,11,time,50,80,60,120,1.60,2.00,1.20,1.50
10,12,time,60,90,60,110,1.50,1.83,1.00,1.22
10,13,time,60,110,70,110,1.83,1.57,1.17,1.00
