Solver,count,mean,std,min,25%,50%,75%,max
Gecode,1200.0,1.13,0.12,0.5,1.0,1.17,1.2,2.0
Gurobi,1200.0,1.29,0.16,0.69,1.22,1.25,1.38,2.78
