,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1060110.0,639610.0
1,1,first_fail,indomain_split_random,time,160.0,0.00028380900039337575
1,2,first_fail,indomain_split_random,obj,1204934.0,722674.0
1,2,first_fail,indomain_split_random,time,100.0,0.0002758070040727034
1,3,first_fail,indomain_split_random,obj,897486.0,478392.0
1,3,first_fail,indomain_split_random,time,100.0,0.0010109559952979907
1,4,first_fail,indomain_split_random,obj,771346.0,538222.0
1,4,first_fail,indomain_split_random,time,90.0,0.0007775770063744858
1,5,first_fail,indomain_split_random,obj,1623800.0,1587800.0
1,5,first_fail,indomain_split_random,time,90.0,0.0009397469984833151
1,6,first_fail,indomain_split_random,obj,582690.0,440890.0
1,6,first_fail,indomain_split_random,time,90.0,0.0008960810082498938
1,7,first_fail,indomain_split_random,obj,2951900.0,2783300.0
1,7,first_fail,indomain_split_random,time,90.0,0.0002636069984873757
1,8,first_fail,indomain_split_random,obj,561080.0,561080.0
1,8,first_fail,indomain_split_random,time,90.0,0.0007064230012474582
1,9,first_fail,indomain_split_random,obj,516128.0,487860.0
1,9,first_fail,indomain_split_random,time,90.0,0.00104509100492578
1,10,first_fail,indomain_split_random,obj,761193.0,761193.0
1,10,first_fail,indomain_split_random,time,90.0,0.0008869739976944402
2,1,first_fail,indomain_split_random,obj,1024572.0,562172.0
2,1,first_fail,indomain_split_random,time,110.0,0.00045361700176727027
2,2,first_fail,indomain_split_random,obj,1100604.0,651336.0
2,2,first_fail,indomain_split_random,time,100.0,0.00044092901225667447
2,3,first_fail,indomain_split_random,obj,856490.0,430165.0
2,3,first_fail,indomain_split_random,time,110.0,0.00027316300838720053
2,4,first_fail,indomain_split_random,obj,631460.0,407835.0
2,4,first_fail,indomain_split_random,time,90.0,0.001228465000167489
2,5,first_fail,indomain_split_random,obj,1465870.0,1417870.0
2,5,first_fail,indomain_split_random,time,100.0,0.0008850140002323315
2,6,first_fail,indomain_split_random,obj,551974.0,370124.0
2,6,first_fail,indomain_split_random,time,90.0,0.0008053070050664246
2,7,first_fail,indomain_split_random,obj,2746900.0,2560800.0
2,7,first_fail,indomain_split_random,time,90.0,0.0011800859938375652
2,8,first_fail,indomain_split_random,obj,552721.0,552721.0
2,8,first_fail,indomain_split_random,time,90.0,0.0010234340006718412
2,9,first_fail,indomain_split_random,obj,466628.0,444500.0
2,9,first_fail,indomain_split_random,time,90.0,0.0009385860030306503
2,10,first_fail,indomain_split_random,obj,700238.0,700238.0
2,10,first_fail,indomain_split_random,time,90.0,0.0010382990003563464
3,1,first_fail,indomain_split_random,obj,959306.0,545606.0
3,1,first_fail,indomain_split_random,time,100.0,0.0006950889946892858
3,2,first_fail,indomain_split_random,obj,1037046.0,566950.0
3,2,first_fail,indomain_split_random,time,100.0,0.0002639760059537366
3,3,first_fail,indomain_split_random,obj,802328.0,382403.0
3,3,first_fail,indomain_split_random,time,110.0,0.0007481560023734346
3,4,first_fail,indomain_split_random,obj,632955.0,431175.0
3,4,first_fail,indomain_split_random,time,100.0,0.0003256430063629523
3,5,first_fail,indomain_split_random,obj,1440210.0,1380210.0
3,5,first_fail,indomain_split_random,time,90.0,0.0013493559963535517
3,6,first_fail,indomain_split_random,obj,517898.0,305648.0
3,6,first_fail,indomain_split_random,time,100.0,0.000820243003545329
3,7,first_fail,indomain_split_random,obj,2671800.0,2479200.0
3,7,first_fail,indomain_split_random,time,90.0,0.0007677889952901751
3,8,first_fail,indomain_split_random,obj,453771.0,453771.0
3,8,first_fail,indomain_split_random,time,90.0,0.000872292002895847
3,9,first_fail,indomain_split_random,obj,403848.0,377864.0
3,9,first_fail,indomain_split_random,time,90.0,0.0010858099994948134
3,10,first_fail,indomain_split_random,obj,621612.0,621612.0
3,10,first_fail,indomain_split_random,time,90.0,0.0008544320007786155
4,1,first_fail,indomain_split_random,obj,963164.0,556964.0
4,1,first_fail,indomain_split_random,time,90.0,0.000932993003516458
4,2,first_fail,indomain_split_random,obj,1093030.0,612814.0
4,2,first_fail,indomain_split_random,time,110.0,0.0002615039993543178
4,3,first_fail,indomain_split_random,obj,820760.0,415455.0
4,3,first_fail,indomain_split_random,time,110.0,0.0008422780083492398
4,4,first_fail,indomain_split_random,obj,636124.0,432836.0
4,4,first_fail,indomain_split_random,time,100.0,0.0009979159949580207
4,5,first_fail,indomain_split_random,obj,1347140.0,1305740.0
4,5,first_fail,indomain_split_random,time,100.0,0.0009847879991866648
4,6,first_fail,indomain_split_random,obj,528200.0,323600.0
