,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,32,anti_first_fail,indomain_min,obj,1690300.0,1690300.0,1690300.0,6531700.0,1.0
1,32,anti_first_fail,indomain_min,time,60.0,80.0,0.00023961183615028858,,3.993530602504809e-06
1,33,anti_first_fail,indomain_min,obj,2864400.0,2864400.0,2864400.0,7594000.0,1.0
1,33,anti_first_fail,indomain_min,time,60.0,100.0,0.00020412681624293327,,3.402113604048888e-06
1,34,anti_first_fail,indomain_min,obj,1045189.0,1045189.0,1045189.0,1368839.0,1.0
1,34,anti_first_fail,indomain_min,time,60.0,70.0,0.00017286301590502262,,2.8810502650837103e-06
1,35,anti_first_fail,indomain_min,obj,3341100.0,3341100.0,3503375.0,10975375.0,1.0485693334530544
1,35,anti_first_fail,indomain_min,time,60.0,100.0,0.00019697519019246101,,3.2829198365410168e-06
1,36,anti_first_fail,indomain_min,obj,386474.0,386474.0,386474.0,386474.0,1.0
1,36,anti_first_fail,indomain_min,time,60.0,70.0,0.00016994797624647617,,2.832466270774603e-06
1,37,anti_first_fail,indomain_min,obj,1482596.0,1482596.0,1489524.0,1353824.0,1.0046728845889237
1,37,anti_first_fail,indomain_min,time,50.0,90.0,0.0001705549657344818,,3.411099314689636e-06
1,38,anti_first_fail,indomain_min,obj,88180.0,88180.0,96365.0,87310.0,1.0928215014742573
1,38,anti_first_fail,indomain_min,time,50.0,100.0,0.00017585279420018196,,3.517055884003639e-06
1,39,anti_first_fail,indomain_min,obj,1294528.0,1294528.0,1353628.0,4074016.0,1.0456537054432196
1,39,anti_first_fail,indomain_min,time,70.0,100.0,0.00019170809537172318,,2.7386870767389027e-06
1,40,anti_first_fail,indomain_min,obj,775972.0,775972.0,830572.0,994334.0,1.0703633636265226
1,40,anti_first_fail,indomain_min,time,50.0,100.0,0.0001880819909274578,,3.7616398185491564e-06
1,41,anti_first_fail,indomain_min,obj,2352740.0,2352740.0,2352740.0,3469340.0,1.0
1,41,anti_first_fail,indomain_min,time,50.0,90.0,0.00019333790987730026,,3.866758197546005e-06
1,42,anti_first_fail,indomain_min,obj,1794350.0,1794350.0,1796500.0,1802475.0,1.0011982054783068
1,42,anti_first_fail,indomain_min,time,60.0,80.0,0.00018238602206110954,,3.039767034351826e-06
1,43,anti_first_fail,indomain_min,obj,1399595.0,1399595.0,1399595.0,3184795.0,1.0
1,43,anti_first_fail,indomain_min,time,60.0,80.0,0.0001886559184640646,,3.14426530773441e-06
1,44,anti_first_fail,indomain_min,obj,2191025.0,2191025.0,2191025.0,2533825.0,1.0
1,44,anti_first_fail,indomain_min,time,50.0,70.0,0.00017255404964089394,,3.451080992817879e-06
1,45,anti_first_fail,indomain_min,obj,164089.0,164089.0,164089.0,183389.0,1.0
