,,,,,Gecode,OGSA,Preferred
,,,,,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,
1,50,anti_first_fail,indomain_min,obj,358540.0,358540.0,403876.0
1,50,anti_first_fail,indomain_min,time,60.0,0.0002498521935194731,
1,51,anti_first_fail,indomain_min,obj,934470.0,934470.0,1226750.0
1,51,anti_first_fail,indomain_min,time,60.0,0.0002068819012492895,
1,52,anti_first_fail,indomain_min,obj,254540.0,254540.0,502096.0
1,52,anti_first_fail,indomain_min,time,60.0,0.00033637206070125103,
1,53,anti_first_fail,indomain_min,obj,712400.0,712400.0,925790.0
1,53,anti_first_fail,indomain_min,time,60.0,0.00030992901884019375,
1,54,anti_first_fail,indomain_min,obj,1359930.0,1359930.0,1947538.0
1,54,anti_first_fail,indomain_min,time,60.0,0.00024646217934787273,
1,55,anti_first_fail,indomain_min,obj,658385.0,658385.0,983781.0
1,55,anti_first_fail,indomain_min,time,60.0,0.0002037819940596819,
1,56,anti_first_fail,indomain_min,obj,968487.0,968435.0,1363336.0
1,56,anti_first_fail,indomain_min,time,60.0,0.0002689880784600973,
1,57,anti_first_fail,indomain_min,obj,766740.0,766740.0,2893390.0
1,57,anti_first_fail,indomain_min,time,60.0,0.0002568489871919155,
1,58,anti_first_fail,indomain_min,obj,853450.0,853450.0,1181790.0
1,58,anti_first_fail,indomain_min,time,60.0,0.0002569640055298805,
1,59,anti_first_fail,indomain_min,obj,579020.0,579020.0,1465670.0
1,59,anti_first_fail,indomain_min,time,60.0,0.0002644679043442011,
1,60,anti_first_fail,indomain_min,obj,895995.0,892275.0,1824465.0
1,60,anti_first_fail,indomain_min,time,60.0,0.00036511989310383797,
1,61,anti_first_fail,indomain_min,obj,452140.0,452140.0,961336.0
1,61,anti_first_fail,indomain_min,time,60.0,0.00021116901189088821,
1,62,anti_first_fail,indomain_min,obj,410215.0,410215.0,612952.0
1,62,anti_first_fail,indomain_min,time,60.0,0.00029203412123024464,
1,63,anti_first_fail,indomain_min,obj,649025.0,649025.0,755410.0
1,63,anti_first_fail,indomain_min,time,60.0,0.0003350391052663326,
1,64,anti_first_fail,indomain_min,obj,1059010.0,1059010.0,1480580.0
1,64,anti_first_fail,indomain_min,time,60.0,0.00022860709577798843,
1,65,anti_first_fail,indomain_min,obj,1131340.0,1131340.0,3157102.0
1,65,anti_first_fail,indomain_min,time,60.0,0.0002562999725341797,
1,66,anti_first_fail,indomain_min,obj,2032940.0,2032940.0,2938420.0
1,66,anti_first_fail,indomain_min,time,60.0,0.0002091370988637209,
1,67,anti_first_fail,indomain_min,obj,938380.0,938080.0,1350180.0
1,67,anti_first_fail,indomain_min,time,60.0,0.00025281310081481934,
1,68,anti_first_fail,indomain_min,obj,1419405.0,1419405.0,2906930.0
1,68,anti_first_fail,indomain_min,time,60.0,0.0002080791164189577,
1,69,anti_first_fail,indomain_min,obj,3384550.0,3384550.0,5110594.0
1,69,anti_first_fail,indomain_min,time,60.0,0.00020819203928112984,
1,70,anti_first_fail,indomain_min,obj,1599800.0,1584400.0,5903340.0
1,70,anti_first_fail,indomain_min,time,60.0,0.00027482793666422367,
1,71,anti_first_fail,indomain_min,obj,378625.0,378625.0,480520.0
1,71,anti_first_fail,indomain_min,time,60.0,0.00028021098114550114,
1,72,anti_first_fail,indomain_min,obj,1044290.0,1044290.0,7394397.0
1,72,anti_first_fail,indomain_min,time,60.0,0.00020420108921825886,
1,73,anti_first_fail,indomain_min,obj,681915.0,681915.0,2206712.0
1,73,anti_first_fail,indomain_min,time,60.0,0.00029984000138938427,
1,74,anti_first_fail,indomain_min,obj,179075.0,179075.0,1281370.0
1,74,anti_first_fail,indomain_min,time,60.0,0.00020686513744294643,
1,75,anti_first_fail,indomain_min,obj,1332825.0,1332825.0,3663348.0
1,75,anti_first_fail,indomain_min,time,90.0,0.0002587670460343361,
1,76,anti_first_fail,indomain_min,obj,264875.0,264875.0,388000.0
1,76,anti_first_fail,indomain_min,time,60.0,0.00024863891303539276,
1,77,anti_first_fail,indomain_min,obj,735540.0,735540.0,1152920.0
1,77,anti_first_fail,indomain_min,time,80.0,0.0002580478321760893,
1,78,anti_first_fail,indomain_min,obj,1115400.0,1115400.0,1625420.0
1,78,anti_first_fail,indomain_min,time,60.0,0.00021475995890796185,
1,79,anti_first_fail,indomain_min,obj,1077830.0,1077830.0,11032836.0
1,79,anti_first_fail,indomain_min,time,80.0,0.00023671495728194714,
1,80,anti_first_fail,indomain_min,obj,911967.0,877317.0,1299759.0
1,80,anti_first_fail,indomain_min,time,60.0,0.00025330111384391785,
1,81,anti_first_fail,indomain_min,obj,656240.0,656240.0,885080.0
1,81,anti_first_fail,indomain_min,time,60.0,0.0002124980092048645,
1,82,anti_first_fail,indomain_min,obj,1184625.0,1184625.0,1778790.0
1,82,anti_first_fail,indomain_min,time,60.0,0.00022359192371368408,
1,83,anti_first_fail,indomain_min,obj,875680.0,875680.0,1151752.0
1,83,anti_first_fail,indomain_min,time,60.0,0.00020985212177038193,
1,84,anti_first_fail,indomain_min,obj,1866500.0,1866500.0,6070200.0
1,84,anti_first_fail,indomain_min,time,60.0,0.00030468404293060303,
1,85,anti_first_fail,indomain_min,obj,1651000.0,1651000.0,2166750.0
1,85,anti_first_fail,indomain_min,time,60.0,0.00024484400637447834,
1,86,anti_first_fail,indomain_min,obj,151840.0,151840.0,585296.0
1,86,anti_first_fail,indomain_min,time,60.0,0.0002077799290418625,
1,87,anti_first_fail,indomain_min,obj,1252370.0,1252370.0,1494990.0
1,87,anti_first_fail,indomain_min,time,60.0,0.00025777705013751984,
1,88,anti_first_fail,indomain_min,obj,229645.0,229645.0,289740.0
1,88,anti_first_fail,indomain_min,time,60.0,0.00025509996339678764,
1,89,anti_first_fail,indomain_min,obj,545475.0,545475.0,1506195.0
1,89,anti_first_fail,indomain_min,time,60.0,0.00020781205967068672,
1,90,anti_first_fail,indomain_min,obj,1328500.0,1170700.0,5410300.0
1,90,anti_first_fail,indomain_min,time,60.0,0.0002985668834298849,
1,91,anti_first_fail,indomain_min,obj,863941.0,863525.0,1719133.0
1,91,anti_first_fail,indomain_min,time,60.0,0.0002515988890081644,
1,92,anti_first_fail,indomain_min,obj,1109160.0,1109160.0,1633132.0
1,92,anti_first_fail,indomain_min,time,60.0,0.00020437384955585003,
1,93,anti_first_fail,indomain_min,obj,678275.0,678275.0,786000.0
1,93,anti_first_fail,indomain_min,time,60.0,0.00030579487793147564,
1,94,anti_first_fail,indomain_min,obj,525950.0,525950.0,710870.0
1,94,anti_first_fail,indomain_min,time,60.0,0.00029766280204057693,
1,95,anti_first_fail,indomain_min,obj,501235.0,501235.0,2363784.0
1,95,anti_first_fail,indomain_min,time,60.0,0.00023772381246089935,
1,96,anti_first_fail,indomain_min,obj,448045.0,448045.0,569329.0
1,96,anti_first_fail,indomain_min,time,60.0,0.00029971497133374214,
1,97,anti_first_fail,indomain_min,obj,1163870.0,1162070.0,2308660.0
1,97,anti_first_fail,indomain_min,time,60.0,0.0002666329964995384,
1,98,anti_first_fail,indomain_min,obj,1085976.0,1085760.0,1681520.0
1,98,anti_first_fail,indomain_min,time,60.0,0.00030233804136514664,
1,99,anti_first_fail,indomain_min,obj,72020.0,72020.0,73426.0
1,99,anti_first_fail,indomain_min,time,60.0,0.0002824000548571348,
1,100,anti_first_fail,indomain_min,obj,409240.0,409240.0,576452.0
1,100,anti_first_fail,indomain_min,time,60.0,0.0002520349808037281,
2,1,anti_first_fail,indomain_min,obj,376000.0,367700.0,485110.0
2,1,anti_first_fail,indomain_min,time,60.0,0.0003884909674525261,
2,2,anti_first_fail,indomain_min,obj,202581.0,210676.0,311696.0
2,2,anti_first_fail,indomain_min,time,60.0,0.0003421930596232414,
2,3,anti_first_fail,indomain_min,obj,309568.0,306084.0,532496.0
2,3,anti_first_fail,indomain_min,time,60.0,0.000382379163056612,
2,4,anti_first_fail,indomain_min,obj,329708.0,323708.0,527712.0
2,4,anti_first_fail,indomain_min,time,60.0,0.0002706041559576988,
2,5,anti_first_fail,indomain_min,obj,670495.0,670495.0,1782465.0
2,5,anti_first_fail,indomain_min,time,60.0,0.00022073090076446533,
2,6,anti_first_fail,indomain_min,obj,853700.0,820850.0,1273060.0
2,6,anti_first_fail,indomain_min,time,60.0,0.0003515249118208885,
2,7,anti_first_fail,indomain_min,obj,138812.0,135886.0,233894.0
2,7,anti_first_fail,indomain_min,time,60.0,0.00026430911384522915,
2,8,anti_first_fail,indomain_min,obj,762820.0,753150.0,1726570.0
2,8,anti_first_fail,indomain_min,time,60.0,0.0003315939102321863,
2,9,anti_first_fail,indomain_min,obj,2166800.0,2166800.0,5648000.0
2,9,anti_first_fail,indomain_min,time,60.0,0.00023163692094385624,
2,10,anti_first_fail,indomain_min,obj,277988.0,277974.0,488652.0
2,10,anti_first_fail,indomain_min,time,60.0,0.000280844047665596,
2,11,anti_first_fail,indomain_min,obj,758336.0,730708.0,1192320.0
2,11,anti_first_fail,indomain_min,time,60.0,0.0006118388846516609,
2,12,anti_first_fail,indomain_min,obj,1969360.0,1969360.0,3173520.0
2,12,anti_first_fail,indomain_min,time,60.0,0.00022435910068452358,
2,13,anti_first_fail,indomain_min,obj,295120.0,295040.0,522670.0
2,13,anti_first_fail,indomain_min,time,60.0,0.0002775199245661497,
2,14,anti_first_fail,indomain_min,obj,1563700.0,1530850.0,3031700.0
2,14,anti_first_fail,indomain_min,time,60.0,0.0003205318935215473,
