,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,997620.0,997620.0,1793820.0,1.0
1,1,anti_first_fail,indomain_min,time,60.0,0.0002840419765561819,,4.734032942603032e-06
1,2,anti_first_fail,indomain_min,obj,3966625.0,3966625.0,4372890.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,0.00018572015687823296,,3.0953359479705493e-06
1,3,anti_first_fail,indomain_min,obj,979420.0,979420.0,1091412.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,0.00022102403454482555,,3.683733909080426e-06
1,4,anti_first_fail,indomain_min,obj,197990.0,197990.0,303528.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.00021727918647229671,,3.6213197745382787e-06
1,5,anti_first_fail,indomain_min,obj,516100.0,516100.0,790820.0,1.0
1,5,anti_first_fail,indomain_min,time,60.0,0.00024153199046850204,,4.025533174475034e-06
1,6,anti_first_fail,indomain_min,obj,1080570.0,1080495.0,1596389.0,0.9999305921874566
1,6,anti_first_fail,indomain_min,time,60.0,0.00021449802443385124,,3.5749670738975207e-06
1,7,anti_first_fail,indomain_min,obj,1436500.0,1436500.0,2094600.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,0.00028347503393888474,,4.7245838989814125e-06
1,8,anti_first_fail,indomain_min,obj,1140360.0,1140360.0,1966944.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,0.0002577349077910185,,4.295581796516975e-06
1,9,anti_first_fail,indomain_min,obj,1147985.0,1147950.0,1262750.0,0.999969511796757
1,9,anti_first_fail,indomain_min,time,60.0,0.0002428439911454916,,4.04739985242486e-06
1,10,anti_first_fail,indomain_min,obj,1081825.0,1081825.0,2250300.0,1.0
1,10,anti_first_fail,indomain_min,time,60.0,0.00017395592294633389,,2.899265382438898e-06
1,11,anti_first_fail,indomain_min,obj,632450.0,632450.0,1141947.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,0.00016770604997873306,,2.7951008329788844e-06
1,12,anti_first_fail,indomain_min,obj,2082270.0,2079870.0,2843856.0,0.9988474117189413
1,12,anti_first_fail,indomain_min,time,60.0,0.00034387107007205486,,5.731184501200914e-06
