Month,House,Limit,OGSA,Optimised,Preferred
1,1,6000,2708,3608,2400
2,1,6000,3908,3900,2400
1,2,30000,6000,6220,11000
2,2,30000,6235,6220,11000
1,3,20000,4090,5598,5500
2,3,20000,6790,5598,5500
1,4,3500,1331,1331,700
2,4,3500,1406,1386,700
1,5,10500,2338,2548,2100
2,5,10500,2758,2548,2100
1,6,12000,3755,2557,2400
2,6,12000,3757,3682,2400
1,7,17500,4100,6500,3500
2,7,17500,6650,6600,3500
1,8,18000,6192,3600,3600
2,8,18000,8592,4872,3600
1,9,6000,2265,2200,1200
2,9,6000,2265,2200,1200
1,10,30000,6050,6475,6000
2,10,30000,6475,6475,6000
1,11,11500,2602,2657,2300
2,11,11500,2657,2657,2300
1,12,18000,6158,3668,3600
2,12,18000,6368,3600,3600
1,13,12000,5200,2800,2400
2,13,12000,5200,2800,2400
1,14,12000,3610,2810,2400
2,14,12000,3710,3600,2400
1,15,30000,6000,8500,6000
2,15,30000,8500,8500,6000
1,16,11500,3895,3880,2300
2,16,11500,3900,3880,2300
1,17,11500,3200,3500,2300
2,17,11500,4600,3500,2300
1,18,2750,566,716,550
2,18,2750,1116,716,550
1,19,20000,4730,7080,4000
2,19,20000,7030,7080,4000
1,20,12000,3450,4000,2450
2,20,12000,4100,4000,2450
1,21,10500,4800,2908,2100
2,21,10500,4900,2908,2100
1,22,12000,2614,2615,2400
2,22,12000,2615,2615,2400
1,23,12000,2455,2455,2400
2,23,12000,4855,2455,2400
1,24,20000,4100,4400,4000
2,24,20000,5400,5300,4000
1,25,30000,7149,7148,6000
2,25,30000,7297,7148,6000
1,26,12000,3000,2400,2400
2,26,12000,4800,2400,2400
1,27,5500,1100,1225,1105
2,27,5500,1285,1225,1105
1,28,30000,6006,10704,6004
2,28,30000,10704,10704,6004
1,29,12000,5700,4500,2400
2,29,12000,5790,4500,2400
1,30,10500,4455,3255,2100
2,30,10500,4457,3255,2100
1,31,6000,2255,2503,1200
2,31,6000,2503,2503,1200
1,32,5000,1000,1361,1000
2,32,5000,1511,1506,1000
1,33,4500,993,1118,900
2,33,4500,1118,1118,900
1,34,6000,1880,1800,1200
2,34,6000,2020,1800,1200
1,35,6000,1326,1226,1226
2,35,6000,1726,1615,1226
1,36,7500,2200,2252,1502
2,36,7500,2252,2252,1502
1,37,25000,7268,6000,5000
2,37,25000,7268,6000,5000
1,38,10000,2077,2082,2062
2,38,10000,2082,2082,2062
1,39,6000,1743,2093,1200
2,39,6000,2093,2093,1200
1,40,5500,1215,1395,1100
2,40,5500,1315,1395,1100
1,41,3000,1000,1150,610
2,41,3000,1150,1150,610
1,42,30000,9550,9550,6000
2,42,30000,10755,9550,6000
1,43,6000,1530,1530,1410
2,43,6000,1530,1530,1410
1,44,20000,4005,6072,4000
2,44,20000,6009,6072,4000
1,45,30000,9890,8550,6000
2,45,30000,9890,8550,6000
1,46,10000,2100,2000,2000
2,46,10000,2680,2550,2000
1,47,12000,3100,3700,2400
2,47,12000,4100,3700,2400
1,48,6000,3411,3711,1200
2,48,6000,3711,3711,1200
1,49,6000,1428,1478,1200
2,49,6000,1428,1478,1200
1,50,10500,4150,5298,2100
2,50,10500,5298,5298,2100
