,,,,,Optimistic,Gecode,Gurobi
,,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,,,obj,1802050.0,,
1,1,,,time,0.0030740919974050485,,
1,1,first_fail,indomain_split_random,obj,,1802050.0,1802050.0
1,1,first_fail,indomain_split_random,time,,220.0,190.0
1,2,,,obj,2587232.0,,
1,2,,,time,0.00018641699716681615,,
1,2,first_fail,indomain_split_random,obj,,2587232.0,2587232.0
1,2,first_fail,indomain_split_random,time,,90.0,140.0
1,3,,,obj,1262635.0,,
1,3,,,time,0.003729244002897758,,
1,3,first_fail,indomain_split_random,obj,,1262635.0,1262635.0
1,3,first_fail,indomain_split_random,time,,90.0,180.0
2,1,,,obj,1716480.0,,
2,1,,,time,0.003070976003073156,,
2,1,first_fail,indomain_split_random,obj,,1716480.0,1716480.0
2,1,first_fail,indomain_split_random,time,,100.0,190.0
2,2,,,obj,2381684.0,,
2,2,,,time,0.00023925400455482304,,
2,2,first_fail,indomain_split_random,obj,,2381684.0,2381684.0
2,2,first_fail,indomain_split_random,time,,130.0,150.0
2,3,,,obj,1177165.0,,
2,3,,,time,0.006752031003998127,,
2,3,first_fail,indomain_split_random,obj,,1177165.0,1177165.0
2,3,first_fail,indomain_split_random,time,,100.0,190.0
3,1,,,obj,1642980.0,,
3,1,,,time,0.0045035310031380504,,
3,1,first_fail,indomain_split_random,obj,,1642980.0,1642980.0
3,1,first_fail,indomain_split_random,time,,100.0,150.0
3,2,,,obj,2294832.0,,
3,2,,,time,0.00021410199406091124,,
3,2,first_fail,indomain_split_random,obj,,2294832.0,2294832.0
3,2,first_fail,indomain_split_random,time,,90.0,140.0
3,3,,,obj,1176685.0,,
3,3,,,time,0.0031680109968874604,,
3,3,first_fail,indomain_split_random,obj,,1176685.0,1176685.0
3,3,first_fail,indomain_split_random,time,,90.0,180.0
