,,,,,Gecode,Gecode,OGSA,Model Run Time Ratio
,,,,,Initial,Modified,Modified,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,
1,1,input_order,indomain_max,800,90.0,70.0,0.00016258470714092255,1.2857142857142858
1,2,input_order,indomain_max,800,80.0,70.0,0.00019116979092359543,1.1428571428571428
2,1,input_order,indomain_max,800,70.0,80.0,0.00019096676260232925,0.875
2,2,input_order,indomain_max,800,80.0,80.0,0.00025520194321870804,1.0
