,,,,,Gecode,OGSA,Preferred,Obj ratio,OGSA,Optimised,Preferred,Max ratio
1,1,input_order,indomain_min,obj,94705,94705,133761,1,1031,1128,1000,0.914007092
2,1,input_order,indomain_min,obj,76700,76700,131675,1,1097,1128,1000,0.97251773
3,1,input_order,indomain_min,obj,81592,81592,122797,1,1097,1128,1000,0.97251773
4,1,input_order,indomain_min,obj,75868,75868,141158,1,1128,1128,1000,1
5,1,input_order,indomain_min,obj,59945,59945,152387,1,1108,1128,1000,0.982269504
6,1,input_order,indomain_min,obj,75868,75868,189922,1,1128,1128,1000,1
7,1,input_order,indomain_min,obj,39339,39339,142120,1,1083,1128,1000,0.960106383
8,1,input_order,indomain_min,obj,43814,43814,216247,1,1128,1128,1000,1
9,1,input_order,indomain_min,obj,86067,86067,205995,1,1108,1128,1000,0.982269504
10,1,input_order,indomain_min,obj,98243,98243,184172,1,1128,1128,1000,1
11,1,input_order,indomain_min,obj,104904,104904,158375,1,1056,1128,1000,0.936170213
12,1,input_order,indomain_min,obj,83049,83049,160352,1,1000,1128,1000,0.886524823
2,2,input_order,indomain_min,obj,66186,66186,170799,1,584,584,300,1
3,2,input_order,indomain_min,obj,70448,70448,105112,1,335,584,300,0.573630137
4,2,input_order,indomain_min,obj,65526,65526,109680,1,584,584,300,1
5,2,input_order,indomain_min,obj,51798,51798,128038,1,584,584,300,1
8,2,input_order,indomain_min,obj,37850,37850,148871,1,584,584,300,1
10,2,input_order,indomain_min,obj,85826,85826,143113,1,584,584,300,1
12,2,input_order,indomain_min,obj,71706,71706,130257,1,430,584,300,0.73630137
11,2,input_order,indomain_min,obj,90576,90631,140825,1.000607225,505,584,300,0.864726027
1,2,input_order,indomain_min,obj,81770,81990,372714,1.002690473,430,584,300,0.73630137
6,2,input_order,indomain_min,obj,65676,65856,154837,1.002740727,580,584,300,0.993150685
7,2,input_order,indomain_min,obj,33966,34076,122453,1.003238533,300,584,300,0.51369863
9,2,input_order,indomain_min,obj,74482,75432,154375,1.01275476,584,584,300,1
11,3,input_order,indomain_min,obj,1358838,1360680,1832695,1.00135557,3662,4062,2800,0.901526342
7,3,input_order,indomain_min,obj,509634,511755,1369626,1.00416181,4062,4062,2800,1
