,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,1904375.0,1904375.0,16160300.0,1.0
1,1,anti_first_fail,indomain_min,time,60.0,0.0001585350837558508,,2.6422513959308465e-06
1,2,anti_first_fail,indomain_min,obj,1068347.0,1068347.0,3314447.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,0.00025571417063474655,,4.261902843912443e-06
1,3,anti_first_fail,indomain_min,obj,1111650.0,1111650.0,1491490.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,0.00016238191165030003,,2.706365194171667e-06
1,4,anti_first_fail,indomain_min,obj,2034080.0,2034080.0,3104760.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.0003216490149497986,,5.360816915829976e-06
1,5,anti_first_fail,indomain_min,obj,502660.0,502450.0,540680.0,0.9995822225758962
1,5,anti_first_fail,indomain_min,time,70.0,0.0003286129795014858,,4.6944711357355114e-06
1,6,anti_first_fail,indomain_min,obj,1180715.0,1180715.0,4276290.0,1.0
1,6,anti_first_fail,indomain_min,time,60.0,0.0002543248701840639,,4.238747836401065e-06
1,7,anti_first_fail,indomain_min,obj,2366520.0,2366520.0,3325350.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,0.0001672450453042984,,2.7874174217383067e-06
1,8,anti_first_fail,indomain_min,obj,1798565.0,1798550.0,2869435.0,0.9999916600178476
1,8,anti_first_fail,indomain_min,time,60.0,0.00034066312946379185,,5.67771882439653e-06
1,9,anti_first_fail,indomain_min,obj,2090000.0,2090000.0,2441451.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,0.0003189451526850462,,5.31575254475077e-06
1,10,anti_first_fail,indomain_min,obj,578372.0,577460.0,826352.0,0.998423160180645
1,10,anti_first_fail,indomain_min,time,70.0,0.0002580380532890558,,3.686257904129369e-06
1,11,anti_first_fail,indomain_min,obj,1528475.0,1528475.0,3920165.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,0.000273894052952528,,4.564900882542133e-06
1,12,anti_first_fail,indomain_min,obj,617625.0,604865.0,1028708.0,0.9793402145314714
1,12,anti_first_fail,indomain_min,time,80.0,0.00036696577444672585,,4.587072180584073e-06
