,,,,,Gecode,Preferred,OGSA
,,,,,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
5,9,input_order,indomain_min,time,90.0,,0.00036270599957788363
5,10,input_order,indomain_min,obj,1089366.0,709456.0,1089366.0
5,10,input_order,indomain_min,time,90.0,,0.0003408819993637735
6,1,input_order,indomain_min,obj,1723405.0,793655.0,1723405.0
6,1,input_order,indomain_min,time,90.0,,0.00030879299993102904
6,2,input_order,indomain_min,obj,100884269.0,461990.0,100884269.0
6,2,input_order,indomain_min,time,90.0,,0.0006702150003548013
6,3,input_order,indomain_min,obj,155971.0,154256.0,155971.0
6,3,input_order,indomain_min,time,100.0,,0.0007045919992378913
6,4,input_order,indomain_min,obj,1014201.0,689421.0,1014201.0
6,4,input_order,indomain_min,time,80.0,,0.0001986600000236649
6,5,input_order,indomain_min,obj,389808.0,136608.0,389808.0
6,5,input_order,indomain_min,time,90.0,,0.000569069999983185
6,6,input_order,indomain_min,obj,1917676.0,2081280.0,1917676.0
6,6,input_order,indomain_min,time,90.0,,0.0008839069996611215
6,7,input_order,indomain_min,obj,2475060.0,3949760.0,2475060.0
6,7,input_order,indomain_min,time,90.0,,0.0002273659993079491
6,8,input_order,indomain_min,obj,670390.0,571920.0,670390.0
6,8,input_order,indomain_min,time,100.0,,0.000315641998895444
6,9,input_order,indomain_min,obj,1720460.0,1785140.0,1720460.0
6,9,input_order,indomain_min,time,90.0,,0.0005523559993889648
6,10,input_order,indomain_min,obj,1276431.0,894586.0,1276431.0
6,10,input_order,indomain_min,time,90.0,,0.00031636700077797286
7,1,input_order,indomain_min,obj,1560390.0,588940.0,1560390.0
7,1,input_order,indomain_min,time,90.0,,0.00027657300051942
7,2,input_order,indomain_min,obj,100832782.0,357223.0,100832782.0
7,2,input_order,indomain_min,time,90.0,,0.00039514499985671137
7,3,input_order,indomain_min,obj,116184.0,117884.0,116184.0
7,3,input_order,indomain_min,time,100.0,,0.0003633519991126377
7,4,input_order,indomain_min,obj,837344.0,513564.0,837344.0
7,4,input_order,indomain_min,time,90.0,,0.00023053199947753455
7,5,input_order,indomain_min,obj,341973.0,83973.0,341973.0
7,5,input_order,indomain_min,time,90.0,,0.0002557320003688801
7,6,input_order,indomain_min,obj,1489004.0,1511928.0,1489004.0
7,6,input_order,indomain_min,time,90.0,,0.0003408939992368687
7,7,input_order,indomain_min,obj,1593825.0,3120225.0,1593825.0
