,,,,,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,input_order,indomain_min,obj,1739850.0,1628100.0,2040100.0,1488500.0
1,1,input_order,indomain_min,time,100.0,200.0,,0.00017440599913243204
1,2,input_order,indomain_min,obj,184630.0,160750.0,74930.0,63850.0
1,2,input_order,indomain_min,time,90.0,180.0,,0.00014542200005962513
1,3,input_order,indomain_min,obj,933316.0,933316.0,988326.0,826016.0
1,3,input_order,indomain_min,time,100.0,210.0,,0.00014822800039837603
1,4,input_order,indomain_min,obj,402121.0,402121.0,445896.0,402121.0
1,4,input_order,indomain_min,time,130.0,160.0,,0.00018507999993744306
1,5,input_order,indomain_min,obj,1917590.0,1917590.0,2088790.0,1917590.0
1,5,input_order,indomain_min,time,110.0,200.0,,0.00028043299971614033
1,6,input_order,indomain_min,obj,2354544.0,2354544.0,2442204.0,2010504.0
1,6,input_order,indomain_min,time,100.0,190.0,,0.00017452400061301887
1,7,input_order,indomain_min,obj,1959150.0,1959150.0,1834910.0,1693830.0
1,7,input_order,indomain_min,time,110.0,210.0,,0.00017527699856145773
1,8,input_order,indomain_min,obj,2932834.0,2932834.0,4064794.0,2932834.0
1,8,input_order,indomain_min,time,130.0,190.0,,0.00016173499898286536
1,9,input_order,indomain_min,obj,1261871.0,1261871.0,1167455.0,1033910.0
1,9,input_order,indomain_min,time,100.0,280.0,,0.00031135800054471474
1,10,input_order,indomain_min,obj,688252.0,688252.0,391506.0,390706.0
1,10,input_order,indomain_min,time,100.0,300.0,,0.00014517300041916315
1,11,input_order,indomain_min,obj,565865.0,562925.0,607955.0,481205.0
1,11,input_order,indomain_min,time,100.0,200.0,,0.00014458599980571307
1,12,input_order,indomain_min,obj,496001.0,250096.0,246781.0,193951.0
1,12,input_order,indomain_min,time,110.0,230.0,,0.00016551000044273678
1,13,input_order,indomain_min,obj,1213545.0,1213545.0,1836745.0,1141645.0
1,13,input_order,indomain_min,time,100.0,220.0,,0.00024716000007174443
1,14,input_order,indomain_min,obj,134371.0,134371.0,99305.0,83465.0
1,14,input_order,indomain_min,time,120.0,250.0,,0.0001457639991713222
1,15,input_order,indomain_min,obj,355800.0,255596.0,444664.0,232464.0
1,15,input_order,indomain_min,time,100.0,170.0,,0.00019839000015053898
