,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,70.0,100.0,60.0,80.0,0.00018449965864419937,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,1,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.00021584518253803253,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,2,anti_first_fail,indomain_min,0,70.0,110.0,60.0,100.0,0.00019045686349272728,1.5714285714285714,1.6666666666666667,1.1,1.1666666666666667
1,2,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,90.0,0.00027247611433267593,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
1,3,anti_first_fail,indomain_min,0,70.0,120.0,60.0,100.0,0.00019150599837303162,1.7142857142857142,1.6666666666666667,1.2,1.1666666666666667
1,3,anti_first_fail,indomain_min,1000,70.0,120.0,70.0,100.0,0.0001933886669576168,1.7142857142857142,1.4285714285714286,1.2,1.0
2,1,anti_first_fail,indomain_min,0,70.0,100.0,60.0,80.0,0.00027383677661418915,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,1,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.00020731613039970398,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,2,anti_first_fail,indomain_min,0,70.0,120.0,60.0,100.0,0.0001968061551451683,1.7142857142857142,1.6666666666666667,1.2,1.1666666666666667
2,2,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,90.0,0.00020162388682365417,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,3,anti_first_fail,indomain_min,0,70.0,120.0,60.0,100.0,0.0002061626873910427,1.7142857142857142,1.6666666666666667,1.2,1.1666666666666667
2,3,anti_first_fail,indomain_min,1000,80.0,120.0,70.0,100.0,0.00019574398174881935,1.5,1.4285714285714286,1.2,1.1428571428571428
