,,,,,Gecode,Gurobi
,,,,,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,
1,1,anti_first_fail,indomain,time,60.0,160.0
1,1,anti_first_fail,indomain_interval,time,60.0,100.0
1,1,anti_first_fail,indomain_max,time,60.0,90.0
1,1,anti_first_fail,indomain_min,time,60.0,90.0
1,1,anti_first_fail,indomain_reverse_split,time,60.0,90.0
1,1,anti_first_fail,indomain_split,time,60.0,90.0
1,1,anti_first_fail,indomain_split_random,time,60.0,90.0
1,1,anti_first_fail,outdomain_max,time,60.0,220.0
1,1,anti_first_fail,outdomain_median,time,70.0,90.0
1,1,anti_first_fail,outdomain_min,time,60.0,90.0
1,1,anti_first_fail,outdomain_random,time,60.0,90.0
1,1,dom_w_deg,indomain,time,60.0,90.0
1,1,dom_w_deg,indomain_interval,time,60.0,90.0
1,1,dom_w_deg,indomain_max,time,60.0,90.0
1,1,dom_w_deg,indomain_min,time,60.0,90.0
1,1,dom_w_deg,indomain_reverse_split,time,60.0,100.0
1,1,dom_w_deg,indomain_split,time,60.0,90.0
1,1,dom_w_deg,indomain_split_random,time,60.0,90.0
1,1,dom_w_deg,outdomain_max,time,60.0,90.0
1,1,dom_w_deg,outdomain_median,time,60.0,90.0
1,1,dom_w_deg,outdomain_min,time,60.0,90.0
1,1,dom_w_deg,outdomain_random,time,60.0,90.0
1,1,first_fail,indomain,time,60.0,90.0
1,1,first_fail,indomain_interval,time,60.0,90.0
1,1,first_fail,indomain_max,time,60.0,90.0
1,1,first_fail,indomain_min,time,60.0,90.0
1,1,first_fail,indomain_reverse_split,time,60.0,90.0
1,1,first_fail,indomain_split,time,60.0,90.0
1,1,first_fail,indomain_split_random,time,60.0,100.0
1,1,first_fail,outdomain_max,time,60.0,100.0
1,1,first_fail,outdomain_median,time,60.0,90.0
1,1,first_fail,outdomain_min,time,60.0,90.0
1,1,first_fail,outdomain_random,time,60.0,90.0
1,1,impact,indomain,time,60.0,90.0
1,1,impact,indomain_interval,time,60.0,90.0
1,1,impact,indomain_max,time,70.0,90.0
1,1,impact,indomain_min,time,70.0,90.0
1,1,impact,indomain_reverse_split,time,70.0,100.0
1,1,impact,indomain_split,time,70.0,100.0
1,1,impact,indomain_split_random,time,60.0,90.0
1,1,impact,outdomain_max,time,60.0,100.0
1,1,impact,outdomain_median,time,70.0,170.0
1,1,impact,outdomain_min,time,60.0,100.0
1,1,impact,outdomain_random,time,60.0,100.0
1,1,input_order,indomain,time,60.0,90.0
1,1,input_order,indomain_interval,time,60.0,90.0
1,1,input_order,indomain_max,time,60.0,90.0
1,1,input_order,indomain_min,time,60.0,90.0
1,1,input_order,indomain_reverse_split,time,60.0,90.0
1,1,input_order,indomain_split,time,70.0,90.0
1,1,input_order,indomain_split_random,time,60.0,90.0
1,1,input_order,outdomain_max,time,60.0,90.0
1,1,input_order,outdomain_median,time,60.0,90.0
1,1,input_order,outdomain_min,time,60.0,90.0
1,1,input_order,outdomain_random,time,60.0,90.0
1,1,largest,indomain,time,60.0,90.0
1,1,largest,indomain_interval,time,60.0,100.0
1,1,largest,indomain_max,time,60.0,100.0
1,1,largest,indomain_min,time,60.0,100.0
1,1,largest,indomain_reverse_split,time,60.0,90.0
1,1,largest,indomain_split,time,60.0,90.0
1,1,largest,indomain_split_random,time,60.0,90.0
