,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,3461640,3461640,3461640,3461640,3461640,5458660,1.0
1,1,anti_first_fail,indomain_min,1000,3677840,3677840,3677840,3677840,3677840,5458660,1.0
1,2,anti_first_fail,indomain_min,0,420760,420760,420760,420760,441960,834850,1.0503850175872231
1,2,anti_first_fail,indomain_min,1000,627650,627650,627650,627650,627650,834850,1.0
1,3,anti_first_fail,indomain_min,0,900575,900575,900575,900575,900575,940500,1.0
1,3,anti_first_fail,indomain_min,1000,1038370,1036110,1038370,1038370,1263730,940500,1.2170324643431532
2,1,anti_first_fail,indomain_min,0,3051852,3051852,3051852,3051852,3051852,4779080,1.0
2,1,anti_first_fail,indomain_min,1000,3300552,3300552,3300552,3300552,3300552,4779080,1.0
2,2,anti_first_fail,indomain_min,0,379428,379428,379428,379428,380428,672600,1.0026355461378706
2,2,anti_first_fail,indomain_min,1000,598450,598450,598450,598450,598450,672600,1.0
2,3,anti_first_fail,indomain_min,0,798460,798460,798460,798460,800980,866210,1.003156075445232
2,3,anti_first_fail,indomain_min,1000,960585,960215,960585,960585,1185840,866210,1.2344977279470324
