Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,8468,8468,30000,8400,8400
2,1,8468,8468,30000,8468,8400
1,2,1350,1350,6000,1350,1200
2,2,1200,1200,6000,1200,1200
1,3,1550,1550,5000,1550,1550
2,3,1000,1000,5000,1210,1550
