,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1449340.0,1250080.0
1,1,first_fail,indomain_split_random,time,110.0,0.0004619230021489784
1,2,first_fail,indomain_split_random,obj,1382574.0,1182876.0
1,2,first_fail,indomain_split_random,time,100.0,0.0002240189933218062
1,3,first_fail,indomain_split_random,obj,2185151.0,2007751.0
1,3,first_fail,indomain_split_random,time,90.0,0.00022768300550524145
2,1,first_fail,indomain_split_random,obj,1322065.0,1032535.0
2,1,first_fail,indomain_split_random,time,110.0,0.00022336101392284036
2,2,first_fail,indomain_split_random,obj,1339574.0,1102118.0
2,2,first_fail,indomain_split_random,time,100.0,0.00024158699670806527
2,3,first_fail,indomain_split_random,obj,2122298.0,1945198.0
2,3,first_fail,indomain_split_random,time,90.0,0.000297673002933152
