,,,,,Gecode,OGSA
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
2,19,first_fail,indomain_split_random,time,90.0,0.0002625580000312766
2,20,first_fail,indomain_split_random,obj,1232250.0,1232250.0
2,20,first_fail,indomain_split_random,time,90.0,0.00025537099963912624
2,21,first_fail,indomain_split_random,obj,1305950.0,1305950.0
2,21,first_fail,indomain_split_random,time,90.0,0.0006956899997021537
2,22,first_fail,indomain_split_random,obj,1277264.0,1277264.0
2,22,first_fail,indomain_split_random,time,90.0,0.0005186210000829305
2,23,first_fail,indomain_split_random,obj,548158.0,548158.0
2,23,first_fail,indomain_split_random,time,90.0,0.0002856670002984174
2,24,first_fail,indomain_split_random,obj,1503420.0,1503420.0
2,24,first_fail,indomain_split_random,time,90.0,0.00023726500012344331
2,25,first_fail,indomain_split_random,obj,5092920.0,5092920.0
2,25,first_fail,indomain_split_random,time,80.0,0.00034967800002050353
2,26,first_fail,indomain_split_random,obj,2246010.0,2246010.0
2,26,first_fail,indomain_split_random,time,80.0,0.000711779000084789
2,27,first_fail,indomain_split_random,obj,7137200.0,7137200.0
2,27,first_fail,indomain_split_random,time,80.0,0.00041407799972148496
2,28,first_fail,indomain_split_random,obj,1534620.0,1534620.0
2,28,first_fail,indomain_split_random,time,90.0,0.000234016999911546
2,29,first_fail,indomain_split_random,obj,330450.0,330450.0
2,29,first_fail,indomain_split_random,time,90.0,0.0005109150001771923
2,30,first_fail,indomain_split_random,obj,1932245.0,1932245.0
2,30,first_fail,indomain_split_random,time,100.0,0.0002897170002142957
