,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,752050.0,752050.0,752050.0,752050.0,3286390.0,752050.0
1,1,input_order,indomain_min,time,60.0,110.0,60.0,100.0,,0.00022289413027465343
1,2,input_order,indomain_min,obj,831300.0,831300.0,831300.0,831300.0,4350544.0,854685.0
1,2,input_order,indomain_min,time,60.0,120.0,50.0,100.0,,0.00024186796508729458
1,3,input_order,indomain_min,obj,1363564.0,1363564.0,1363564.0,1363564.0,3338764.0,1363564.0
1,3,input_order,indomain_min,time,60.0,110.0,60.0,100.0,,0.00027160695753991604
1,4,input_order,indomain_min,obj,1586520.0,1586520.0,1586520.0,1586520.0,1890468.0,1605720.0
1,4,input_order,indomain_min,time,60.0,100.0,60.0,80.0,,0.0002694530412554741
1,5,input_order,indomain_min,obj,72940.0,72940.0,72940.0,72940.0,98976.0,73390.0
1,5,input_order,indomain_min,time,60.0,120.0,50.0,100.0,,0.0003575580194592476
2,1,input_order,indomain_min,obj,620030.0,620030.0,620030.0,620030.0,1148255.0,620030.0
2,1,input_order,indomain_min,time,60.0,110.0,50.0,90.0,,0.00029903813265264034
2,2,input_order,indomain_min,obj,697102.0,697102.0,697102.0,697102.0,1200838.0,759272.0
2,2,input_order,indomain_min,time,70.0,110.0,50.0,90.0,,0.00029891193844377995
2,3,input_order,indomain_min,obj,1267928.0,1267928.0,1267928.0,1267928.0,4689392.0,1271600.0
2,3,input_order,indomain_min,time,60.0,120.0,50.0,100.0,,0.0003356540109962225
2,4,input_order,indomain_min,obj,1350516.0,1350516.0,1350516.0,1350516.0,1914328.0,1375716.0
2,4,input_order,indomain_min,time,60.0,100.0,50.0,80.0,,0.00031242193654179573
2,5,input_order,indomain_min,obj,61916.0,61916.0,61916.0,61916.0,95106.0,61916.0
2,5,input_order,indomain_min,time,60.0,100.0,50.0,90.0,,0.00039218016900122166
