,,,Gecode,Gurobi
,,,Initial,Initial
Month,House,Result,,
1,1,time,140.0,180.0
1,2,time,110.0,170.0
1,3,time,80.0,210.0
1,4,time,100.0,200.0
1,5,time,810.0,320.0
1,6,time,190.0,200.0
1,7,time,190.0,290.0
1,8,time,100.0,220.0
1,9,time,90.0,210.0
1,10,time,120.0,190.0
1,11,time,170.0,200.0
1,12,time,100.0,260.0
1,13,time,80.0,200.0
1,14,time,150.0,230.0
1,15,time,120.0,230.0
1,16,time,120.0,250.0
1,17,time,150.0,190.0
1,18,time,100.0,180.0
1,19,time,90.0,190.0
1,20,time,120.0,200.0
1,21,time,130.0,300.0
1,22,time,80.0,180.0
1,23,time,160.0,190.0
1,24,time,130.0,210.0
1,25,time,150.0,180.0
1,26,time,100.0,160.0
1,27,time,120.0,170.0
1,28,time,120.0,290.0
1,29,time,270.0,400.0
1,30,time,90.0,360.0
1,31,time,110.0,230.0
1,32,time,120.0,180.0
1,33,time,110.0,260.0
1,34,time,130.0,190.0
1,35,time,70.0,210.0
1,36,time,100.0,170.0
1,37,time,90.0,180.0
1,38,time,190.0,210.0
1,39,time,960.0,280.0
1,40,time,100.0,210.0
1,41,time,820.0,220.0
1,42,time,190.0,170.0
1,43,time,240.0,190.0
1,44,time,160.0,220.0
1,45,time,120.0,180.0
1,46,time,110.0,210.0
1,47,time,80.0,190.0
1,48,time,90.0,200.0
1,49,time,210.0,260.0
1,50,time,200.0,330.0
2,1,time,130.0,180.0
2,2,time,90.0,170.0
2,3,time,80.0,220.0
2,4,time,100.0,200.0
2,5,time,780.0,260.0
2,6,time,470.0,200.0
2,7,time,280.0,270.0
2,8,time,90.0,200.0
2,9,time,100.0,230.0
2,10,time,120.0,180.0
2,11,time,110.0,190.0
2,12,time,120.0,230.0
2,13,time,80.0,190.0
2,14,time,130.0,240.0
2,15,time,500.0,220.0
2,16,time,90.0,240.0
2,17,time,160.0,190.0
2,18,time,80.0,180.0
2,19,time,90.0,200.0
2,20,time,170.0,180.0
2,21,time,160.0,300.0
2,22,time,80.0,180.0
2,23,time,160.0,190.0
2,24,time,110.0,260.0
2,25,time,200.0,180.0
2,26,time,130.0,160.0
2,27,time,110.0,170.0
2,28,time,90.0,240.0
2,29,time,570.0,550.0
2,30,time,90.0,420.0
2,31,time,100.0,230.0
2,32,time,110.0,170.0
2,33,time,80.0,240.0
2,34,time,100.0,180.0
2,35,time,70.0,200.0
2,36,time,90.0,170.0
2,37,time,90.0,170.0
2,38,time,350.0,220.0
2,39,time,500.0,260.0
2,40,time,90.0,260.0
2,41,time,310.0,200.0
2,42,time,170.0,170.0
2,43,time,150.0,200.0
2,44,time,110.0,210.0
2,45,time,100.0,190.0
2,46,time,130.0,210.0
2,47,time,90.0,220.0
2,48,time,70.0,190.0
2,49,time,150.0,280.0
2,50,time,400.0,330.0
