,,,,,Gecode,OGSA
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,696912.0,689412.0
1,1,first_fail,indomain_split_random,time,90.0,0.0003915279999091581
1,2,first_fail,indomain_split_random,obj,2713112.0,2359652.0
1,2,first_fail,indomain_split_random,time,90.0,0.0005770480001956457
1,3,first_fail,indomain_split_random,obj,2475426.0,2475426.0
1,3,first_fail,indomain_split_random,time,100.0,0.00025613499974497245
1,4,first_fail,indomain_split_random,obj,1215500.0,1215500.0
1,4,first_fail,indomain_split_random,time,90.0,0.00031442099998457707
1,5,first_fail,indomain_split_random,obj,2278198.0,1459864.0
1,5,first_fail,indomain_split_random,time,90.0,0.00033788200016715564
1,6,first_fail,indomain_split_random,obj,2527866.0,2527866.0
1,6,first_fail,indomain_split_random,time,90.0,0.0003104060001533071
1,7,first_fail,indomain_split_random,obj,1588298.0,1588298.0
1,7,first_fail,indomain_split_random,time,90.0,0.00031000199987829546
1,8,first_fail,indomain_split_random,obj,2172422.0,1979297.0
1,8,first_fail,indomain_split_random,time,100.0,0.00037518299996008864
1,9,first_fail,indomain_split_random,obj,1857860.0,1842476.0
1,9,first_fail,indomain_split_random,time,80.0,0.0003007330001310038
1,10,first_fail,indomain_split_random,obj,1328280.0,1022580.0
1,10,first_fail,indomain_split_random,time,90.0,0.00042022499974336824
1,11,first_fail,indomain_split_random,obj,1323980.0,1323420.0
1,11,first_fail,indomain_split_random,time,90.0,0.00029545899997174274
1,12,first_fail,indomain_split_random,obj,1716692.0,1266592.0
1,12,first_fail,indomain_split_random,time,90.0,0.0003884979996655602
1,13,first_fail,indomain_split_random,obj,1206778.0,1089778.0
1,13,first_fail,indomain_split_random,time,90.0,0.00033302299971182947
1,14,first_fail,indomain_split_random,obj,565928.0,462278.0
1,14,first_fail,indomain_split_random,time,90.0,0.0004435220002960705
1,15,first_fail,indomain_split_random,obj,616748.0,363048.0
1,15,first_fail,indomain_split_random,time,100.0,0.00029950399994049803
1,16,first_fail,indomain_split_random,obj,3403455.0,2642655.0
1,16,first_fail,indomain_split_random,time,90.0,0.00034040800028378726
1,17,first_fail,indomain_split_random,obj,1438460.0,1315920.0
1,17,first_fail,indomain_split_random,time,90.0,0.0003252880001127778
1,18,first_fail,indomain_split_random,obj,1195440.0,1195440.0
1,18,first_fail,indomain_split_random,time,90.0,0.0003652219993455219
1,19,first_fail,indomain_split_random,obj,1925100.0,1728900.0
1,19,first_fail,indomain_split_random,time,90.0,0.0003507719993649516
1,20,first_fail,indomain_split_random,obj,903180.0,801420.0
1,20,first_fail,indomain_split_random,time,100.0,0.0003786450006373343
1,21,first_fail,indomain_split_random,obj,2164980.0,2111380.0
1,21,first_fail,indomain_split_random,time,80.0,0.0004157739995207521
1,22,first_fail,indomain_split_random,obj,797745.0,797745.0
1,22,first_fail,indomain_split_random,time,90.0,0.0004626479994840338
1,23,first_fail,indomain_split_random,obj,1298980.0,676208.0
1,23,first_fail,indomain_split_random,time,90.0,0.00042359199960628757
1,24,first_fail,indomain_split_random,obj,2135864.0,2128164.0
1,24,first_fail,indomain_split_random,time,90.0,0.00039617799939151155
1,25,first_fail,indomain_split_random,obj,1183904.0,465394.0
1,25,first_fail,indomain_split_random,time,100.0,0.00040773700038698735
1,26,first_fail,indomain_split_random,obj,1454000.0,1417200.0
1,26,first_fail,indomain_split_random,time,90.0,0.0002947870007119491
1,27,first_fail,indomain_split_random,obj,1739190.0,1190990.0
1,27,first_fail,indomain_split_random,time,100.0,0.0005548720000660978
1,28,first_fail,indomain_split_random,obj,4247804.0,3707208.0
1,28,first_fail,indomain_split_random,time,110.0,0.0003437940004005213
1,29,first_fail,indomain_split_random,obj,1021435.0,750335.0
1,29,first_fail,indomain_split_random,time,90.0,0.0003362789993843762
1,30,first_fail,indomain_split_random,obj,855400.0,685648.0
1,30,first_fail,indomain_split_random,time,90.0,0.00028822399963246426
1,31,first_fail,indomain_split_random,obj,762383.0,631808.0
1,31,first_fail,indomain_split_random,time,100.0,0.0003395269995962735
1,32,first_fail,indomain_split_random,obj,2268850.0,2268850.0
1,32,first_fail,indomain_split_random,time,90.0,0.0002455789999658009
1,33,first_fail,indomain_split_random,obj,2921468.0,2581188.0
1,33,first_fail,indomain_split_random,time,100.0,0.000497449999784294
1,34,first_fail,indomain_split_random,obj,1099200.0,361030.0
1,34,first_fail,indomain_split_random,time,90.0,0.0005606779996014666
1,35,first_fail,indomain_split_random,obj,1662958.0,1662958.0
1,35,first_fail,indomain_split_random,time,90.0,0.0006654750004599919
