,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,
1,1,anti_first_fail,indomain_max,800,1566940,1566940,,,
1,1,anti_first_fail,indomain_median,800,1566940,1566940,,,
1,1,anti_first_fail,indomain_min,800,1566940,1566940,,,
1,1,anti_first_fail,indomain_random,800,1566940,1566940,,,
1,1,first_fail,indomain_max,800,1566940,1566940,,,
1,1,first_fail,indomain_median,800,1566940,1566940,,,
1,1,first_fail,indomain_min,800,1566940,1566940,,,
1,1,first_fail,indomain_random,800,1566940,1566940,,,
1,1,input_order,indomain_max,800,1566940,1566940,,,
1,1,input_order,indomain_median,800,1566940,1566940,,,
1,1,input_order,indomain_min,800,1566940,1566940,,,
1,1,input_order,indomain_random,800,1566940,1566940,,,
1,1,largest,indomain_max,800,1566940,1566940,,,
1,1,largest,indomain_median,800,1566940,1566940,,,
1,1,largest,indomain_min,800,1566940,1566940,,,
1,1,largest,indomain_random,800,1566940,1566940,1568940.0,5501284.0,1.0012763730583174
1,1,smallest,indomain_max,800,1566940,1566940,,,
1,1,smallest,indomain_median,800,1566940,1566940,,,
1,1,smallest,indomain_min,800,1566940,1566940,,,
1,1,smallest,indomain_random,800,1566940,1566940,,,
1,2,anti_first_fail,indomain_max,800,406800,406800,,,
1,2,anti_first_fail,indomain_median,800,406800,406800,,,
1,2,anti_first_fail,indomain_min,800,406800,406800,,,
1,2,anti_first_fail,indomain_random,800,406800,406800,,,
1,2,first_fail,indomain_max,800,406800,406800,,,
1,2,first_fail,indomain_median,800,406800,406800,,,
1,2,first_fail,indomain_min,800,406800,406800,,,
1,2,first_fail,indomain_random,800,406800,406800,,,
1,2,input_order,indomain_max,800,406800,406800,,,
1,2,input_order,indomain_median,800,406800,406800,,,
1,2,input_order,indomain_min,800,406800,406800,,,
1,2,input_order,indomain_random,800,406800,406800,,,
1,2,largest,indomain_max,800,406800,406800,,,
1,2,largest,indomain_median,800,406800,406800,,,
1,2,largest,indomain_min,800,406800,406800,,,
1,2,largest,indomain_random,800,406800,406800,580500.0,531700.0,1.426991150442478
1,2,smallest,indomain_max,800,406800,406800,,,
1,2,smallest,indomain_median,800,406800,406800,,,
1,2,smallest,indomain_min,800,406800,406800,,,
1,2,smallest,indomain_random,800,406800,406800,,,
2,1,anti_first_fail,indomain_max,800,1471884,1471884,,,
2,1,anti_first_fail,indomain_median,800,1471884,1471884,,,
2,1,anti_first_fail,indomain_min,800,1471884,1471884,,,
2,1,anti_first_fail,indomain_random,800,1471884,1471884,,,
2,1,first_fail,indomain_max,800,1471884,1471884,,,
2,1,first_fail,indomain_median,800,1471884,1471884,,,
2,1,first_fail,indomain_min,800,1471884,1471884,,,
2,1,first_fail,indomain_random,800,1471884,1471884,,,
2,1,input_order,indomain_max,800,1471884,1471884,,,
2,1,input_order,indomain_median,800,1471884,1471884,,,
2,1,input_order,indomain_min,800,1471884,1471884,,,
2,1,input_order,indomain_random,800,1471884,1471884,,,
2,1,largest,indomain_max,800,1471884,1471884,,,
2,1,largest,indomain_median,800,1471884,1471884,,,
2,1,largest,indomain_min,800,1471884,1471884,,,
2,1,largest,indomain_random,800,1471884,1471884,1475984.0,2288348.0,1.002785545600061
2,1,smallest,indomain_max,800,1471884,1471884,,,
2,1,smallest,indomain_median,800,1471884,1471884,,,
2,1,smallest,indomain_min,800,1471884,1471884,,,
2,1,smallest,indomain_random,800,1471884,1471884,,,
2,2,anti_first_fail,indomain_max,800,386800,386800,,,
2,2,anti_first_fail,indomain_median,800,386800,386800,,,
2,2,anti_first_fail,indomain_min,800,386800,386800,,,
2,2,anti_first_fail,indomain_random,800,386800,386800,,,
2,2,first_fail,indomain_max,800,386800,386800,,,
2,2,first_fail,indomain_median,800,386800,386800,,,
2,2,first_fail,indomain_min,800,386800,386800,,,
2,2,first_fail,indomain_random,800,386800,386800,,,
2,2,input_order,indomain_max,800,386800,386800,,,
2,2,input_order,indomain_median,800,386800,386800,,,
2,2,input_order,indomain_min,800,386800,386800,,,
2,2,input_order,indomain_random,800,386800,386800,,,
2,2,largest,indomain_max,800,386800,386800,,,
2,2,largest,indomain_median,800,386800,386800,,,
2,2,largest,indomain_min,800,386800,386800,,,
2,2,largest,indomain_random,800,386800,386800,535000.0,552300.0,1.3831437435367115
2,2,smallest,indomain_max,800,386800,386800,,,
2,2,smallest,indomain_median,800,386800,386800,,,
2,2,smallest,indomain_min,800,386800,386800,,,
2,2,smallest,indomain_random,800,386800,386800,,,
