,,,Gecode,Gurobi
,,,Preprocessing,Preprocessing
Month,House,Result,,
1,1,time,50.0,80.0
1,2,time,80.0,130.0
1,3,time,60.0,100.0
1,4,time,60.0,80.0
1,5,time,50.0,70.0
1,6,time,70.0,80.0
1,7,time,60.0,110.0
1,8,time,50.0,110.0
1,9,time,50.0,140.0
1,10,time,50.0,110.0
1,11,time,60.0,80.0
1,12,time,60.0,190.0
1,13,time,50.0,70.0
1,14,time,50.0,90.0
1,15,time,50.0,80.0
1,16,time,60.0,100.0
1,17,time,50.0,70.0
1,18,time,50.0,90.0
1,19,time,60.0,110.0
1,20,time,60.0,110.0
1,21,time,60.0,80.0
1,22,time,70.0,100.0
1,23,time,50.0,150.0
1,24,time,60.0,100.0
1,25,time,50.0,80.0
1,26,time,50.0,120.0
1,27,time,50.0,100.0
1,28,time,50.0,90.0
1,29,time,50.0,90.0
1,30,time,50.0,120.0
1,31,time,50.0,80.0
1,32,time,50.0,100.0
1,33,time,50.0,110.0
1,34,time,50.0,80.0
1,35,time,60.0,100.0
1,36,time,50.0,70.0
1,37,time,50.0,70.0
1,38,time,50.0,70.0
1,39,time,60.0,120.0
1,40,time,50.0,90.0
1,41,time,50.0,150.0
1,42,time,60.0,80.0
1,43,time,60.0,140.0
1,44,time,50.0,90.0
1,45,time,60.0,90.0
1,46,time,60.0,110.0
1,47,time,60.0,100.0
1,48,time,60.0,70.0
1,49,time,60.0,110.0
1,50,time,60.0,80.0
1,51,time,50.0,100.0
1,52,time,50.0,70.0
1,53,time,60.0,90.0
1,54,time,60.0,80.0
1,55,time,60.0,90.0
1,56,time,50.0,100.0
1,57,time,50.0,110.0
1,58,time,60.0,90.0
1,59,time,50.0,80.0
1,60,time,70.0,110.0
1,61,time,50.0,80.0
1,62,time,60.0,90.0
1,63,time,60.0,100.0
1,64,time,60.0,110.0
1,65,time,50.0,110.0
1,66,time,50.0,70.0
1,67,time,50.0,70.0
1,68,time,60.0,80.0
1,69,time,50.0,100.0
1,70,time,50.0,90.0
1,71,time,60.0,90.0
1,72,time,50.0,80.0
1,73,time,50.0,110.0
1,74,time,60.0,90.0
1,75,time,60.0,90.0
1,76,time,50.0,110.0
1,77,time,50.0,80.0
1,78,time,60.0,100.0
1,79,time,60.0,80.0
1,80,time,50.0,90.0
1,81,time,50.0,80.0
1,82,time,60.0,90.0
1,83,time,60.0,80.0
1,84,time,60.0,90.0
1,85,time,50.0,110.0
1,86,time,50.0,80.0
1,87,time,50.0,80.0
1,88,time,60.0,110.0
1,89,time,50.0,100.0
1,90,time,70.0,80.0
1,91,time,50.0,100.0
1,92,time,50.0,90.0
1,93,time,50.0,80.0
1,94,time,50.0,80.0
1,95,time,60.0,90.0
1,96,time,60.0,100.0
1,97,time,50.0,90.0
1,98,time,60.0,90.0
1,99,time,50.0,110.0
1,100,time,60.0,110.0
2,1,time,50.0,80.0
2,2,time,70.0,100.0
2,3,time,60.0,100.0
2,4,time,60.0,70.0
2,5,time,50.0,60.0
2,6,time,60.0,80.0
2,7,time,60.0,110.0
2,8,time,50.0,100.0
2,9,time,50.0,130.0
2,10,time,50.0,110.0
2,11,time,60.0,80.0
2,12,time,60.0,140.0
2,13,time,50.0,60.0
2,14,time,50.0,80.0
2,15,time,50.0,70.0
2,16,time,60.0,100.0
2,17,time,50.0,70.0
2,18,time,50.0,90.0
2,19,time,60.0,100.0
2,20,time,50.0,90.0
2,21,time,60.0,80.0
2,22,time,60.0,100.0
2,23,time,50.0,130.0
2,24,time,60.0,100.0
2,25,time,50.0,80.0
2,26,time,50.0,120.0
2,27,time,50.0,100.0
2,28,time,50.0,80.0
2,29,time,60.0,90.0
2,30,time,50.0,130.0
2,31,time,50.0,80.0
2,32,time,50.0,100.0
2,33,time,50.0,110.0
2,34,time,50.0,70.0
2,35,time,80.0,110.0
2,36,time,50.0,70.0
2,37,time,50.0,60.0
2,38,time,50.0,60.0
2,39,time,60.0,120.0
2,40,time,50.0,90.0
2,41,time,50.0,130.0
2,42,time,60.0,80.0
2,43,time,130.0,120.0
2,44,time,50.0,90.0
2,45,time,60.0,90.0
2,46,time,50.0,110.0
2,47,time,60.0,90.0
2,48,time,60.0,60.0
2,49,time,50.0,110.0
2,50,time,50.0,80.0
2,51,time,60.0,100.0
2,52,time,50.0,60.0
2,53,time,60.0,90.0
2,54,time,60.0,80.0
2,55,time,50.0,90.0
2,56,time,50.0,100.0
2,57,time,50.0,100.0
2,58,time,60.0,100.0
2,59,time,50.0,80.0
2,60,time,60.0,110.0
2,61,time,50.0,80.0
2,62,time,60.0,90.0
2,63,time,50.0,100.0
2,64,time,60.0,110.0
2,65,time,50.0,110.0
2,66,time,50.0,60.0
2,67,time,50.0,70.0
2,68,time,60.0,80.0
2,69,time,50.0,100.0
2,70,time,50.0,90.0
2,71,time,60.0,90.0
2,72,time,50.0,80.0
2,73,time,50.0,110.0
2,74,time,50.0,90.0
2,75,time,60.0,90.0
2,76,time,50.0,110.0
2,77,time,50.0,70.0
2,78,time,60.0,100.0
2,79,time,50.0,80.0
2,80,time,50.0,80.0
2,81,time,50.0,80.0
2,82,time,50.0,90.0
2,83,time,50.0,80.0
2,84,time,60.0,90.0
2,85,time,50.0,110.0
2,86,time,50.0,80.0
2,87,time,50.0,80.0
2,88,time,60.0,100.0
2,89,time,50.0,100.0
2,90,time,60.0,80.0
2,91,time,50.0,100.0
2,92,time,50.0,90.0
2,93,time,50.0,80.0
2,94,time,50.0,70.0
2,95,time,60.0,90.0
2,96,time,50.0,90.0
2,97,time,60.0,100.0
2,98,time,60.0,80.0
2,99,time,50.0,110.0
2,100,time,60.0,110.0
3,1,time,60.0,80.0
3,2,time,80.0,100.0
3,3,time,60.0,100.0
3,4,time,50.0,80.0
3,5,time,50.0,60.0
3,6,time,60.0,80.0
3,7,time,60.0,110.0
3,8,time,50.0,100.0
3,9,time,50.0,160.0
3,10,time,50.0,100.0
3,11,time,60.0,80.0
3,12,time,50.0,120.0
3,13,time,50.0,60.0
3,14,time,50.0,80.0
3,15,time,50.0,70.0
3,16,time,60.0,100.0
3,17,time,50.0,60.0
3,18,time,50.0,90.0
3,19,time,60.0,100.0
3,20,time,50.0,100.0
3,21,time,50.0,80.0
3,22,time,60.0,100.0
3,23,time,60.0,170.0
3,24,time,50.0,100.0
3,25,time,50.0,80.0
3,26,time,50.0,100.0
3,27,time,60.0,100.0
3,28,time,50.0,80.0
3,29,time,60.0,90.0
3,30,time,50.0,120.0
3,31,time,50.0,80.0
3,32,time,50.0,90.0
3,33,time,50.0,110.0
3,34,time,50.0,70.0
3,35,time,60.0,100.0
3,36,time,50.0,60.0
3,37,time,50.0,70.0
3,38,time,50.0,60.0
3,39,time,60.0,120.0
3,40,time,50.0,90.0
3,41,time,50.0,110.0
3,42,time,50.0,80.0
3,43,time,60.0,130.0
3,44,time,50.0,90.0
3,45,time,60.0,90.0
3,46,time,50.0,110.0
3,47,time,50.0,90.0
3,48,time,50.0,70.0
