,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,1,anti_first_fail,indomain_min,obj,1787620.0,1787620.0,1787620.0,2931552.0,1.0
1,1,anti_first_fail,indomain_min,obj-testing,1787620.0,1787620.0,,,
1,1,anti_first_fail,indomain_min,time,50.0,80.0,0.0001952061429619789,,3.904122859239579e-06
1,2,anti_first_fail,indomain_min,obj,1314700.0,1314700.0,1306300.0,2213500.0,0.9936107096676048
1,2,anti_first_fail,indomain_min,obj-testing,1314700.0,1314700.0,,,
1,2,anti_first_fail,indomain_min,time,60.0,80.0,0.0002034660428762436,,3.3911007146040597e-06
1,3,anti_first_fail,indomain_min,obj,1427750.0,1427750.0,1350950.0,1691350.0,0.9462090702153738
1,3,anti_first_fail,indomain_min,obj-testing,1427750.0,1427750.0,,,
1,3,anti_first_fail,indomain_min,time,60.0,80.0,0.00021469197236001492,,3.578199539333582e-06
1,4,anti_first_fail,indomain_min,obj,292264.0,292264.0,156464.0,156464.0,0.535351599923357
1,4,anti_first_fail,indomain_min,obj-testing,292264.0,292264.0,,,
1,4,anti_first_fail,indomain_min,time,50.0,90.0,0.00025747506879270077,,5.149501375854015e-06
1,5,anti_first_fail,indomain_min,obj,1547256.0,1547256.0,1547256.0,1951256.0,1.0
1,5,anti_first_fail,indomain_min,obj-testing,1547256.0,1547256.0,,,
1,5,anti_first_fail,indomain_min,time,50.0,70.0,0.00016236002556979656,,3.2472005113959314e-06
1,6,anti_first_fail,indomain_min,obj,1130625.0,1130625.0,1037125.0,1281825.0,0.9173023770038695
1,6,anti_first_fail,indomain_min,obj-testing,1130625.0,1130625.0,,,
1,6,anti_first_fail,indomain_min,time,60.0,80.0,0.00020487885922193527,,3.414647653698921e-06
1,7,anti_first_fail,indomain_min,obj,1868161.0,1868161.0,1267713.0,1460301.0,0.6785887297722198
1,7,anti_first_fail,indomain_min,obj-testing,1868161.0,1868161.0,,,
