,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,1,anti_first_fail,indomain_min,obj,933748.0,933748.0,933748.0,1182268.0,1.0
1,1,anti_first_fail,indomain_min,obj-testing,933748.0,933748.0,,,
1,1,anti_first_fail,indomain_min,time,60.0,70.0,0.00015298486687242985,,2.5497477812071643e-06
1,2,anti_first_fail,indomain_min,obj,1035614.0,1035614.0,1014314.0,1016756.0,0.9794324912563948
1,2,anti_first_fail,indomain_min,obj-testing,1035614.0,1035614.0,,,
1,2,anti_first_fail,indomain_min,time,50.0,90.0,0.0002486088778823614,,4.972177557647228e-06
1,3,anti_first_fail,indomain_min,obj,1396355.0,1396355.0,1354115.0,1591215.0,0.9697498129057439
1,3,anti_first_fail,indomain_min,obj-testing,1396355.0,1396355.0,,,
1,3,anti_first_fail,indomain_min,time,50.0,90.0,0.00021891086362302303,,4.3782172724604605e-06
1,4,anti_first_fail,indomain_min,obj,1201260.0,1201260.0,1201260.0,1524060.0,1.0
1,4,anti_first_fail,indomain_min,obj-testing,1201260.0,1201260.0,,,
1,4,anti_first_fail,indomain_min,time,60.0,70.0,0.00019117211923003197,,3.1862019871671994e-06
1,5,anti_first_fail,indomain_min,obj,1672330.0,1672330.0,1073580.0,2216330.0,0.6419665975016893
1,5,anti_first_fail,indomain_min,obj-testing,1672330.0,1672330.0,,,
1,5,anti_first_fail,indomain_min,time,60.0,80.0,0.0002107440959662199,,3.5124015994369983e-06
1,6,anti_first_fail,indomain_min,obj,723074.0,723074.0,723074.0,744382.0,1.0
1,6,anti_first_fail,indomain_min,obj-testing,723074.0,723074.0,,,
1,6,anti_first_fail,indomain_min,time,50.0,70.0,0.00016729510389268398,,3.34590207785368e-06
1,7,anti_first_fail,indomain_min,obj,1990000.0,1990000.0,1856100.0,2185300.0,0.932713567839196
1,7,anti_first_fail,indomain_min,obj-testing,1990000.0,1990000.0,,,
