Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,6300,6300,18000,6300,3630
2,1,6330,6330,18000,6330,3630
3,1,6300,6300,18000,6300,3630
4,1,6300,6300,18000,6300,3630
5,1,6300,6300,18000,6300,3630
6,1,6300,6300,18000,6300,3630
7,1,6300,6300,18000,6300,3630
8,1,6300,6300,18000,6300,3630
9,1,6300,6300,18000,6300,3630
10,1,6300,6300,18000,6300,3630
11,1,6330,6330,18000,6330,3630
12,1,6300,6300,18000,6300,3630
1,2,6700,7900,30000,7900,6000
2,2,7900,7900,30000,7900,6000
3,2,6700,7900,30000,6700,6000
4,2,7900,7900,30000,7900,6000
5,2,7900,7900,30000,7900,6000
6,2,7900,7900,30000,7900,6000
7,2,6700,7900,30000,6700,6000
8,2,7900,7900,30000,7900,6000
9,2,7900,7900,30000,7900,6000
10,2,7900,7900,30000,7900,6000
11,2,6700,7900,30000,6700,6000
12,2,6700,7900,30000,6700,6000
1,3,870,870,2750,870,642
2,3,550,550,2750,850,642
3,3,850,850,2750,850,642
4,3,870,870,2750,870,642
5,3,870,870,2750,870,642
6,3,870,870,2750,870,642
7,3,870,870,2750,870,642
8,3,870,870,2750,870,642
9,3,870,870,2750,870,642
10,3,870,870,2750,870,642
11,3,570,570,2750,870,642
12,3,870,870,2750,870,642
1,4,1000,1430,5000,1430,1000
2,4,1000,1000,5000,1000,1000
3,4,1430,1430,5000,1430,1000
4,4,1430,1430,5000,1430,1000
5,4,1430,1430,5000,1350,1000
6,4,1430,1430,5000,1430,1000
7,4,1430,1430,5000,1000,1000
8,4,1430,1430,5000,1430,1000
9,4,1430,1430,5000,1430,1000
10,4,1430,1430,5000,1000,1000
11,4,1000,1430,5000,1000,1000
12,4,1430,1430,5000,1430,1000
1,5,4310,4310,12000,3600,2400
2,5,3600,3600,12000,3600,2400
3,5,4310,4100,12000,3600,2400
4,5,4310,4310,12000,4310,2400
5,5,4310,4310,12000,4310,2400
6,5,4310,4310,12000,3600,2400
7,5,4310,4310,12000,3600,2400
8,5,4310,4310,12000,4310,2400
9,5,4100,4100,12000,3600,2400
10,5,4100,4100,12000,3600,2400
11,5,4100,4100,12000,3600,2400
12,5,4310,4310,12000,3600,2400
1,6,2860,2860,10000,2860,2000
2,6,2860,2860,10000,2860,2000
3,6,2712,2712,10000,2860,2000
4,6,2860,2860,10000,2860,2000
5,6,2860,2860,10000,2860,2000
6,6,2860,2860,10000,2860,2000
7,6,2860,2860,10000,2860,2000
8,6,2860,2860,10000,2860,2000
9,6,2860,2860,10000,2860,2000
10,6,2860,2860,10000,2860,2000
11,6,2210,2210,10000,2210,2000
12,6,2860,2860,10000,2860,2000
1,7,2400,2400,8500,2400,1700
2,7,2400,2400,8500,2400,1700
3,7,2400,2400,8500,2400,1700
4,7,2400,2400,8500,2400,1700
5,7,2400,2400,8500,2400,1700
6,7,2400,2400,8500,2400,1700
7,7,2400,2400,8500,2400,1700
8,7,2400,2400,8500,2400,1700
9,7,2400,2400,8500,2530,1700
10,7,2400,2400,8500,2530,1700
11,7,2400,2400,8500,2400,1700
12,7,2400,2400,8500,2400,1700
1,8,10800,10800,30000,8400,6000
2,8,10800,10800,30000,8400,6000
3,8,10800,10800,30000,8400,6000
4,8,10800,10800,30000,8400,6000
5,8,10800,10800,30000,8400,6000
6,8,10800,10800,30000,8400,6000
7,8,10800,10800,30000,8400,6000
8,8,10800,10800,30000,8400,6000
9,8,10800,10800,30000,10800,6000
10,8,10800,10800,30000,8400,6000
11,8,10800,10800,30000,8400,6000
12,8,10800,10800,30000,8400,6000
1,9,1100,1100,5500,1100,1248
2,9,1100,1100,5500,1100,1248
3,9,1100,1100,5500,1100,1248
4,9,1100,1100,5500,1100,1248
5,9,1248,1248,5500,1248,1248
6,9,1248,1248,5500,1248,1248
7,9,1248,1248,5500,1248,1248
8,9,1248,1248,5500,1248,1248
9,9,1248,1248,5500,1248,1248
10,9,1100,1100,5500,1100,1248
11,9,1100,1100,5500,1100,1248
12,9,1248,1248,5500,1248,1248
1,10,2610,2610,12000,2400,2450
2,10,2610,2610,12000,2400,2450
3,10,2610,2610,12000,2400,2450
4,10,2610,2610,12000,2400,2450
5,10,2610,2610,12000,2400,2450
6,10,2610,2610,12000,2400,2450
7,10,2610,2610,12000,2400,2450
8,10,2610,2610,12000,2400,2450
9,10,2610,2610,12000,2400,2450
10,10,2610,2610,12000,2610,2450
11,10,2610,2610,12000,2610,2450
12,10,2610,2610,12000,2400,2450
1,11,6300,6300,25000,6300,5000
2,11,6300,6300,25000,6300,5000
3,11,6300,6300,25000,6300,5000
4,11,6300,6300,25000,6300,5000
5,11,6300,6300,25000,6300,5000
6,11,6300,6300,25000,6300,5000
7,11,6300,6300,25000,6300,5000
8,11,6300,6300,25000,6300,5000
9,11,6300,6300,25000,6300,5000
10,11,6300,6300,25000,6300,5000
11,11,6300,6300,25000,6300,5000
12,11,6300,6300,25000,6300,5000
1,12,2250,2250,11000,3400,2200
2,12,3400,3400,11000,3400,2200
3,12,2250,2250,11000,3450,2200
4,12,3400,3400,11000,3400,2200
5,12,3400,3400,11000,3400,2200
6,12,2250,2250,11000,3400,2200
7,12,2250,2250,11000,3400,2200
8,12,2250,2250,11000,3400,2200
9,12,2250,2250,11000,3400,2200
10,12,2250,2250,11000,3400,2200
11,12,2200,2200,11000,3400,2200
12,12,2250,2250,11000,3450,2200
1,13,1100,1100,5500,1162,1100
2,13,1650,1650,5500,1100,1100
3,13,1100,1100,5500,1100,1100
4,13,1100,1100,5500,1162,1100
5,13,1100,1100,5500,1230,1100
6,13,1100,1100,5500,1162,1100
7,13,1100,1100,5500,1162,1100
8,13,1162,1162,5500,1100,1100
9,13,1100,1100,5500,1162,1100
10,13,1100,1100,5500,1230,1100
11,13,1162,1162,5500,1162,1100
12,13,1162,1162,5500,1162,1100
1,14,120,120,600,120,178
2,14,120,120,600,120,178
3,14,120,120,600,120,178
4,14,120,120,600,120,178
5,14,176,176,600,120,178
6,14,176,176,600,120,178
7,14,176,176,600,120,178
8,14,176,176,600,176,178
9,14,176,176,600,176,178
10,14,120,120,600,120,178
11,14,120,120,600,120,178
12,14,176,176,600,120,178
1,15,400,400,2000,400,400
2,15,400,400,2000,400,400
3,15,400,400,2000,400,400
4,15,400,400,2000,400,400
5,15,400,400,2000,400,400
6,15,400,400,2000,400,400
7,15,400,400,2000,400,400
8,15,550,550,2000,550,400
9,15,400,400,2000,400,400
10,15,400,400,2000,400,400
11,15,400,400,2000,400,400
12,15,400,400,2000,400,400
1,16,7120,7120,17500,7120,3500
2,16,7120,7120,17500,7120,3500
3,16,7000,7000,17500,7000,3500
4,16,7000,7000,17500,7000,3500
5,16,7120,7120,17500,7120,3500
6,16,7120,7120,17500,7120,3500
7,16,7000,7000,17500,7000,3500
8,16,7000,7000,17500,7000,3500
9,16,7120,7120,17500,7120,3500
10,16,7120,7120,17500,7120,3500
11,16,7000,7000,17500,7000,3500
12,16,7000,7000,17500,7000,3500
1,17,2300,2300,11500,2352,2350
2,17,2352,2352,11500,2352,2350
3,17,2352,2352,11500,2352,2350
4,17,2352,2352,11500,2352,2350
5,17,2352,2352,11500,2352,2350
6,17,2350,2350,11500,2352,2350
7,17,2352,2352,11500,2352,2350
8,17,2352,2352,11500,2352,2350
9,17,2352,2352,11500,2352,2350
10,17,2352,2352,11500,2352,2350
11,17,2352,2352,11500,2352,2350
12,17,2352,2352,11500,2352,2350
1,18,4400,4400,12000,4550,2400
2,18,4400,4400,12000,4550,2400
3,18,4550,4550,12000,4550,2400
4,18,4400,4550,12000,4550,2400
5,18,4550,4550,12000,4550,2400
6,18,5100,5100,12000,4550,2400
7,18,5100,5100,12000,4550,2400
8,18,5100,5100,12000,4550,2400
9,18,4550,4550,12000,4550,2400
10,18,4550,4550,12000,4550,2400
11,18,4400,4400,12000,4550,2400
12,18,4550,4550,12000,4550,2400
1,19,2400,2400,12000,2400,2400
2,19,2400,2400,12000,2400,2400
3,19,2400,2400,12000,2400,2400
4,19,2400,2400,12000,2400,2400
5,19,2400,2400,12000,2400,2400
6,19,2400,2400,12000,2400,2400
7,19,2400,2400,12000,2500,2400
8,19,2400,2400,12000,2500,2400
9,19,2400,2400,12000,2400,2400
10,19,2400,2400,12000,2400,2400
11,19,3400,3400,12000,2400,2400
12,19,2400,2400,12000,2400,2400
1,20,3900,3900,12000,2800,3915
2,20,4300,4300,12000,2815,3915
3,20,3900,3900,12000,2800,3915
4,20,3900,3900,12000,2800,3915
5,20,4300,4300,12000,2800,3915
6,20,4300,4300,12000,2415,3915
7,20,3900,3900,12000,2800,3915
8,20,3900,3900,12000,2800,3915
9,20,3900,3900,12000,2815,3915
10,20,3900,3900,12000,2800,3915
11,20,3900,3900,12000,2800,3915
12,20,3900,3900,12000,2800,3915
1,21,2100,2100,10500,2100,2100
2,21,2100,2100,10500,2100,2100
3,21,2100,2100,10500,2100,2100
4,21,2100,2100,10500,2180,2100
5,21,2180,2180,10500,2180,2100
6,21,2180,2180,10500,2100,2100
7,21,2180,2180,10500,2100,2100
8,21,2260,2260,10500,2100,2100
9,21,2180,2180,10500,2100,2100
10,21,2180,2180,10500,2100,2100
11,21,2100,2100,10500,2100,2100
12,21,2100,2100,10500,2100,2100
1,22,2610,2400,12000,2610,2400
2,22,4110,4110,12000,4110,2400
3,22,3900,4110,12000,4110,2400
4,22,4110,4110,12000,4110,2400
5,22,4110,4110,12000,4110,2400
