,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1186360.0,1427490.0
1,1,first_fail,indomain_split_random,time,90.0,0.001594784996996168
1,2,first_fail,indomain_split_random,obj,1342700.0,1342700.0
1,2,first_fail,indomain_split_random,time,100.0,0.001672261001658626
1,3,first_fail,indomain_split_random,obj,1534271.0,1534685.0
1,3,first_fail,indomain_split_random,time,80.0,0.002387849999649916
2,1,first_fail,indomain_split_random,obj,1129550.0,1363360.0
2,1,first_fail,indomain_split_random,time,80.0,0.0023653960015508346
2,2,first_fail,indomain_split_random,obj,1211250.0,1211250.0
2,2,first_fail,indomain_split_random,time,100.0,0.0018812999987858348
2,3,first_fail,indomain_split_random,obj,1341163.0,1353879.0
2,3,first_fail,indomain_split_random,time,90.0,0.0035605119992396794
3,1,first_fail,indomain_split_random,obj,1030880.0,1256620.0
3,1,first_fail,indomain_split_random,time,90.0,0.001750811999954749
3,2,first_fail,indomain_split_random,obj,1182550.0,1182550.0
3,2,first_fail,indomain_split_random,time,100.0,0.0016662550042383373
3,3,first_fail,indomain_split_random,obj,1200785.0,1250413.0
3,3,first_fail,indomain_split_random,time,90.0,0.003589127998566255
