Avg reduction,Gecode,Gurobi,Gecode,Gurobi,OGSA
,,,,,
Weight,,,,,
0,,,,,
20,,,,,
50,,,,,
80,,,,,
200,,,,,
500,,,,,
800,,,,,
1000,,,,,
