,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,70.0,100.0,60.0,80.0,0.00017939694225788116,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,1,anti_first_fail,indomain_min,20,70.0,100.0,70.0,70.0,0.0001893569715321064,1.4285714285714286,1.0,1.4285714285714286,1.0
1,1,anti_first_fail,indomain_min,50,70.0,100.0,70.0,70.0,0.00018743658438324928,1.4285714285714286,1.0,1.4285714285714286,1.0
1,1,anti_first_fail,indomain_min,80,70.0,90.0,70.0,70.0,0.000196077860891819,1.2857142857142858,1.0,1.2857142857142858,1.0
1,1,anti_first_fail,indomain_min,200,70.0,90.0,70.0,70.0,0.0001939176581799984,1.2857142857142858,1.0,1.2857142857142858,1.0
1,1,anti_first_fail,indomain_min,500,70.0,100.0,70.0,70.0,0.00019511207938194275,1.4285714285714286,1.0,1.4285714285714286,1.0
1,1,anti_first_fail,indomain_min,800,70.0,100.0,70.0,70.0,0.00019543617963790894,1.4285714285714286,1.0,1.4285714285714286,1.0
1,1,anti_first_fail,indomain_min,1000,70.0,90.0,70.0,70.0,0.00019805226475000381,1.2857142857142858,1.0,1.2857142857142858,1.0
1,2,anti_first_fail,indomain_min,0,70.0,100.0,60.0,90.0,0.00023543508723378181,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
1,2,anti_first_fail,indomain_min,20,70.0,100.0,70.0,80.0,0.00018959399312734604,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,50,70.0,110.0,70.0,80.0,0.00019112229347229004,1.5714285714285714,1.1428571428571428,1.375,1.0
1,2,anti_first_fail,indomain_min,80,70.0,100.0,70.0,80.0,0.0001882072538137436,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,200,70.0,100.0,70.0,80.0,0.00019539380446076393,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,500,70.0,100.0,70.0,80.0,0.00019087782129645348,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00019335001707077026,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00018794415518641472,1.4285714285714286,1.1428571428571428,1.25,1.0
1,3,anti_first_fail,indomain_min,0,70.0,90.0,70.0,70.0,0.00017538899555802345,1.2857142857142858,1.0,1.2857142857142858,1.0
1,3,anti_first_fail,indomain_min,20,70.0,100.0,70.0,70.0,0.00019456632435321808,1.4285714285714286,1.0,1.4285714285714286,1.0
1,3,anti_first_fail,indomain_min,50,70.0,100.0,70.0,70.0,0.00019952282309532166,1.4285714285714286,1.0,1.4285714285714286,1.0
