,Weight,Type,Model,Solver,Time (ms)
0,0,max,Initial,Gecode,90.0
1,0,max,Initial,Gurobi,220.0
2,0,max,Modified,Gecode,90.0
3,0,max,Modified,Gurobi,120.0
4,0,max,Modified,OGSA,0.0003947718068957329
5,0,mean,Initial,Gecode,70.79166666666667
6,0,mean,Initial,Gurobi,102.86666666666666
7,0,mean,Modified,Gecode,68.875
8,0,mean,Modified,Gurobi,83.24166666666666
9,0,mean,Modified,OGSA,0.00020984423036376636
10,0,min,Initial,Gecode,70.0
11,0,min,Initial,Gurobi,90.0
12,0,min,Modified,Gecode,60.0
13,0,min,Modified,Gurobi,70.0
14,0,min,Modified,OGSA,0.00016964180395007133
15,20,max,Initial,Gecode,90.0
16,20,max,Initial,Gurobi,170.0
17,20,max,Modified,Gecode,80.0
18,20,max,Modified,Gurobi,120.0
19,20,max,Modified,OGSA,0.0004572630859911442
20,20,mean,Initial,Gecode,71.50833333333334
21,20,mean,Initial,Gurobi,103.3
22,20,mean,Modified,Gecode,69.79166666666667
23,20,mean,Modified,Gurobi,83.79166666666667
24,20,mean,Modified,OGSA,0.00021109342225827276
25,20,min,Initial,Gecode,70.0
26,20,min,Initial,Gurobi,90.0
27,20,min,Modified,Gecode,60.0
28,20,min,Modified,Gurobi,70.0
29,20,min,Modified,OGSA,0.00018651597201824188
30,50,max,Initial,Gecode,90.0
31,50,max,Initial,Gurobi,180.0
32,50,max,Modified,Gecode,80.0
33,50,max,Modified,Gurobi,120.0
34,50,max,Modified,OGSA,0.00036946963518857956
35,50,mean,Initial,Gecode,72.00833333333334
36,50,mean,Initial,Gurobi,103.51666666666667
37,50,mean,Modified,Gecode,69.88333333333334
38,50,mean,Modified,Gurobi,83.64166666666667
39,50,mean,Modified,OGSA,0.0002113742377453794
40,50,min,Initial,Gecode,70.0
41,50,min,Initial,Gurobi,90.0
42,50,min,Modified,Gecode,60.0
43,50,min,Modified,Gurobi,70.0
44,50,min,Modified,OGSA,0.0001847962848842144
45,80,max,Initial,Gecode,90.0
46,80,max,Initial,Gurobi,160.0
47,80,max,Modified,Gecode,90.0
48,80,max,Modified,Gurobi,120.0
49,80,max,Modified,OGSA,0.0003734501078724861
50,80,mean,Initial,Gecode,72.175
51,80,mean,Initial,Gurobi,103.775
52,80,mean,Modified,Gecode,70.0
53,80,mean,Modified,Gurobi,83.68333333333334
54,80,mean,Modified,OGSA,0.00021061614233379563
55,80,min,Initial,Gecode,70.0
56,80,min,Initial,Gurobi,90.0
57,80,min,Modified,Gecode,60.0
58,80,min,Modified,Gurobi,70.0
59,80,min,Modified,OGSA,0.0001841527409851551
60,200,max,Initial,Gecode,90.0
61,200,max,Initial,Gurobi,160.0
62,200,max,Modified,Gecode,80.0
63,200,max,Modified,Gurobi,120.0
64,200,max,Modified,OGSA,0.0003786967135965824
65,200,mean,Initial,Gecode,72.61666666666666
66,200,mean,Initial,Gurobi,103.79166666666667
67,200,mean,Modified,Gecode,70.09166666666667
68,200,mean,Modified,Gurobi,83.75833333333334
69,200,mean,Modified,OGSA,0.0002103879605419934
70,200,min,Initial,Gecode,70.0
71,200,min,Initial,Gurobi,90.0
72,200,min,Modified,Gecode,60.0
73,200,min,Modified,Gurobi,70.0
74,200,min,Modified,OGSA,0.00018464494496583939
75,500,max,Initial,Gecode,110.0
76,500,max,Initial,Gurobi,150.0
77,500,max,Modified,Gecode,100.0
78,500,max,Modified,Gurobi,120.0
79,500,max,Modified,OGSA,0.0005298699252307415
80,500,mean,Initial,Gecode,73.50833333333334
81,500,mean,Initial,Gurobi,103.83333333333333
82,500,mean,Modified,Gecode,70.20833333333333
83,500,mean,Modified,Gurobi,83.575
84,500,mean,Modified,OGSA,0.00020963346508021157
85,500,min,Initial,Gecode,70.0
86,500,min,Initial,Gurobi,90.0
87,500,min,Modified,Gecode,60.0
88,500,min,Modified,Gurobi,70.0
89,500,min,Modified,OGSA,0.0001868000254034996
90,800,max,Initial,Gecode,160.0
91,800,max,Initial,Gurobi,180.0
92,800,max,Modified,Gecode,160.0
93,800,max,Modified,Gurobi,120.0
94,800,max,Modified,OGSA,0.0005751857534050941
95,800,mean,Initial,Gecode,74.05
96,800,mean,Initial,Gurobi,103.91666666666667
97,800,mean,Modified,Gecode,70.44166666666666
98,800,mean,Modified,Gurobi,83.31666666666666
99,800,mean,Modified,OGSA,0.00021142535532514255
100,800,min,Initial,Gecode,70.0
101,800,min,Initial,Gurobi,90.0
102,800,min,Modified,Gecode,60.0
103,800,min,Modified,Gurobi,70.0
104,800,min,Modified,OGSA,0.00018692761659622192
105,1000,max,Initial,Gecode,100.0
106,1000,max,Initial,Gurobi,180.0
107,1000,max,Modified,Gecode,90.0
108,1000,max,Modified,Gurobi,120.0
109,1000,max,Modified,OGSA,0.0004243571311235428
110,1000,mean,Initial,Gecode,73.95833333333333
111,1000,mean,Initial,Gurobi,103.80833333333334
112,1000,mean,Modified,Gecode,70.48333333333333
113,1000,mean,Modified,Gurobi,83.34166666666667
114,1000,mean,Modified,OGSA,0.0002112873849303772
115,1000,min,Initial,Gecode,70.0
116,1000,min,Initial,Gurobi,90.0
117,1000,min,Modified,Gecode,60.0
118,1000,min,Modified,Gurobi,70.0
119,1000,min,Modified,OGSA,0.00018635811284184456
