Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
2,49,anti_first_fail,indomain_min,obj,738396,857136,1536996,0.861468892,3620,2400,1200,1.508333333
3,49,anti_first_fail,indomain_min,obj,751792,851412,1009932,0.882994367,2420,1220,1200,1.983606557
4,95,anti_first_fail,indomain_min,obj,1470850,1646350,2588152,0.893400553,3662,2162,3500,1.693802035
2,95,anti_first_fail,indomain_min,obj,1620002,1810502,7880402,0.894780564,3662,2162,3500,1.693802035
10,49,anti_first_fail,indomain_min,obj,914888,1021928,1248308,0.895256809,3620,2400,1200,1.508333333
5,66,anti_first_fail,indomain_min,obj,267420,298020,657420,0.897322327,3300,4500,2400,0.733333333
9,49,anti_first_fail,indomain_min,obj,794468,880948,1105948,0.901833025,3620,2400,1200,1.508333333
1,49,anti_first_fail,indomain_min,obj,872664,966264,2043944,0.903132063,3620,1220,1200,2.967213115
8,66,anti_first_fail,indomain_min,obj,206040,227640,684540,0.905113337,4500,4500,2400,1
3,95,anti_first_fail,indomain_min,obj,1571276,1724276,2422366,0.911267106,3662,2162,3500,1.693802035
4,25,anti_first_fail,indomain_min,obj,1160991,1270087,1544305,0.914103522,2415,2000,2000,1.2075
11,49,anti_first_fail,indomain_min,obj,966248,1053968,1190648,0.916771667,3620,1220,1200,2.967213115
12,25,anti_first_fail,indomain_min,obj,1373106,1495586,1699041,0.918105679,2415,2000,2000,1.2075
1,95,anti_first_fail,indomain_min,obj,1817580,1961580,7506210,0.92658979,3662,2162,3500,1.693802035
10,95,anti_first_fail,indomain_min,obj,1967592,2119092,2864900,0.928507115,3662,2162,3500,1.693802035
9,95,anti_first_fail,indomain_min,obj,1681134,1810134,2394310,0.928734558,3662,2162,3500,1.693802035
3,25,anti_first_fail,indomain_min,obj,1152894,1239478,1300926,0.930144787,2000,2000,2000,1
12,66,anti_first_fail,indomain_min,obj,376260,404160,695460,0.930967933,2400,4500,2400,0.533333333
2,25,anti_first_fail,indomain_min,obj,1222769,1313141,1423474,0.931178754,2415,2000,2000,1.2075
