,,,,,Gecode,Chuffed,Gurobi,Cplex
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain,time,70.0,190.0,120.0,140.0
1,1,anti_first_fail,indomain_interval,time,70.0,190.0,120.0,140.0
1,1,anti_first_fail,indomain_max,time,60.0,120.0,130.0,140.0
1,1,anti_first_fail,indomain_min,time,70.0,190.0,130.0,140.0
1,1,anti_first_fail,indomain_reverse_split,time,60.0,130.0,130.0,140.0
1,1,anti_first_fail,indomain_split,time,70.0,260.0,120.0,140.0
1,1,anti_first_fail,indomain_split_random,time,70.0,190.0,130.0,140.0
1,1,anti_first_fail,outdomain_max,time,80.0,190.0,120.0,150.0
1,1,anti_first_fail,outdomain_median,time,70.0,200.0,130.0,140.0
1,1,anti_first_fail,outdomain_min,time,70.0,190.0,120.0,250.0
1,1,anti_first_fail,outdomain_random,time,70.0,190.0,120.0,150.0
1,1,dom_w_deg,indomain,time,70.0,180.0,140.0,140.0
1,1,dom_w_deg,indomain_interval,time,60.0,190.0,140.0,140.0
1,1,dom_w_deg,indomain_max,time,60.0,120.0,140.0,130.0
1,1,dom_w_deg,indomain_min,time,70.0,180.0,240.0,130.0
1,1,dom_w_deg,indomain_reverse_split,time,60.0,130.0,170.0,130.0
1,1,dom_w_deg,indomain_split,time,60.0,200.0,150.0,130.0
1,1,dom_w_deg,indomain_split_random,time,70.0,180.0,190.0,130.0
1,1,dom_w_deg,outdomain_max,time,70.0,180.0,130.0,140.0
1,1,dom_w_deg,outdomain_median,time,70.0,180.0,150.0,130.0
1,1,dom_w_deg,outdomain_min,time,70.0,180.0,140.0,130.0
1,1,dom_w_deg,outdomain_random,time,70.0,180.0,130.0,130.0
1,1,first_fail,indomain,time,70.0,170.0,120.0,150.0
1,1,first_fail,indomain_interval,time,60.0,170.0,120.0,170.0
1,1,first_fail,indomain_max,time,60.0,140.0,130.0,150.0
1,1,first_fail,indomain_min,time,70.0,170.0,130.0,140.0
1,1,first_fail,indomain_reverse_split,time,60.0,150.0,120.0,150.0
1,1,first_fail,indomain_split,time,60.0,180.0,120.0,150.0
1,1,first_fail,indomain_split_random,time,70.0,170.0,130.0,140.0
1,1,first_fail,outdomain_max,time,70.0,170.0,130.0,140.0
1,1,first_fail,outdomain_median,time,70.0,170.0,130.0,140.0
