day_num,household_num,result_type,model_type,"mip, gurobi","cp, gecode"
1,1,time,initial,120,70
1,2,time,initial,130,60
1,3,time,initial,120,70
1,4,time,initial,120,70
1,5,time,initial,120,70
1,6,time,initial,120,80
1,7,time,initial,130,70
1,8,time,initial,110,60
1,9,time,initial,120,60
1,10,time,initial,170,70
1,11,time,initial,130,80
1,12,time,initial,160,70
1,13,time,initial,110,70
1,14,time,initial,140,70
1,15,time,initial,110,60
1,16,time,initial,130,70
1,17,time,initial,110,70
1,18,time,initial,110,60
1,19,time,initial,130,70
1,20,time,initial,120,80
1,21,time,initial,150,70
1,22,time,initial,190,70
1,23,time,initial,150,70
1,24,time,initial,130,90
1,25,time,initial,110,70
1,26,time,initial,140,70
1,27,time,initial,150,70
1,28,time,initial,110,70
1,29,time,initial,130,70
1,30,time,initial,120,70
1,31,time,initial,110,60
1,32,time,initial,100,70
1,33,time,initial,110,70
1,34,time,initial,110,60
1,35,time,initial,140,70
1,36,time,initial,160,70
1,37,time,initial,120,70
1,38,time,initial,100,60
1,39,time,initial,110,70
1,40,time,initial,120,60
1,41,time,initial,110,70
1,42,time,initial,130,70
1,43,time,initial,110,70
1,44,time,initial,120,80
1,45,time,initial,120,60
1,46,time,initial,120,70
1,47,time,initial,110,60
1,48,time,initial,120,70
1,49,time,initial,90,70
1,50,time,initial,100,70
1,51,time,initial,110,60
1,52,time,initial,120,70
1,53,time,initial,110,80
1,54,time,initial,130,70
1,55,time,initial,100,70
1,56,time,initial,110,60
1,57,time,initial,120,70
1,58,time,initial,110,60
1,59,time,initial,100,70
1,60,time,initial,120,60
1,61,time,initial,370,60
1,62,time,initial,110,70
1,63,time,initial,110,70
1,64,time,initial,120,70
1,65,time,initial,130,70
1,66,time,initial,150,70
1,67,time,initial,120,60
1,68,time,initial,120,70
1,69,time,initial,100,70
1,70,time,initial,130,60
1,71,time,initial,120,70
1,72,time,initial,110,70
1,73,time,initial,130,60
1,74,time,initial,120,60
1,75,time,initial,110,60
1,76,time,initial,120,60
1,77,time,initial,110,80
1,78,time,initial,120,70
1,79,time,initial,120,70
1,80,time,initial,120,60
1,81,time,initial,100,60
1,82,time,initial,150,70
1,83,time,initial,140,70
1,84,time,initial,170,60
1,85,time,initial,120,70
1,86,time,initial,130,70
1,87,time,initial,110,70
1,88,time,initial,100,60
1,89,time,initial,130,60
1,90,time,initial,150,70
1,91,time,initial,170,80
