,,,,,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,input_order,indomain_min,obj,880100.0,880100.0,2010970.0,880100.0
1,1,input_order,indomain_min,time,70.0,130.0,,0.00024783192202448845
1,2,input_order,indomain_min,obj,2301000.0,2301000.0,4779700.0,2301000.0
1,2,input_order,indomain_min,time,60.0,110.0,,0.000340381171554327
1,3,input_order,indomain_min,obj,661895.0,661895.0,866091.0,662075.0
1,3,input_order,indomain_min,time,60.0,110.0,,0.0003758850507438183
1,4,input_order,indomain_min,obj,353340.0,353340.0,627238.0,355540.0
1,4,input_order,indomain_min,time,70.0,100.0,,0.00026896107010543346
1,5,input_order,indomain_min,obj,443625.0,443625.0,841980.0,446325.0
1,5,input_order,indomain_min,time,60.0,110.0,,0.00037457607686519623
2,1,input_order,indomain_min,obj,715870.0,715870.0,1625740.0,721870.0
2,1,input_order,indomain_min,time,60.0,100.0,,0.00030325399711728096
2,2,input_order,indomain_min,obj,1989000.0,1989000.0,2998300.0,1989000.0
2,2,input_order,indomain_min,time,60.0,120.0,,0.00036790105514228344
2,3,input_order,indomain_min,obj,545537.0,545537.0,920344.0,545537.0
2,3,input_order,indomain_min,time,60.0,110.0,,0.0004097539931535721
2,4,input_order,indomain_min,obj,296516.0,296516.0,516794.0,296516.0
2,4,input_order,indomain_min,time,60.0,100.0,,0.00030591897666454315
2,5,input_order,indomain_min,obj,359580.0,359580.0,644670.0,367620.0
2,5,input_order,indomain_min,time,60.0,110.0,,0.00041172094643116
