,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,1125150,1125150,1125150,1125150,1125150,3193040,1.0
1,1,anti_first_fail,indomain_min,5,1129660,1129660,1129660,1129660,1129660,3193040,1.0
1,1,anti_first_fail,indomain_min,50,1155490,1155490,1155490,1155490,1155490,3193040,1.0
1,1,anti_first_fail,indomain_min,500,1338640,1338640,1338640,1338640,1338640,3193040,1.0
1,1,anti_first_fail,indomain_min,1000,1480640,1480640,1480640,1480640,1480640,3193040,1.0
1,2,anti_first_fail,indomain_min,0,362440,362440,362440,362440,362440,550793,1.0
1,2,anti_first_fail,indomain_min,5,367475,367475,367475,367475,367475,550793,1.0
1,2,anti_first_fail,indomain_min,50,378335,378335,378335,378335,378335,550793,1.0
1,2,anti_first_fail,indomain_min,500,401493,401493,401493,401493,401493,550793,1.0
1,2,anti_first_fail,indomain_min,1000,424993,424993,424993,424993,424993,550793,1.0
1,3,anti_first_fail,indomain_min,0,690430,690430,690430,690430,690430,1070086,1.0
1,3,anti_first_fail,indomain_min,5,705418,705418,705418,705418,733473,1070086,1.0397707458556487
1,3,anti_first_fail,indomain_min,50,812716,812716,812716,812716,825666,1070086,1.0159342254859016
1,3,anti_first_fail,indomain_min,500,969866,969866,969866,969866,972926,1070086,1.0031550750309837
1,3,anti_first_fail,indomain_min,1000,1011446,1011446,1011446,1011446,1034006,1070086,1.0223047003992305
2,1,anti_first_fail,indomain_min,0,944970,944970,944970,944970,945220,1786600,1.000264558663238
2,1,anti_first_fail,indomain_min,5,950595,950595,950595,950595,950595,1786600,1.0
2,1,anti_first_fail,indomain_min,50,980250,980250,980250,980250,980250,1786600,1.0
2,1,anti_first_fail,indomain_min,500,1231500,1231500,1231500,1231500,1231500,1786600,1.0
2,1,anti_first_fail,indomain_min,1000,1376600,1376600,1376600,1376600,1376600,1786600,1.0
2,2,anti_first_fail,indomain_min,0,292904,292904,292904,292904,293584,498856,1.0023215797667495
2,2,anti_first_fail,indomain_min,5,299073,299073,299073,299073,299073,498856,1.0
2,2,anti_first_fail,indomain_min,50,313716,313716,313716,313716,313716,498856,1.0
2,2,anti_first_fail,indomain_min,500,347456,347456,347456,347456,347456,498856,1.0
2,2,anti_first_fail,indomain_min,1000,378456,378456,378456,378456,378456,498856,1.0
2,3,anti_first_fail,indomain_min,0,602189,602189,602189,602189,611489,1059047,1.0154436563935907
2,3,anti_first_fail,indomain_min,5,619442,619442,619442,619442,627852,1059047,1.013576735190704
2,3,anti_first_fail,indomain_min,50,734982,734982,734982,734982,738732,1059047,1.005102165767325
2,3,anti_first_fail,indomain_min,500,914672,914672,914672,914672,1026467,1059047,1.122224141550195
2,3,anti_first_fail,indomain_min,1000,974267,974267,974267,974267,1047467,1059047,1.0751334079877488
