,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,70.0,100.0,80.0,80.0,0.00023297080770134926,1.4285714285714286,1.0,1.25,0.875
1,1,anti_first_fail,indomain_min,5,70.0,110.0,70.0,80.0,0.00042587099596858025,1.5714285714285714,1.1428571428571428,1.375,1.0
1,1,anti_first_fail,indomain_min,50,70.0,100.0,70.0,80.0,0.0002199760638177395,1.4285714285714286,1.1428571428571428,1.25,1.0
1,1,anti_first_fail,indomain_min,500,90.0,110.0,70.0,100.0,0.0002011372707784176,1.2222222222222223,1.4285714285714286,1.1,1.2857142857142858
1,1,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,90.0,0.0002069869078695774,1.4285714285714286,1.2857142857142858,1.1111111111111112,1.0
1,2,anti_first_fail,indomain_min,0,70.0,110.0,70.0,80.0,0.00019209925085306168,1.5714285714285714,1.1428571428571428,1.375,1.0
1,2,anti_first_fail,indomain_min,5,70.0,100.0,70.0,80.0,0.0002040918916463852,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,50,70.0,100.0,70.0,80.0,0.00020291795954108238,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,500,70.0,100.0,70.0,80.0,0.00020375382155179977,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00027620187029242516,1.4285714285714286,1.1428571428571428,1.25,1.0
1,3,anti_first_fail,indomain_min,0,70.0,110.0,70.0,100.0,0.00019188039004802704,1.5714285714285714,1.4285714285714286,1.1,1.0
1,3,anti_first_fail,indomain_min,5,70.0,110.0,70.0,100.0,0.0001997966319322586,1.5714285714285714,1.4285714285714286,1.1,1.0
1,3,anti_first_fail,indomain_min,50,70.0,120.0,70.0,100.0,0.0002569630742073059,1.7142857142857142,1.4285714285714286,1.2,1.0
1,3,anti_first_fail,indomain_min,500,80.0,120.0,70.0,100.0,0.00019642198458313942,1.5,1.4285714285714286,1.2,1.1428571428571428
1,3,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,90.0,0.0001920098438858986,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,1,anti_first_fail,indomain_min,0,70.0,130.0,70.0,90.0,0.0003201868385076523,1.8571428571428572,1.2857142857142858,1.4444444444444444,1.0
2,1,anti_first_fail,indomain_min,5,70.0,100.0,60.0,80.0,0.0002171131782233715,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,1,anti_first_fail,indomain_min,50,110.0,120.0,70.0,90.0,0.00022536097094416618,1.0909090909090908,1.2857142857142858,1.3333333333333333,1.5714285714285714
2,1,anti_first_fail,indomain_min,500,70.0,180.0,70.0,90.0,0.00020154519006609917,2.5714285714285716,1.2857142857142858,2.0,1.0
2,1,anti_first_fail,indomain_min,1000,90.0,110.0,70.0,80.0,0.00020050490275025368,1.2222222222222223,1.1428571428571428,1.375,1.2857142857142858
2,2,anti_first_fail,indomain_min,0,70.0,110.0,60.0,80.0,0.00020274706184864044,1.5714285714285714,1.3333333333333333,1.375,1.1666666666666667
2,2,anti_first_fail,indomain_min,5,70.0,100.0,60.0,80.0,0.000203646719455719,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,2,anti_first_fail,indomain_min,50,70.0,100.0,70.0,80.0,0.0002088337205350399,1.4285714285714286,1.1428571428571428,1.25,1.0
2,2,anti_first_fail,indomain_min,500,70.0,100.0,70.0,80.0,0.00020535103976726532,1.4285714285714286,1.1428571428571428,1.25,1.0
2,2,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.0002061259001493454,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,3,anti_first_fail,indomain_min,0,90.0,130.0,60.0,100.0,0.00020878110080957413,1.4444444444444444,1.6666666666666667,1.3,1.5
2,3,anti_first_fail,indomain_min,5,70.0,160.0,70.0,120.0,0.00021310290321707726,2.2857142857142856,1.7142857142857142,1.3333333333333333,1.0
2,3,anti_first_fail,indomain_min,50,130.0,140.0,120.0,100.0,0.00020717177540063858,1.0769230769230769,0.8333333333333334,1.4,1.0833333333333333
2,3,anti_first_fail,indomain_min,500,80.0,110.0,70.0,100.0,0.00018706312403082848,1.375,1.4285714285714286,1.1,1.1428571428571428
2,3,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,100.0,0.00019521405920386314,1.5714285714285714,1.4285714285714286,1.1,1.0
