,,,,,Gecode,Preferred,OGSA
,,,,,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,input_order,indomain_min,obj,4538350.0,11261016.0,4083216.0
1,1,input_order,indomain_min,time,110.0,,0.00018700300097407307
1,2,input_order,indomain_min,obj,1147852.0,771922.0,746822.0
1,2,input_order,indomain_min,time,90.0,,0.00020163999943179078
1,3,input_order,indomain_min,obj,505424.0,508874.0,505424.0
1,3,input_order,indomain_min,time,130.0,,0.00012817000060749706
1,4,input_order,indomain_min,obj,1193110.0,920910.0,891610.0
1,4,input_order,indomain_min,time,100.0,,0.00017204399955517147
1,5,input_order,indomain_min,obj,2031865.0,2747995.0,1985545.0
1,5,input_order,indomain_min,time,100.0,,0.00019088800036115572
2,1,input_order,indomain_min,obj,4211390.0,11494100.0,3721100.0
2,1,input_order,indomain_min,time,100.0,,0.0007168820011429489
2,2,input_order,indomain_min,obj,1007712.0,727626.0,596526.0
2,2,input_order,indomain_min,time,100.0,,0.0003000579999934416
2,3,input_order,indomain_min,obj,482453.0,524603.0,482453.0
2,3,input_order,indomain_min,time,140.0,,0.00017535799997858703
2,4,input_order,indomain_min,obj,1054760.0,786760.0,782960.0
2,4,input_order,indomain_min,time,100.0,,0.00019440600044617895
2,5,input_order,indomain_min,obj,1939365.0,2315295.0,1842195.0
2,5,input_order,indomain_min,time,100.0,,0.00040424600047117565
