,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weights,,,,,,,,,
1,1,anti_first_fail,indomain_min,800,70.0,110.0,70.0,90.0,0.00020949169993400574,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
1,1,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,90.0,0.00022177491337060928,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
1,2,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00018712365999817848,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.000206824392080307,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,3,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00018657417967915535,1.4285714285714286,1.1428571428571428,1.25,1.0
1,3,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00024552689865231514,1.4285714285714286,1.1428571428571428,1.25,1.0
2,1,anti_first_fail,indomain_min,800,70.0,110.0,70.0,90.0,0.00021421769633889198,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,1,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,90.0,0.00022599799558520317,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
2,2,anti_first_fail,indomain_min,800,70.0,100.0,60.0,80.0,0.00026080524548888206,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.000207419041544199,1.4285714285714286,1.1428571428571428,1.25,1.0
2,3,anti_first_fail,indomain_min,800,70.0,100.0,60.0,80.0,0.00020147906616330147,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,3,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00020201317965984344,1.4285714285714286,1.1428571428571428,1.25,1.0
