,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weights,,,,,,,
1,1,anti_first_fail,indomain_min,800,1474270,1474270,1474270,1474270,1474270,8257770,1.0
1,1,anti_first_fail,indomain_min,1000,1526870,1526870,1526870,1526870,1526870,8257770,1.0
1,2,anti_first_fail,indomain_min,800,1498990,1498990,1498990,1498990,1498990,1743490,1.0
1,2,anti_first_fail,indomain_min,1000,1543990,1543990,1543990,1543990,1543990,1743490,1.0
1,3,anti_first_fail,indomain_min,800,689428,689428,689428,689428,689428,1074578,1.0
1,3,anti_first_fail,indomain_min,1000,696378,696378,696378,696378,696378,1074578,1.0
2,1,anti_first_fail,indomain_min,800,1397544,1397544,1397544,1397544,1397544,1410744,1.0
2,1,anti_first_fail,indomain_min,1000,1397544,1397544,1397544,1397544,1397544,1410744,1.0
2,2,anti_first_fail,indomain_min,800,1371323,1371323,1371323,1371323,1371323,1753123,1.0
2,2,anti_first_fail,indomain_min,1000,1432923,1432923,1432923,1432923,1432923,1753123,1.0
2,3,anti_first_fail,indomain_min,800,595410,595410,595410,595410,595410,949110,1.0
2,3,anti_first_fail,indomain_min,1000,600160,600160,600160,600160,600160,949110,1.0
