Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,2275,2155,6000,1805,1800
2,1,2275,2275,6000,2275,1800
3,1,2275,2155,6000,2275,1800
4,1,2275,2275,6000,2275,1800
5,1,2275,2275,6000,2275,1800
6,1,2275,2275,6000,2275,1800
7,1,2275,2155,6000,2275,1800
8,1,2275,2275,6000,2275,1800
9,1,2275,2275,6000,2275,1800
10,1,2275,2275,6000,2275,1800
11,1,2275,2155,6000,2275,1800
12,1,2275,2155,6000,2275,1800
1,2,6138,7338,30000,6038,6000
2,2,7338,7338,30000,6038,6000
3,2,7338,7338,30000,6100,6000
4,2,7338,7338,30000,6138,6000
5,2,7338,7338,30000,6138,6000
6,2,7338,7338,30000,6038,6000
7,2,7338,7338,30000,6038,6000
8,2,7338,7338,30000,6100,6000
9,2,7338,7338,30000,6038,6000
10,2,7338,7338,30000,6038,6000
11,2,7338,7338,30000,6138,6000
12,2,7338,7338,30000,6038,6000
1,3,3340,2640,8500,3200,1700
2,3,3340,3290,8500,3340,1700
3,3,3340,2640,8500,2590,1700
4,3,3340,3290,8500,3290,1700
5,3,3340,3290,8500,3340,1700
6,3,2640,2640,8500,3340,1700
7,3,3340,2640,8500,3290,1700
8,3,3340,3290,8500,3340,1700
9,3,2640,2640,8500,3340,1700
10,3,2640,2640,8500,3290,1700
11,3,3340,2640,8500,2590,1700
12,3,3340,2640,8500,1840,1700
1,4,3700,3600,18000,3700,3600
2,4,3700,3700,18000,3600,3600
3,4,3700,3700,18000,3700,3600
4,4,3700,3600,18000,3700,3600
5,4,3700,3700,18000,3700,3600
6,4,3600,3600,18000,3600,3600
7,4,3700,3700,18000,3700,3600
8,4,3700,3600,18000,3700,3600
9,4,3600,3600,18000,3600,3600
10,4,3600,3600,18000,3600,3600
11,4,3700,3700,18000,3600,3600
12,4,3700,3700,18000,3600,3600
1,5,2483,2483,12000,2483,2472
2,5,2573,2573,12000,2400,2472
3,5,2483,2573,12000,2501,2472
4,5,2573,2573,12000,2400,2472
5,5,2573,2573,12000,2483,2472
6,5,2573,2573,12000,2483,2472
7,5,2483,2483,12000,2483,2472
8,5,2573,2573,12000,2400,2472
9,5,2573,2573,12000,2573,2472
10,5,2573,2573,12000,2573,2472
11,5,2483,2573,12000,2400,2472
12,5,2483,2573,12000,2483,2472
1,6,855,855,3500,855,700
2,6,855,855,3500,825,700
3,6,855,855,3500,825,700
4,6,855,855,3500,825,700
5,6,855,855,3500,855,700
6,6,855,855,3500,825,700
7,6,855,855,3500,855,700
8,6,855,855,3500,855,700
9,6,855,855,3500,855,700
10,6,855,855,3500,825,700
11,6,855,855,3500,855,700
12,6,855,855,3500,855,700
1,7,9593,6000,25000,9593,5000
2,7,9593,9593,25000,9593,5000
3,7,9593,6993,25000,9593,5000
4,7,6993,6993,25000,9593,5000
5,7,9593,9593,25000,9593,5000
6,7,6993,6993,25000,9593,5000
7,7,9593,6993,25000,9593,5000
8,7,6993,6993,25000,9593,5000
9,7,6993,6993,25000,9593,5000
10,7,6993,6993,25000,9593,5000
11,7,9593,6993,25000,9593,5000
12,7,9593,6993,25000,8593,5000
1,8,1450,1452,6000,1450,1200
2,8,1452,1452,6000,1272,1200
3,8,1450,1452,6000,1452,1200
4,8,1452,1452,6000,1450,1200
5,8,1452,1452,6000,1452,1200
6,8,1452,1452,6000,1452,1200
7,8,1450,1452,6000,1452,1200
8,8,1452,1452,6000,1450,1200
9,8,1452,1452,6000,1452,1200
10,8,1452,1452,6000,1452,1200
11,8,1450,1452,6000,2100,1200
12,8,1450,1452,6000,1452,1200
1,9,4585,4185,20000,4570,4000
2,9,4585,4585,20000,4585,4000
3,9,4585,4585,20000,4585,4000
4,9,4585,4585,20000,4585,4000
5,9,4585,4585,20000,4585,4000
6,9,4585,4585,20000,4585,4000
7,9,4585,4585,20000,4585,4000
8,9,4585,4585,20000,4585,4000
9,9,4585,4585,20000,4585,4000
10,9,4585,4585,20000,4585,4000
11,9,4585,4585,20000,4585,4000
12,9,4585,4585,20000,4520,4000
1,10,4602,4602,20000,4602,4000
2,10,6702,6702,20000,6702,4000
3,10,6702,4602,20000,4600,4000
4,10,6702,6702,20000,6702,4000
5,10,6702,6702,20000,4600,4000
6,10,6702,6702,20000,4602,4000
7,10,4602,4602,20000,6700,4000
8,10,6702,6702,20000,4600,4000
9,10,6702,6702,20000,4600,4000
10,10,6702,6702,20000,4602,4000
11,10,4602,4602,20000,4602,4000
12,10,6702,4602,20000,6702,4000
1,11,600,975,3000,600,675
2,11,975,975,3000,600,675
3,11,975,975,3000,600,675
4,11,975,975,3000,600,675
5,11,975,975,3000,600,675
6,11,975,975,3000,600,675
7,11,975,975,3000,600,675
8,11,975,975,3000,600,675
9,11,975,975,3000,600,675
10,11,975,975,3000,600,675
11,11,975,975,3000,600,675
12,11,975,975,3000,600,675
1,12,4762,4700,11500,4762,2300
2,12,4762,4700,11500,4762,2300
3,12,4762,4700,11500,3600,2300
4,12,4762,4700,11500,4700,2300
5,12,4762,4700,11500,4700,2300
6,12,4762,4700,11500,4700,2300
7,12,4762,4700,11500,4762,2300
8,12,4762,4700,11500,4762,2300
9,12,4762,4700,11500,4762,2300
10,12,4762,4700,11500,4700,2300
11,12,4762,4700,11500,4700,2300
12,12,4762,4700,11500,4700,2300
1,13,4300,2200,11000,4300,2200
2,13,4338,4338,11000,3100,2200
3,13,4300,4338,11000,4300,2200
4,13,4338,4338,11000,2200,2200
5,13,4338,4338,11000,4300,2200
6,13,4338,4338,11000,4300,2200
7,13,4300,4338,11000,4300,2200
8,13,4338,4338,11000,3100,2200
9,13,4338,4338,11000,3100,2200
10,13,4338,4338,11000,2200,2200
11,13,4300,4338,11000,3100,2200
12,13,4300,4338,11000,3100,2200
1,14,1219,1215,6000,1200,1200
2,14,1204,1219,6000,1200,1200
3,14,1219,1215,6000,1200,1200
4,14,1219,1219,6000,1200,1200
5,14,1219,1219,6000,1200,1200
6,14,1219,1219,6000,1200,1200
7,14,1219,1215,6000,1200,1200
8,14,1219,1219,6000,1200,1200
9,14,1219,1219,6000,1200,1200
10,14,1219,1219,6000,1200,1200
11,14,1219,1215,6000,1200,1200
12,14,1219,1215,6000,1200,1200
1,15,775,715,3000,760,600
2,15,775,775,3000,600,600
3,15,775,775,3000,600,600
4,15,775,775,3000,600,600
5,15,775,775,3000,775,600
6,15,775,775,3000,600,600
7,15,775,775,3000,600,600
8,15,775,775,3000,660,600
9,15,775,775,3000,600,600
10,15,775,775,3000,600,600
11,15,775,775,3000,775,600
12,15,775,775,3000,775,600
1,16,2261,2161,5500,1761,1100
2,16,2261,2261,5500,2261,1100
3,16,2261,2161,5500,1861,1100
4,16,2261,2261,5500,2261,1100
5,16,2261,2261,5500,2261,1100
6,16,2261,2261,5500,2261,1100
7,16,2261,2161,5500,1861,1100
8,16,2261,2261,5500,2261,1100
9,16,2261,2261,5500,2261,1100
10,16,2261,2261,5500,2261,1100
11,16,2261,2161,5500,2161,1100
12,16,2261,2161,5500,1611,1100
1,17,2236,2290,10500,2290,2100
2,17,2295,2295,10500,2236,2100
3,17,2236,2290,10500,2236,2100
4,17,2295,2295,10500,2236,2100
5,17,2295,2295,10500,2236,2100
6,17,2295,2295,10500,2236,2100
7,17,2236,2290,10500,2295,2100
8,17,2295,2295,10500,2236,2100
9,17,2295,2295,10500,2236,2100
10,17,2295,2295,10500,2236,2100
11,17,2236,2290,10500,2230,2100
12,17,2236,2290,10500,2231,2100
1,18,8806,8805,20000,8801,4000
2,18,8806,8806,20000,8806,4000
3,18,8806,8806,20000,8806,4000
