,Weight,Type,Model,Solver,Time (ms)
0,50,max,Initial,Gecode,70.0
1,50,max,Initial,Gurobi,130.0
2,50,max,Modified,Gecode,100.0
3,50,max,Modified,Gurobi,130.0
4,50,max,Modified,OGSA,0.00027214689180254936
5,50,mean,Initial,Gecode,70.0
6,50,mean,Initial,Gurobi,115.0
7,50,mean,Modified,Gecode,71.66666666666667
8,50,mean,Modified,Gurobi,101.66666666666667
9,50,mean,Modified,OGSA,0.0002093270110587279
10,50,min,Initial,Gecode,70.0
11,50,min,Initial,Gurobi,100.0
12,50,min,Modified,Gecode,60.0
13,50,min,Modified,Gurobi,80.0
14,50,min,Modified,OGSA,0.00017190305516123772
15,500,max,Initial,Gecode,80.0
16,500,max,Initial,Gurobi,140.0
17,500,max,Modified,Gecode,80.0
18,500,max,Modified,Gurobi,120.0
19,500,max,Modified,OGSA,0.0004924307577311993
20,500,mean,Initial,Gecode,73.33333333333333
21,500,mean,Initial,Gurobi,116.66666666666667
22,500,mean,Modified,Gecode,70.0
23,500,mean,Modified,Gurobi,96.66666666666667
24,500,mean,Modified,OGSA,0.0002457751737286647
25,500,min,Initial,Gecode,70.0
26,500,min,Initial,Gurobi,100.0
27,500,min,Modified,Gecode,60.0
28,500,min,Modified,Gurobi,80.0
29,500,min,Modified,OGSA,0.00018499279394745827
