,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,50,694540,694540,694540,694540,694740,1008840,1.0002879603766521
1,1,anti_first_fail,indomain_min,500,866440,866440,866440,866440,898040,1008840,1.0364710770509211
1,2,anti_first_fail,indomain_min,50,607250,607250,607250,607250,607250,747850,1.0
1,2,anti_first_fail,indomain_min,500,786650,786650,786650,786650,786650,747850,1.0
1,3,anti_first_fail,indomain_min,50,1939200,1939200,1939200,1939200,1944250,3727000,1.0026041666666667
1,3,anti_first_fail,indomain_min,500,2107500,2107500,2107500,2107500,2108500,3727000,1.0004744958481613
2,1,anti_first_fail,indomain_min,50,586700,586700,586700,586700,586700,689910,1.0
2,1,anti_first_fail,indomain_min,500,795560,795560,795560,795560,795560,689910,1.0
2,2,anti_first_fail,indomain_min,50,527350,527350,527350,527350,540700,719900,1.0253152555228975
2,2,anti_first_fail,indomain_min,500,746100,746100,746100,746100,746100,719900,1.0
2,3,anti_first_fail,indomain_min,50,1691900,1691900,1691900,1691900,1691900,2530600,1.0
2,3,anti_first_fail,indomain_min,500,1884400,1884400,1884400,1884400,1884400,2530600,1.0
