,,,,,Gecode,Preferred,OGSA
,,,,,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,
1,1,input_order,indomain_min,obj,372280.0,370380.0,231480.0
1,1,input_order,indomain_min,time,110.0,,0.00016481400052725803
1,2,input_order,indomain_min,obj,2582450.0,3191900.0,2567820.0
1,2,input_order,indomain_min,time,100.0,,0.00016551900080230553
1,3,input_order,indomain_min,obj,1003166.0,1083186.0,884516.0
1,3,input_order,indomain_min,time,100.0,,0.00015442899893969297
1,4,input_order,indomain_min,obj,2163460.0,14932960.0,2076060.0
1,4,input_order,indomain_min,time,90.0,,0.00017713399938656949
1,5,input_order,indomain_min,obj,640134.0,613964.0,609764.0
1,5,input_order,indomain_min,time,120.0,,0.00020546099949569907
2,1,input_order,indomain_min,obj,371115.0,244035.0,218935.0
2,1,input_order,indomain_min,time,110.0,,0.00018817099953594152
2,2,input_order,indomain_min,obj,2367300.0,3111100.0,2356500.0
2,2,input_order,indomain_min,time,110.0,,0.0001896560006571235
2,3,input_order,indomain_min,obj,1003450.0,891110.0,885150.0
2,3,input_order,indomain_min,time,100.0,,0.00017513700004201382
2,4,input_order,indomain_min,obj,2045460.0,3992960.0,2029260.0
2,4,input_order,indomain_min,time,100.0,,0.0002247909997095121
2,5,input_order,indomain_min,obj,624262.0,597272.0,597272.0
2,5,input_order,indomain_min,time,110.0,,0.00020660799964389298
