,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,1352650,1352650,1352650,1352650,1361050,1818590,1.0062100321590952
1,1,anti_first_fail,indomain_min,1000,1501790,1501790,1501790,1501790,1501790,1818590,1.0
1,2,anti_first_fail,indomain_min,0,42445,42445,42445,42445,42445,79186,1.0
1,2,anti_first_fail,indomain_min,1000,79186,79186,79186,79186,79186,79186,1.0
1,3,anti_first_fail,indomain_min,0,922655,922655,922655,922655,927010,3522634,1.0047200741338853
1,3,anti_first_fail,indomain_min,1000,1179915,1179915,1179915,1179915,1399530,3522634,1.1861278142917075
2,1,anti_first_fail,indomain_min,0,1141670,1141670,1141670,1141670,1141670,1715890,1.0
2,1,anti_first_fail,indomain_min,1000,1290990,1290990,1290990,1290990,1290990,1715890,1.0
2,2,anti_first_fail,indomain_min,0,34316,34316,34316,34316,34316,84590,1.0
2,2,anti_first_fail,indomain_min,1000,84590,84590,84590,84590,84590,84590,1.0
2,3,anti_first_fail,indomain_min,0,810418,810418,810418,810418,822988,1800626,1.0155105143271743
2,3,anti_first_fail,indomain_min,1000,1056454,1056454,1056454,1056454,1316434,1800626,1.2460873828865242
