,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,80.0,110.0,70.0,90.0,0.00016405014321208,1.375,1.2857142857142858,1.2222222222222223,1.1428571428571428
1,1,anti_first_fail,indomain_min,1000,70.0,120.0,70.0,90.0,0.00019193068146705627,1.7142857142857142,1.2857142857142858,1.3333333333333333,1.0
1,2,anti_first_fail,indomain_min,0,70.0,90.0,70.0,70.0,0.0001860302872955799,1.2857142857142858,1.0,1.2857142857142858,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,90.0,70.0,70.0,0.00019937893375754356,1.2857142857142858,1.0,1.2857142857142858,1.0
1,3,anti_first_fail,indomain_min,0,70.0,100.0,60.0,80.0,0.00018143560737371445,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,3,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,80.0,0.00019621895626187325,1.5714285714285714,1.1428571428571428,1.375,1.0
2,1,anti_first_fail,indomain_min,0,70.0,100.0,60.0,100.0,0.00020772870630025864,1.4285714285714286,1.6666666666666667,1.0,1.1666666666666667
2,1,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,90.0,0.00019113114103674889,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
2,2,anti_first_fail,indomain_min,0,70.0,90.0,60.0,70.0,0.0001901150681078434,1.2857142857142858,1.1666666666666667,1.2857142857142858,1.1666666666666667
2,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,70.0,0.0003244252875447273,1.4285714285714286,1.0,1.4285714285714286,1.0
2,3,anti_first_fail,indomain_min,0,70.0,100.0,60.0,90.0,0.00019874423742294312,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
2,3,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,80.0,0.00019363313913345337,1.5714285714285714,1.3333333333333333,1.375,1.1666666666666667
