,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,1,anti_first_fail,indomain_min,obj,280375.0,280375.0,280375.0,280375.0,280150.0,864115.0,0.999197503343736
1,1,anti_first_fail,indomain_min,time,60.0,110.0,50.0,90.0,0.0002534149680286646,,5.068299360573292e-06
1,2,anti_first_fail,indomain_min,obj,1057940.0,1057940.0,1057940.0,1057940.0,1057940.0,1453892.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.00023950403556227684,,4.790080711245537e-06
1,3,anti_first_fail,indomain_min,obj,1664300.0,1664300.0,1664300.0,1664300.0,1664300.0,2653245.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.0002647459041327238,,5.294918082654476e-06
1,4,anti_first_fail,indomain_min,obj,1052220.0,1052220.0,1052220.0,1052220.0,1052220.0,1296896.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,100.0,50.0,70.0,0.00016183499246835709,,3.236699849367142e-06
1,5,anti_first_fail,indomain_min,obj,1049750.0,1049750.0,1049750.0,1049750.0,1049750.0,4049330.0,1.0
1,5,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.0001719798892736435,,3.4395977854728697e-06
1,6,anti_first_fail,indomain_min,obj,622005.0,622005.0,622005.0,622005.0,622005.0,870475.0,1.0
1,6,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.00024649803526699543,,4.929960705339909e-06
1,7,anti_first_fail,indomain_min,obj,1273680.0,1273680.0,1273680.0,1273680.0,1273680.0,4366840.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.0001662219874560833,,3.324439749121666e-06
1,8,anti_first_fail,indomain_min,obj,624520.0,624520.0,624520.0,624520.0,624520.0,1932916.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.0001619500108063221,,3.239000216126442e-06
1,9,anti_first_fail,indomain_min,obj,175695.0,175695.0,175695.0,175695.0,175695.0,1372196.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00023824907839298248,,4.764981567859649e-06
1,10,anti_first_fail,indomain_min,obj,1166100.0,1166100.0,1166100.0,1166100.0,1166100.0,1636695.0,1.0
1,10,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016486016102135181,,3.297203220427036e-06
1,11,anti_first_fail,indomain_min,obj,528450.0,528450.0,528450.0,528450.0,528450.0,897540.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016295700334012508,,3.2591400668025016e-06
1,12,anti_first_fail,indomain_min,obj,938615.0,938615.0,938615.0,938615.0,938600.0,1310275.0,0.999984019006728
1,12,anti_first_fail,indomain_min,time,60.0,110.0,50.0,90.0,0.0003339198883622885,,6.6783977672457695e-06
1,13,anti_first_fail,indomain_min,obj,519870.0,519870.0,519870.0,519870.0,519870.0,1480540.0,1.0
1,13,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00025003193877637386,,5.000638775527478e-06
1,14,anti_first_fail,indomain_min,obj,391630.0,391630.0,391630.0,391630.0,391630.0,1430620.0,1.0
1,14,anti_first_fail,indomain_min,time,60.0,100.0,50.0,90.0,0.0002789720892906189,,5.579441785812378e-06
1,15,anti_first_fail,indomain_min,obj,761400.0,761400.0,761400.0,761400.0,761400.0,2207096.0,1.0
1,15,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016336212866008282,,3.2672425732016565e-06
1,16,anti_first_fail,indomain_min,obj,242162.0,242162.0,242162.0,242162.0,227900.0,455450.0,0.941105540918889
1,16,anti_first_fail,indomain_min,time,60.0,140.0,50.0,100.0,0.0004374950658529997,,8.749901317059994e-06
1,17,anti_first_fail,indomain_min,obj,1949600.0,1949600.0,1949600.0,1949600.0,1947800.0,2308460.0,0.9990767336889619
1,17,anti_first_fail,indomain_min,time,60.0,110.0,50.0,90.0,0.0002854138147085905,,5.70827629417181e-06
1,18,anti_first_fail,indomain_min,obj,373165.0,373165.0,373165.0,373165.0,373165.0,518297.0,1.0
1,18,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00025959801860153675,,5.191960372030735e-06
1,19,anti_first_fail,indomain_min,obj,610350.0,610350.0,610350.0,610350.0,608400.0,843910.0,0.9968051118210862
1,19,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.0002596089616417885,,5.19217923283577e-06
1,20,anti_first_fail,indomain_min,obj,349050.0,349050.0,349050.0,349050.0,349050.0,503660.0,1.0
1,20,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.0005192460957914591,,1.0384921915829182e-05
1,21,anti_first_fail,indomain_min,obj,1079260.0,1079260.0,1079260.0,1079260.0,1079260.0,1495276.0,1.0
1,21,anti_first_fail,indomain_min,time,60.0,100.0,50.0,90.0,0.00024774507619440556,,4.954901523888111e-06
1,22,anti_first_fail,indomain_min,obj,853275.0,853275.0,853275.0,853275.0,853125.0,10023700.0,0.9998242067328821
1,22,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.0002649999223649502,,5.2999984472990035e-06
1,23,anti_first_fail,indomain_min,obj,938535.0,938535.0,938535.0,938535.0,938535.0,1094364.0,1.0
1,23,anti_first_fail,indomain_min,time,60.0,80.0,50.0,70.0,0.00016391905955970287,,3.2783811911940577e-06
1,24,anti_first_fail,indomain_min,obj,587550.0,587550.0,587550.0,587550.0,587550.0,934638.0,1.0
1,24,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00024084490723907948,,4.816898144781589e-06
1,25,anti_first_fail,indomain_min,obj,4128220.0,4128220.0,4128220.0,4128220.0,4126720.0,6003476.0,0.9996366472717055
1,25,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00025196815840899944,,5.039363168179989e-06
1,26,anti_first_fail,indomain_min,obj,1577420.0,1577420.0,1577420.0,1577420.0,1577420.0,1824820.0,1.0
1,26,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00026157405227422714,,5.231481045484543e-06
1,27,anti_first_fail,indomain_min,obj,1183650.0,1183650.0,1183650.0,1183650.0,1183650.0,1788330.0,1.0
1,27,anti_first_fail,indomain_min,time,60.0,80.0,50.0,70.0,0.0001645740121603012,,3.291480243206024e-06
1,28,anti_first_fail,indomain_min,obj,960170.0,960170.0,960170.0,960170.0,960050.0,4776850.0,0.9998750221314976
1,28,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00025442102923989296,,5.088420584797859e-06
1,29,anti_first_fail,indomain_min,obj,238225.0,238225.0,238225.0,238225.0,238225.0,515380.0,1.0
1,29,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.0002610019873827696,,5.220039747655392e-06
1,30,anti_first_fail,indomain_min,obj,530855.0,530855.0,530855.0,530855.0,530855.0,758257.0,1.0
1,30,anti_first_fail,indomain_min,time,60.0,100.0,50.0,90.0,0.00027802796103060246,,5.560559220612049e-06
1,31,anti_first_fail,indomain_min,obj,1163424.0,1163424.0,1163424.0,1163424.0,1162980.0,1300336.0,0.999618367852133
1,31,anti_first_fail,indomain_min,time,60.0,120.0,50.0,90.0,0.00033291010186076164,,6.6582020372152325e-06
1,32,anti_first_fail,indomain_min,obj,1629940.0,1629940.0,1629940.0,1629940.0,1629940.0,2188472.0,1.0
1,32,anti_first_fail,indomain_min,time,60.0,90.0,50.0,80.0,0.00026588793843984604,,5.3177587687969204e-06
1,33,anti_first_fail,indomain_min,obj,709800.0,709800.0,709800.0,709800.0,709800.0,3003070.0,1.0
