,,,,,Optimistic,Gecode,Gurobi
,,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,first_fail,indomain_split_random,obj,,1168400.0,1168400.0
1,1,first_fail,indomain_split_random,time,,150.0,220.0
1,2,first_fail,indomain_split_random,obj,,1223231.0,1223231.0
1,2,first_fail,indomain_split_random,time,,120.0,160.0
1,3,first_fail,indomain_split_random,obj,,1355100.0,1355100.0
1,3,first_fail,indomain_split_random,time,,90.0,160.0
2,1,first_fail,indomain_split_random,obj,,1164945.0,1164945.0
2,1,first_fail,indomain_split_random,time,,100.0,170.0
2,2,first_fail,indomain_split_random,obj,,1170318.0,1170318.0
2,2,first_fail,indomain_split_random,time,,120.0,160.0
2,3,first_fail,indomain_split_random,obj,,1260565.0,1260565.0
2,3,first_fail,indomain_split_random,time,,90.0,150.0
3,1,first_fail,indomain_split_random,obj,,1158695.0,1158695.0
3,1,first_fail,indomain_split_random,time,,100.0,160.0
3,2,first_fail,indomain_split_random,obj,,1096320.0,1096320.0
3,2,first_fail,indomain_split_random,time,,160.0,160.0
3,3,,,obj,1271565.0,,
3,3,,,time,0.008493153996823821,,
3,3,first_fail,indomain_split_random,obj,,1271565.0,1271565.0
3,3,first_fail,indomain_split_random,time,,90.0,160.0
