gurobi,163000, 180000, 209000, 204000, 210000, 186000, 198000, 177000, 177000, 188000, 180000, 173000, 162000, 190000, 180000, 205000, 230000, 180000, 243000, 220000, 171000, 170000, 188000, 191000, 200000, 221000, 199000, 192000, 179000, 180000, 198000, 190000, 250000, 181000, 190000, 190000, 217000, 181000, 169000, 200000, 256000, 298000, 192000, 196000, 177000, 310000, 186000, 221000, 180000, 210000, 217000, 178000, 170000, 150000, 190000, 239000, 190000, 202000, 199000, 253000, 211000, 181000, 180000, 253000, 226000, 204000, 213000, 182000, 190000, 199000, 208000, 205000, 188000, 172000, 181000, 168000, 172000, 190000, 198000, 212000, 192000, 200000, 170000, 180000, 204000, 180000, 181000, 172000, 198000, 161000, 191000, 167000, 195000, 176000, 176000, 180000, 169000, 190000, 185000, 164000
cplex,172000, 190000, 226000, 197000, 200000, 194000, 170000, 175000, 191000, 190000, 179000, 163000, 156000, 182000, 181000, 226000, 227000, 190000, 273000, 196000, 171000, 175000, 192000, 170000, 192000, 199000, 209000, 199000, 173000, 178000, 191000, 201000, 277000, 182000, 191000, 182000, 212000, 181000, 173000, 193000, 224000, 234000, 206000, 221000, 169000, 304000, 165000, 206000, 190000, 260000, 212000, 181000, 160000, 141000, 183000, 225000, 191000, 192000, 231000, 219000, 258000, 170000, 188000, 240000, 181000, 212000, 212000, 201000, 205000, 190000, 203000, 220000, 180000, 187000, 163000, 168000, 166000, 162000, 224000, 199000, 184000, 180000, 172000, 203000, 191000, 160000, 195000, 182000, 191000, 159000, 182000, 176000, 189000, 170000, 175000, 177000, 168000, 208000, 174000, 171000
gecode,92000, 81000, 107000, 141000, 90000, 165000, 160000, 181000, 100000, 100000, 130000, 182000, 100000, 125000, 90000, 93000, 150000, 110000, 100000, 100000, 100000, 80000, 152000, 80000, 124000, 100000, 113000, 120000, 93000, 132000, 100000, 129000, 80000, 120000, 94000, 90000, 144000, 132000, 122000, 90000, 110000, 81000, 91000, 131000, 100000, 90000, 190000, 94000, 140000, 100000, 90000, 130000, 120000, 132000, 130000, 93000, 91000, 92000, 90000, 122000, 80000, 91000, 110000, 160000, 130000, 90000, 101000, 110000, 113000, 119000, 211000, 179000, 90000, 100000, 88000, 71000, 130000, 138000, 91000, 110000, 246000, 91000, 91000, 104000, 190000, 110000, 82000, 85000, 90000, 120000, 90000, 108000, 87000, 121000, 115000, 117000, 104000, 108000, 121000, 91000
chuffed,553000, 558000, 839000, 300000, 734000, 897000, 89000, 290000, 136000, 955000, 747000, 885000, 413999, 765000, 415000, 121000, 770000, 650000, 187000, 781000, 347000, 38999, 176000, 401999, 651000, 49000, 941000, 707000, 708000, 796000, 982000, 439000, 101000, 361000, 271000, 457000, 887000, 477000, 702000, 747000, 90000, 834000, 565000, 774000, 292000, 701000, 75000, 945000, 600000, 601000, 783000, 714000, 593000, 127000, 462000, 161000, 263000, 919000, 951000, 202000, 702000, 863000, 442000, 624000, 661000, 689000, 776000, 75000, 163000, 100000, 941000, 56999, 472000, 226000, 577000, 112000, 256000, 490000, 850000, 292000, 490000, 354000, 264000, 840000, 677000, 869000, 265000, 203000, 165000, 120999, 893000, 571000, 754000, 32999, 468000, 123000, 543000, 682000, 140000, 667000
