gurobi,240000, 270000, 200000, 200000, 200000, 220000, 210000, 220000, 260000, 210000, 210000, 230000, 220000, 220000, 190000, 200000, 220000, 180000, 190000, 190000, 240000, 200000, 230000, 220000, 190000, 260000, 200000, 190000, 230000, 210000, 230000, 220000, 220000, 190000, 220000, 220000, 240000, 190000, 220000, 180000, 230000, 210000, 210000, 210000, 250000, 220000, 210000, 200000, 230000, 190000
cplex,200000, 240000, 200000, 210000, 190000, 230000, 180000, 220000, 270000, 190000, 210000, 230000, 220000, 210000, 200000, 180000, 220000, 190000, 190000, 200000, 230000, 200000, 210000, 220000, 200000, 240000, 200000, 200000, 230000, 210000, 230000, 200000, 200000, 200000, 210000, 230000, 200000, 210000, 250000, 200000, 210000, 210000, 200000, 200000, 240000, 230000, 190000, 210000, 210000, 200000
gecode,100000, 120000, 140000, 140000, 100000, 140000, 120000, 140000, 110000, 140000, 170000, 90000, 210000, 140000, 130000, 100000, 110000, 140000, 170000, 110000, 110000, 80000, 120000, 100000, 140000, 100000, 160000, 90000, 150000, 120000, 90000, 110000, 110000, 130000, 120000, 110000, 120000, 130000, 110000, 120000, 190000, 130000, 120000, 130000, 130000, 160000, 120000, 130000, 130000, 130000
chuffed,860000, 370000, 440000, 60000, 500000, 790000, 120000, 980000, 960000, 29999, 250000, 460000, 370000, 60000, 160000, 580000, 360000, 870000, 880000, 290000, 610000, 380000, 500000, 980000, 80000, 580000, 840000, 190000, 230000, 490000, 300000, 620000, 920000, 910000, 730000, 340000, 770000, 820000, 200000, 100000, 760000, 660000, 580000, 760000, 310000, 30000, 780000, 450000, 630000, 210000
