gurobi,170000, 200000, 210000, 180000, 220000, 220000, 230000, 210000, 210000, 190000
cplex,190000, 200000, 190000, 180000, 200000, 220000, 220000, 200000, 200000, 220000
gecode,120000, 130000, 150000, 120000, 180000, 120000, 140000, 130000, 120000, 120000
chuffed,40000, 670000, 820000, 570000, 99999, 280000, 710000, 220000, 910000, 730000
ortools,370000, 950000, 180000, 440000, 440000, 60000, 160000, 150000, 30000, 860000
