80.02,82.14,72.03,66.82,66.46,65.47,65.01,65.23,69.37,71.96,78.22,80.45,92.63,95.31,84.96,89.32,91.59,93.18,90.95,92.65,91.99,99.84,102.75,101.39,100.76,97.71,101.62,182.04,578.54,175.48,172.56,302.27,440.98,942.68,656.85,331.4,98.96,96.81,96.92,93.1,92.29,87.82,85,79.04,83.4,79.05,92.52,94.28
76.77,66.57,52.47,61.86,62.18,59.99,60.48,60.75,64.1,69.56,87.91,89.47,96.12,100.33,86.69,90.17,91.07,90.04,90.77,89.33,89.1,92.1,87.99,90.98,91.84,92.39,105.7,204.15,98.32,116.28,191.21,439.45,279.54,279.21,92.44,93.85,94.8,97.33,91.2,94.75,95.94,88.33,84.6,80.3,81.72,76.58,86.69,95.03
70.79,67.1,63.08,60.29,57.58,56.85,56.66,57.85,64.31,75.81,85.91,97.97,85,98.14,82.17,82.68,83.67,80.05,79.94,78.56,78.91,81.48,91.17,76.52,81.87,81.87,79.38,79.07,79.18,84.49,87.29,87.21,88.05,89.94,93.32,86.6,84.92,91.5,88.12,81.91,78.86,77.14,74.57,72.09,75.12,71.11,85.18,85.6
75.17,66.06,61.57,57.78,55.66,54.16,53.15,52.74,53.27,56.86,62.32,68.35,78.14,102.4,77.04,85.84,87.16,84.84,88.48,81.41,83.36,81.25,80.02,82.6,80.04,80.87,85.11,87.36,90.23,92.77,91.92,95.39,96.35,104.32,99.43,109.6,112.01,101.77,79.56,82.81,80.36,76.77,74.47,70.06,90.3,75.54,84.42,94.06
74.71,70.85,61.93,57.96,48.96,47.2,44.39,41.84,43.01,45.9,52.99,56.71,82.73,150.62,88.83,201.39,111.46,91.4,98.82,86.13,83.57,79.71,77.94,76.33,75.93,75.19,75.64,77.34,81.17,76.18,78.33,86.49,87.37,94.25,104.71,156.35,127.16,102.35,86.79,90.45,92.31,85.38,79.92,74.53,99.55,78.43,82.61,94.27
78.54,76.75,70.85,65.91,60.23,57.21,53.87,53.45,52.74,56.69,60.7,68.58,94.47,162.13,115.96,160.7,136.61,103.85,115.89,99.7,117.64,103.1,93.22,91.38,95.9,90.41,90.28,85.6,84.62,85.12,90.05,101.4,113.47,128.18,132.84,191.35,159.1,131.73,110.29,121.68,125.76,101.73,101.86,89.58,116.73,90.63,95.65,98.02
56.86,48.86,41.73,37.8,33.04,30.85,27.87,27.7,28.32,30.15,40.81,45.97,73.01,119.34,105.82,119.04,111.29,95.53,89.49,79.81,72.64,72.51,65.6,62.52,69.24,68.93,63.79,63.31,61.75,65.52,65.44,72.56,78.41,84.55,99.7,142.46,121.79,122.69,96.09,103.2,96.67,93.62,86.57,75.2,83.13,68.79,69.58,70.39
70.64,60.71,55.32,52.38,40.43,36.61,32.76,31.28,30.96,31.94,41.33,54.12,84.95,146.31,135.22,137.32,107.71,97.78,93.5,91.82,88.04,80.48,77.13,69.29,66.47,64.25,65.69,66.45,67.37,67.68,68.57,77.47,79.77,91.67,98.82,140.95,192.78,197.89,127.42,130.28,129.43,107.29,101.08,89.93,93.24,83.1,89.35,86.42
89.46,87.85,84.13,73.88,66.1,61.97,60.22,62.78,60.05,59.4,70.08,78.89,111.77,142.53,129.97,139.26,133.8,103.05,93.81,86.01,82.71,78.29,77.39,76.68,75.39,73.38,76.75,78.42,80.03,75.87,81.72,90.62,93.68,103.38,110.7,131.11,170.77,200.07,154.54,132.2,124.05,130.17,114.37,109.9,120.72,98.33,104.4,111.53
104.3,99.03,97.97,91.06,78.04,71.42,73.23,67.98,81.21,86.03,108.03,109.43,120.64,128.51,99.89,101.16,117.49,112.88,106.8,107.86,102.69,98.78,96.86,104.45,98.74,86.01,89.54,97.76,96.26,97.65,96.31,109.3,107.39,114.07,116.57,128.86,137.47,163.68,130.73,124.37,114.88,104.81,99.36,89.4,104.12,100.06,113.14,132.2
94.18,89.68,78.23,72.71,72.37,73.43,75.53,81.08,81.14,81.89,107.22,119.26,135.36,127.01,106.29,107.05,118.28,107.13,103.68,108.41,97.39,107.51,96.83,100.02,87.77,90.5,87.45,90.3,85.83,89.08,97.95,97.31,103.61,110.67,104.24,109.14,111.39,130.08,126.41,116.89,113.62,100.36,98.18,91.59,95.29,90.78,112.36,133.23
74.96,68.31,65.03,58.71,58.4,57.71,57.14,58.86,63.71,64.07,76.78,85.55,95.73,102.22,88.46,94.65,102.54,96.08,98.69,97.27,95.14,101.86,102.18,98,99.8,114.86,109.05,118.37,124.64,143.24,274.71,227.73,115.51,118.28,106.19,115.93,124.44,141.33,127.94,107.85,99.08,103.85,92.04,86.41,89.89,88.72,92.41,101.84
