,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,508545.0,508545.0,508545.0,508545.0,880146.0,867415.0
1,1,input_order,indomain_min,time,120.0,170.0,100.0,140.0,,0.0004818300003535114
1,2,input_order,indomain_min,obj,888175.0,888175.0,888175.0,888175.0,1427925.0,933345.0
1,2,input_order,indomain_min,time,90.0,250.0,90.0,210.0,,0.0010120619990630075
1,3,input_order,indomain_min,obj,422900.0,422900.0,422900.0,422900.0,772500.0,432860.0
1,3,input_order,indomain_min,time,120.0,220.0,90.0,180.0,,0.0009703630057629198
1,4,input_order,indomain_min,obj,553150.0,553150.0,553150.0,553150.0,839430.0,553150.0
1,4,input_order,indomain_min,time,110.0,200.0,80.0,140.0,,0.0008707150045665912
2,1,input_order,indomain_min,obj,450877.0,450877.0,450877.0,450877.0,717672.0,908222.0
2,1,input_order,indomain_min,time,110.0,160.0,90.0,130.0,,0.0005381509981816635
2,2,input_order,indomain_min,obj,751160.0,751160.0,751160.0,751160.0,1472900.0,787145.0
2,2,input_order,indomain_min,time,120.0,250.0,80.0,200.0,,0.0009584349973010831
2,3,input_order,indomain_min,obj,374100.0,374100.0,374100.0,374100.0,809850.0,374100.0
2,3,input_order,indomain_min,time,120.0,230.0,90.0,180.0,,0.0007748669959255494
2,4,input_order,indomain_min,obj,482120.0,482120.0,482120.0,482120.0,759530.0,482280.0
2,4,input_order,indomain_min,time,100.0,190.0,80.0,170.0,,0.000807242002338171
3,1,input_order,indomain_min,obj,439906.0,439906.0,439906.0,439906.0,617561.0,816856.0
3,1,input_order,indomain_min,time,110.0,180.0,100.0,120.0,,0.0005092080027679913
3,2,input_order,indomain_min,obj,766180.0,766180.0,766180.0,766180.0,1028140.0,775235.0
3,2,input_order,indomain_min,time,120.0,210.0,80.0,180.0,,0.0010915699967881665
3,3,input_order,indomain_min,obj,369265.0,369265.0,369265.0,369265.0,514840.0,381640.0
3,3,input_order,indomain_min,time,110.0,200.0,80.0,180.0,,0.0008689940004842356
3,4,input_order,indomain_min,obj,476890.0,476890.0,476890.0,476890.0,682860.0,476910.0
3,4,input_order,indomain_min,time,100.0,180.0,90.0,160.0,,0.0006976270015002228
4,1,input_order,indomain_min,obj,412002.0,412002.0,412002.0,412002.0,664331.0,734532.0
4,1,input_order,indomain_min,time,120.0,160.0,110.0,130.0,,0.0006213000015122816
4,2,input_order,indomain_min,obj,713660.0,713660.0,713660.0,713660.0,1048010.0,720715.0
4,2,input_order,indomain_min,time,120.0,220.0,90.0,200.0,,0.001068243000190705
4,3,input_order,indomain_min,obj,344630.0,344630.0,344630.0,344630.0,530980.0,355820.0
4,3,input_order,indomain_min,time,120.0,210.0,80.0,170.0,,0.0006809660044382326
4,4,input_order,indomain_min,obj,446960.0,446960.0,446960.0,446960.0,688710.0,447270.0
4,4,input_order,indomain_min,time,100.0,190.0,80.0,150.0,,0.00066101999982493
