,,,,,Gecode,OGSA
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,2276260.0,2276260.0
1,1,first_fail,indomain_split_random,time,220.0,0.0004703089998656651
1,2,first_fail,indomain_split_random,obj,1002795.0,849165.0
1,2,first_fail,indomain_split_random,time,120.0,0.0006626250014960533
1,3,first_fail,indomain_split_random,obj,584696.0,584696.0
1,3,first_fail,indomain_split_random,time,120.0,0.00027556299937714357
1,4,first_fail,indomain_split_random,obj,3605700.0,3294900.0
1,4,first_fail,indomain_split_random,time,110.0,0.00034804099959728774
1,5,first_fail,indomain_split_random,obj,3545100.0,2562700.0
1,5,first_fail,indomain_split_random,time,120.0,0.0005392519997258205
2,1,first_fail,indomain_split_random,obj,2128980.0,2128980.0
2,1,first_fail,indomain_split_random,time,150.0,0.0008364840014110086
2,2,first_fail,indomain_split_random,obj,979635.0,819270.0
2,2,first_fail,indomain_split_random,time,100.0,0.0004241639999236213
2,3,first_fail,indomain_split_random,obj,551862.0,551862.0
2,3,first_fail,indomain_split_random,time,110.0,0.000701283999660518
2,4,first_fail,indomain_split_random,obj,3321400.0,3004300.0
2,4,first_fail,indomain_split_random,time,100.0,0.0003989340002590325
2,5,first_fail,indomain_split_random,obj,3378900.0,2275400.0
2,5,first_fail,indomain_split_random,time,110.0,0.0009764860005816445
